Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Desesperados,Rauw Alejandro & Chencho Corleone,-,1,1
2022-02-19,2,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",-,2,1
2022-02-19,3,Tacones Rojos,Sebastian Yatra,-,3,1
2022-02-19,4,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",-,4,1
2022-02-19,5,Yonaguni,Bad Bunny,-,5,1
2022-02-19,6,12x3,DEKKO,-,6,1
2022-02-19,7,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",-,7,1
2022-02-19,8,Tiroteo,Marc Segui & Pol Granch & Rauw Alejandro,-,8,1
2022-02-19,9,Volvi,Aventura x Bad Bunny,-,9,1
2022-02-19,10,Nostalgico,"Rvssian , Rauw Alejandro & Chris Brown",-,10,1
2022-02-19,11,Mon Amour,zzoilo,-,11,1
2022-02-19,12,Sobrio,Maluma,-,12,1
2022-02-19,13,Problemon,Alvaro Diaz Con Rauw Alejandro,-,13,1
2022-02-19,14,Se Le Ve,"Dimelo Flow , Sech , Lenny Tavarez, Arcangel. De la Ghetto , Justin Quiles & Dalex",-,14,1
2022-02-19,15,Todo de Ti,Rauw Alejandro,-,15,1
2022-02-19,16,Dakiti,Bad Bunny & Jhay Cortez,-,16,1
2022-02-19,17,A Tu Merced,Bad Bunny,-,17,1
2022-02-19,18,Ella,Boza X Lunay X Lenny Tavarez X Juhn X Beele,-,18,1
2022-02-19,19,La Santa,Bad Bunny X Daddy Yankee,-,19,1
2022-02-19,20,Volando,"Mora , Bad Bunny & Sech",-,20,1
2022-02-19,21,AM,Nio Garcia X J Balvin X Bad Bunny,-,21,1
2022-02-19,22,Que Mas Pues?,J Balvin & Maria Becerra,-,22,1
2022-02-19,23,Sejodioto,Karol G,-,23,1
2022-02-19,24,Jordan,Ryan Castro,-,24,1
2022-02-19,25,Buenos Dias,Wisin & Camilo,-,25,1
2022-02-26,1,MAMIII,Becky G X Karol G,-,1,1
2022-02-26,2,Desesperados,Rauw Alejandro & Chencho Corleone,1,1,2
2022-02-26,3,12x3,DEKKO,6,3,2
2022-02-26,4,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",2,2,2
2022-02-26,5,Tacones Rojos,Sebastian Yatra,3,3,2
2022-02-26,6,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",4,4,2
2022-02-26,7,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",7,7,2
2022-02-26,8,Yonaguni,Bad Bunny,5,5,2
2022-02-26,9,Jordan,Ryan Castro,24,9,2
2022-02-26,10,Tiroteo,Marc Segui & Pol Granch & Rauw Alejandro,8,8,2
2022-02-26,11,Nostalgico,"Rvssian , Rauw Alejandro & Chris Brown",10,10,2
2022-02-26,12,Volvi,Aventura x Bad Bunny,9,9,2
2022-02-26,13,Mon Amour,zzoilo,11,11,2
2022-02-26,14,Problemon,Alvaro Diaz Con Rauw Alejandro,13,13,2
2022-02-26,15,Sobrio,Maluma,12,12,2
2022-02-26,16,Se Le Ve,"Dimelo Flow , Sech , Lenny Tavarez, Arcangel. De la Ghetto , Justin Quiles & Dalex",14,14,2
2022-02-26,17,Todo de Ti,Rauw Alejandro,15,15,2
2022-02-26,18,Ella,Boza X Lunay X Lenny Tavarez X Juhn X Beele,18,18,2
2022-02-26,19,Sejodioto,Karol G,23,19,2
2022-02-26,20,Dakiti,Bad Bunny & Jhay Cortez,16,16,2
2022-02-26,21,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago pzk,-,21,1
2022-02-26,22,A Tu Merced,Bad Bunny,17,17,2
2022-02-26,23,La Santa,Bad Bunny X Daddy Yankee,19,19,2
2022-02-26,24,Que Mas Pues?,J Balvin & Maria Becerra,22,22,2
2022-02-26,25,Volando,"Mora , Bad Bunny & Sech",20,20,2
2022-03-05,1,MAMIII,Becky G X Karol G,1,1,2
2022-03-05,2,Desesperados,Rauw Alejandro & Chencho Corleone,2,1,3
2022-03-05,3,12x3,DEKKO,3,3,3
2022-03-05,4,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",4,2,3
2022-03-05,5,Tacones Rojos,Sebastian Yatra,5,3,3
