Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Jetlag,Malik Montana X DaChoyce,-,1,1
2022-02-19,2,Lawenda,"SB Maffija Featuring White 2115, Biatas, Kinny Zimmer & Bedoes",-,2,1
2022-02-19,3,Lyk I Buch,SB Maffija Featuring GAMBAO 33,-,3,1
2022-02-19,4,Proste Fakty,"SB Maffija Featuring Bedoes, White 2115, Kuqe 2115, flexxy2115, BLACHA & Kubi Producent",-,4,1
2022-02-19,5,Parapetowa,"SB Maffija Featuring White 2115, Janusz Walczuk, Lanek, Bedoes, Jan-rapowanie, Kacperczyk Biatas, Adi Nowak, Fukaj, SKUTE BOBO, Beteo, Kinny Zimmer & Solar",-,5,1
2022-02-19,6,Co To Za Bluza Lanek?,SB Maffija Featuring Lanek & Biatasm Kinny Zimmer,-,6,1
2022-02-19,7,Agrest I Bez,"SB Maffija Featuring Bedoes, White 2115, Kuqe 2115, flexxy2115, BLACHA & Lanek",-,7,1
2022-02-19,8,Tryb Samolotowy,Jan-Rapowanie,-,8,1
2022-02-19,9,Rozmazana Kreska,Kinny Zimmer,-,9,1
2022-02-19,10,Droga Pani,"SB Maffija Featuring Biatas, Kinny Zimmer, Janusz Walczuk, Fukaj, Lanek & Nypel",-,10,1
2022-02-19,11,Prometazyna,"SB Maffija Featuring Lanek, Fukaj, Beteo & White 2115",-,11,1
2022-02-19,12,Szafir,Mata,-,12,1
2022-02-19,13,Duze Oczy,Smolasty,-,13,1
2022-02-19,14,Doba Hotelowa,"SB Maffija Featuring Kinny Zimmer, Biatas, Janusz Walczuk, Solar, Bedoes, flexxy2115, Kuqe 2115, Blacha 2115, White 2115, Jan-Rapowanie, Fukaj & Lanek",-,14,1
2022-02-19,15,Pancerz,"SB Maffija Featuring Bedoes, Fukaj & Jan-Rapowanie",-,15,1
2022-02-19,16,Za Kare,"SB Maffija Featuring Kinny Zimmer. Biatas, Janusz Walczuk, Beteo & Adi Nowak",-,16,1
2022-02-19,17,Origami,Ronnie Ferrari Featuring korweta,-,17,1
2022-02-19,18,Icey,Zabson & Young Igi,-,18,1
2022-02-19,19,Chodz,"Malik Montana, Maxwell & OLEK",-,19,1
