Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1992-10-03,1,"End Of The Road (From ""Boomerang"")",Boyz II Men,-,1,1
1992-10-03,2,Sometimes Love Just Ain't Enough,Patty Smyth,-,2,1
1992-10-03,3,Do I Have To Say The Words?,Bryan Adams,-,3,1
1992-10-03,4,All I Want,Toad The Wet Sprocket,-,4,1
1992-10-03,5,When I Look Into Your Eyes,Firehouse,-,5,1
1992-10-03,6,The One,Elton John,-,6,1
1992-10-03,7,Humpin' Around,Bobby Brown,-,7,1
1992-10-03,8,Please Don't Go,K.W.S.,-,8,1
1992-10-03,9,Baby-Baby-Baby,TLC,-,9,1
1992-10-03,10,Just Another Day,Jon Secada,-,10,1
1992-10-03,11,She's Playing Hard To Get,Hi-Five,-,11,1
1992-10-03,12,Jesus He Knows Me,Genesis,-,12,1
1992-10-03,13,Have You Ever Needed Someone So Bad,Def Leppard,-,13,1
1992-10-03,14,Always The Last To Know,Del Amitri,-,14,1
1992-10-03,15,Would I Lie To You?,Charles & Eddie,-,15,1
1992-10-03,16,Life Is A Highway,Tom Cochrane,-,16,1
1992-10-03,17,Not Enough Time,INXS,-,17,1
1992-10-03,18,Stay,Shakespear's Sister,-,18,1
1992-10-03,19,November Rain,Guns N' Roses,-,19,1
1992-10-03,20,Walking On Broken Glass,Annie Lennox,-,20,1
1992-10-03,21,Forever Love,Color Me Badd,-,21,1
1992-10-03,22,Constant Craving,k.d. lang,-,22,1
1992-10-03,23,Take This Heart,Richard Marx,-,23,1
1992-10-03,24,Divine Thing,The Soup Dragons,-,24,1
1992-10-03,25,Free Your Mind,En Vogue,-,25,1
1992-10-03,26,Nothing Broken But My Heart,Celine Dion,-,26,1
1992-10-03,27,"I Wanna Love You (From ""Class Act"")",Jade,-,27,1
1992-10-03,28,You Lied To Me,Cathy Dennis,-,28,1
1992-10-03,29,Move This,Technotronic Featuring Ya Kid K,-,29,1
1992-10-03,30,How Do You Talk To An Angel,The Heights,-,30,1
1992-10-03,31,Giving Him Something He Can Feel,En Vogue,-,31,1
1992-10-03,32,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,-,32,1
1992-10-03,33,Do You Believe In Us,Jon Secada,-,33,1
1992-10-03,34,Am I The Same Girl,Swing Out Sister,-,34,1
1992-10-03,35,I Will Be Here For You,Michael W. Smith,-,35,1
1992-10-03,36,Restless Heart,Peter Cetera,-,36,1
1992-10-03,37,How About That,Bad Company,-,37,1
1992-10-03,38,Bang Bang,David Sanborn,-,38,1
1992-10-03,39,Love Is On The Way,Saigon Kick,-,39,1
1992-10-03,40,Kickin' It,After 7,-,40,1
1992-10-10,1,Sometimes Love Just Ain't Enough,Patty Smyth,2,1,2
1992-10-10,2,"End Of The Road (From ""Boomerang"")",Boyz II Men,1,1,2
1992-10-10,3,Do I Have To Say The Words?,Bryan Adams,3,3,2
1992-10-10,4,When I Look Into Your Eyes,Firehouse,5,4,2
1992-10-10,5,All I Want,Toad The Wet Sprocket,4,4,2
1992-10-10,6,Humpin' Around,Bobby Brown,7,6,2
1992-10-10,7,Please Don't Go,K.W.S.,8,7,2
1992-10-10,8,How Do You Talk To An Angel,The Heights,30,8,2
1992-10-10,9,The One,Elton John,6,6,2
1992-10-10,10,She's Playing Hard To Get,Hi-Five,11,10,2
1992-10-10,11,Have You Ever Needed Someone So Bad,Def Leppard,13,11,2
1992-10-10,12,Would I Lie To You?,Charles & Eddie,15,12,2
1992-10-10,13,Just Another Day,Jon Secada,10,10,2
1992-10-10,14,Baby-Baby-Baby,TLC,9,9,2
1992-10-10,15,Walking On Broken Glass,Annie Lennox,20,15,2
1992-10-10,16,Always The Last To Know,Del Amitri,14,14,2
1992-10-10,17,Not Enough Time,INXS,17,17,2
1992-10-10,18,Forever Love,Color Me Badd,21,18,2
1992-10-10,19,Life Is A Highway,Tom Cochrane,16,16,2
1992-10-10,20,Jesus He Knows Me,Genesis,12,12,2
1992-10-10,21,Free Your Mind,En Vogue,25,21,2
1992-10-10,22,"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,32,22,2
1992-10-10,23,Stay,Shakespear's Sister,18,18,2
1992-10-10,24,Constant Craving,k.d. lang,22,22,2
1992-10-10,25,Divine Thing,The Soup Dragons,24,24,2
1992-10-10,26,Take This Heart,Richard Marx,23,23,2
1992-10-10,27,November Rain,Guns N' Roses,19,19,2
1992-10-10,28,Nothing Broken But My Heart,Celine Dion,26,26,2
1992-10-10,29,Do You Believe In Us,Jon Secada,33,29,2
1992-10-10,30,"I Wanna Love You (From ""Class Act"")",Jade,27,27,2
1992-10-10,31,You Lied To Me,Cathy Dennis,28,28,2
1992-10-10,32,Am I The Same Girl,Swing Out Sister,34,32,2
1992-10-10,33,I Will Be Here For You,Michael W. Smith,35,33,2
1992-10-10,34,How About That,Bad Company,37,34,2
1992-10-10,35,Love Is On The Way,Saigon Kick,39,35,2
1992-10-10,36,Layla,Eric Clapton,-,36,1
1992-10-10,37,Move This,Technotronic Featuring Ya Kid K,29,29,2
1992-10-10,38,Bang Bang,David Sanborn,38,38,2
1992-10-10,39,Someone To Hold,Trey Lorenz,-,39,1
1992-10-10,40,Start The Car,Jude Cole,-,40,1
1992-10-17,1,Sometimes Love Just Ain't Enough,Patty Smyth,1,1,3
1992-10-17,2,"End Of The Road (From ""Boomerang"")",Boyz II Men,2,1,3
1992-10-17,3,How Do You Talk To An Angel,The Heights,8,3,3
1992-10-17,4,When I Look Into Your Eyes,Firehouse,4,4,3
