Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Weeks on Chart
1990-11-03,Ice Ice Baby,Vanilla Ice,1,1,1,-,#,
1990-11-03,Black Cat,Janet Jackson,2,2,1,-,#,
1990-11-03,Love Takes Time,Mariah Carey,3,3,1,-,#,
1990-11-03,Giving You The Benefit,Pebbles,4,4,1,-,#,
1990-11-03,I Don't Have The Heart,James Ingram,5,5,1,-,#,
1990-11-03,Pray,M.C. Hammer,6,6,1,-,#,
1990-11-03,Can't Stop,After 7,7,7,1,-,#,
1990-11-03,More Than Words Can Say,Alias,8,8,1,-,https://charts-static.billboard.com/img/1990/06/alias-phh-180x180.jpg,
1990-11-03,Suicide Blonde,INXS,9,9,1,-,#,
1990-11-03,Cherry Pie,Warrant,10,10,1,-,https://charts-static.billboard.com/img/1989/02/warrant-6r5-180x180.jpg,
1990-11-03,Knockin' Boots,Candyman,11,11,1,-,https://charts-static.billboard.com/img/1990/09/candyman-7tr-180x180.jpg,
1990-11-03,Groove Is In The Heart,Deee-Lite,12,12,1,-,https://charts-static.billboard.com/img/1990/07/deee-lite-1fe-180x180.jpg,
1990-11-03,Close To You,Maxi Priest,13,13,1,-,#,
1990-11-03,Everybody Everybody,Black Box,14,14,1,-,https://charts-static.billboard.com/img/1989/09/black-box-9ep-180x180.jpg,
1990-11-03,Feels Good,Tony! Toni! Tone!,15,15,1,-,#,
1990-11-03,Something To Believe In,Poison,16,16,1,-,#,
1990-11-03,Unchained Melody,The Righteous Brothers,17,17,1,-,https://charts-static.billboard.com/img/1990/10/the-righteous-brothers-000-unchainedmelody-ekb-180x180.jpg,
1990-11-03,I'm Your Baby Tonight,Whitney Houston,18,18,1,-,https://charts-static.billboard.com/img/1990/10/whitney-houston-u3i-imyourbabytonight-ve5-180x180.jpg,
1990-11-03,Unchained Melody,The Righteous Brothers,19,19,1,-,https://charts-static.billboard.com/img/1965/07/the-righteous-brothers-000-unchainedmelody-4uy-180x180.jpg,
1990-11-03,Praying For Time,George Michael,20,20,1,-,#,
1990-11-03,Joey,Concrete Blonde,21,21,1,-,https://charts-static.billboard.com/img/1990/08/concrete-blonde-000-joey-mic-180x180.jpg,
1990-11-03,So Close,Daryl Hall  John Oates,22,22,1,-,https://charts-static.billboard.com/img/1974/02/daryl-hall-john-oates-o77-180x180.jpg,
1990-11-03,Romeo,Dino,23,23,1,-,#,
1990-11-03,From A Distance,Bette Midler,24,24,1,-,#,
1990-11-03,(Can't Live Without Your) Love And Affection,Nelson,25,25,1,-,https://charts-static.billboard.com/img/1990/07/nelson-adu-180x180.jpg,
1990-11-03,Hippychick,Soho,26,26,1,-,#,
1990-11-03,Because I Love You (The Postman Song),Stevie B,27,27,1,-,#,
1990-11-03,Stranded,Heart,28,28,1,-,#,
1990-11-03,Fly To the Angels,Slaughter,29,29,1,-,https://charts-static.billboard.com/img/1990/02/slaughter-oq3-180x180.jpg,
1990-11-03,The Way You Do The Things You Do,UB40,30,30,1,-,https://charts-static.billboard.com/img/1983/11/ub40-6hn-180x180.jpg,
1990-11-03,Impulsive,Wilson Phillips,31,31,1,-,#,
1990-11-03,Say A Prayer,Breathe,32,32,1,-,#,
1990-11-03,Something Happened On The Way To Heaven,Phil Collins,33,33,1,-,https://charts-static.billboard.com/img/1981/03/phil-collins-gz3-180x180.jpg,
1990-11-03,Lyin' To Myself,David Cassidy,34,34,1,-,https://charts-static.billboard.com/img/1971/11/david-cassidy-mi9-180x180.jpg,
1990-11-03,High Enough,Damn Yankees,35,35,1,-,https://charts-static.billboard.com/img/1990/03/damn-yankees-26f-180x180.jpg,
1990-11-03,Do Me!,Bell Biv DeVoe,36,36,1,-,#,
1990-11-03,Heart Like A Wheel,The Human League,37,37,1,-,#,
1990-11-03,Tom's Diner,DNA Featuring Suzanne Vega,38,38,1,-,https://charts-static.billboard.com/img/1990/09/dna-as0-180x180.jpg,
1990-11-03,Freedom,George Michael,39,39,1,-,#,
1990-11-03,My Love Is A Fire,Donny Osmond,40,40,1,-,https://charts-static.billboard.com/img/1971/03/donny-osmond-fis-180x180.jpg,
1990-11-03,Miracle,Jon Bon Jovi,41,41,1,-,https://charts-static.billboard.com/img/1990/07/jon-bon-jovi-kbu-180x180.jpg,
1990-11-03,Think,Information Society,42,42,1,-,https://charts-static.billboard.com/img/1986/05/information-society-wl0-180x180.jpg,
1990-11-03,B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,43,43,1,-,#,
1990-11-03,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,44,44,1,-,https://charts-static.billboard.com/img/1990/07/jon-bon-jovi-kbu-blazeofgloryfromyounggunsii-v1q-180x180.jpg,
1990-11-03,Oh Girl,Paul Young,45,45,1,-,#,
1990-11-03,Wiggle It,2 In A Room,46,46,1,-,#,
1990-11-03,Policy Of Truth,Depeche Mode,47,47,1,-,https://charts-static.billboard.com/img/1990/04/depeche-mode-000-policyoftruth-9p2-180x180.jpg,
1990-11-03,Tic-Tac-Toe,Kyper,48,48,1,-,https://charts-static.billboard.com/img/1990/06/kyper-ftd-180x180.jpg,
1990-11-03,Miles Away,Winger,49,49,1,-,https://charts-static.billboard.com/img/1988/09/winger-1f9-180x180.jpg,
1990-11-03,Missunderstanding,Al B. Sure!,50,50,1,-,#,
1990-11-10,Close To You,Maxi Priest,1,13,1,2,#,
1990-11-10,I Don't Have The Heart,James Ingram,2,5,2,2,#,
1990-11-10,Ice Ice Baby,Vanilla Ice,3,1,1,2,#,
1990-11-10,Giving You The Benefit,Pebbles,4,4,4,2,#,
1990-11-10,Love Takes Time,Mariah Carey,5,3,3,2,https://charts-static.billboard.com/img/1990/06/mariah-carey-qmg-180x180.jpg,
1990-11-10,Can't Stop,After 7,6,7,6,2,#,
1990-11-10,Something Happened On The Way To Heaven,Phil Collins,7,33,7,2,https://charts-static.billboard.com/img/1981/03/phil-collins-gz3-180x180.jpg,
1990-11-10,I'm Your Baby Tonight,Whitney Houston,8,18,8,2,https://charts-static.billboard.com/img/1990/10/whitney-houston-u3i-imyourbabytonight-ve5-180x180.jpg,
1990-11-10,(Can't Live Without Your) Love And Affection,Nelson,9,25,9,2,https://charts-static.billboard.com/img/1990/07/nelson-adu-180x180.jpg,
1990-11-10,More Than Words Can Say,Alias,10,8,8,2,https://charts-static.billboard.com/img/1990/06/alias-phh-180x180.jpg,
1990-11-10,Black Cat,Janet Jackson,11,2,2,2,https://charts-static.billboard.com/img/1982/10/janet-jackson-bgn-180x180.jpg,
1990-11-10,Feels Good,Tony! Toni! Tone!,12,15,12,2,#,
1990-11-10,Because I Love You (The Postman Song),Stevie B,13,27,13,2,#,
1990-11-10,Romeo,Dino,14,23,14,2,#,
1990-11-10,Everybody Everybody,Black Box,15,14,14,2,https://charts-static.billboard.com/img/1989/09/black-box-9ep-180x180.jpg,
1990-11-10,The Way You Do The Things You Do,UB40,16,30,16,2,https://charts-static.billboard.com/img/1983/11/ub40-6hn-180x180.jpg,
1990-11-10,Pray,M.C. Hammer,17,6,6,2,#,
1990-11-10,Groove Is In The Heart,Deee-Lite,18,12,12,2,https://charts-static.billboard.com/img/1990/07/deee-lite-1fe-180x180.jpg,
1990-11-10,Freedom,George Michael,19,39,19,2,#,
1990-11-10,Something To Believe In,Poison,20,16,16,2,#,
1990-11-10,Do Me!,Bell Biv DeVoe,21,36,21,2,#,
1990-11-10,Praying For Time,George Michael,22,20,20,2,#,
1990-11-10,Release Me,Wilson Phillips,23,52,23,2,#,
1990-11-10,Impulsive,Wilson Phillips,24,31,24,2,#,
1990-11-10,Oh Girl,Paul Young,25,45,25,2,#,
1990-11-10,From A Distance,Bette Midler,26,24,24,2,#,
1990-11-10,So Close,Daryl Hall  John Oates,27,22,22,2,https://charts-static.billboard.com/img/1974/02/daryl-hall-john-oates-o77-180x180.jpg,
1990-11-10,Hippychick,Soho,28,26,26,2,#,
1990-11-10,Stranded,Heart,29,28,28,2,#,
1990-11-10,Wiggle It,2 In A Room,30,46,30,2,#,
1990-11-10,Knockin' Boots,Candyman,31,11,11,2,https://charts-static.billboard.com/img/1990/09/candyman-7tr-180x180.jpg,
1990-11-10,Dirty Cash (Money Talks),The Adventures Of Stevie V,32,66,32,2,https://charts-static.billboard.com/img/1990/06/the-adventures-of-stevie-v-ys7-180x180.jpg,
1990-11-10,My Love Is A Fire,Donny Osmond,33,40,33,2,https://charts-static.billboard.com/img/1971/03/donny-osmond-fis-180x180.jpg,
1990-11-10,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,34,44,34,2,https://charts-static.billboard.com/img/1990/07/jon-bon-jovi-kbu-blazeofgloryfromyounggunsii-v1q-180x180.jpg,
1990-11-10,Policy Of Truth,Depeche Mode,35,47,35,2,https://charts-static.billboard.com/img/1990/04/depeche-mode-000-policyoftruth-9p2-180x180.jpg,
1990-11-10,Heart Of Stone,Taylor Dayne,36,67,36,2,#,
1990-11-10,Say A Prayer,Breathe,37,32,32,2,#,
1990-11-10,Fairweather Friend,Johnny Gill,38,61,38,2,#,
1990-11-10,Tom's Diner,DNA Featuring Suzanne Vega,39,38,38,2,https://charts-static.billboard.com/img/1990/09/dna-as0-180x180.jpg,
1990-11-10,Miracle,Jon Bon Jovi,40,41,40,2,https://charts-static.billboard.com/img/1990/07/jon-bon-jovi-kbu-180x180.jpg,
1990-11-10,Just Another Dream,Cathy Dennis,41,71,41,2,https://charts-static.billboard.com/img/1984/12/cathy-dennis-9ss-180x180.jpg,
1990-11-10,Think,Information Society,42,42,42,2,https://charts-static.billboard.com/img/1986/05/information-society-wl0-180x180.jpg,
1990-11-10,Suicide Blonde,INXS,43,9,9,2,#,
1990-11-10,My; My; My,Johnny Gill,44,57,44,2,#,
1990-11-10,B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,45,43,43,2,#,
1990-11-10,High Enough,Damn Yankees,46,35,35,2,https://charts-static.billboard.com/img/1990/03/damn-yankees-26f-180x180.jpg,
1990-11-10,Sensitivity,Ralph Tresvant,47,64,47,2,#,
1990-11-10,Heart Like A Wheel,The Human League,48,37,37,2,#,
1990-11-10,Joey,Concrete Blonde,49,21,21,2,https://charts-static.billboard.com/img/1990/08/concrete-blonde-000-joey-mic-180x180.jpg,
1990-11-10,Look Into My Eyes,George Lamond,50,89,50,2,https://charts-static.billboard.com/img/1989/09/george-lamond-ts1-180x180.jpg,
1990-11-17,Ice Ice Baby,Vanilla Ice,1,3,1,3,#,
1990-11-17,I Don't Have The Heart,James Ingram,2,2,2,3,#,
1990-11-17,Close To You,Maxi Priest,3,1,1,3,#,
1990-11-17,Love Takes Time,Mariah Carey,4,5,3,3,#,
1990-11-17,I'm Your Baby Tonight,Whitney Houston,5,8,5,3,https://charts-static.billboard.com/img/1990/10/whitney-houston-u3i-imyourbabytonight-ve5-180x180.jpg,
1990-11-17,Giving You The Benefit,Pebbles,6,4,4,3,https://charts-static.billboard.com/img/1987/09/pebbles-8tc-180x180.jpg,
1990-11-17,Can't Stop,After 7,7,6,6,3,#,
1990-11-17,Because I Love You (The Postman Song),Stevie B,8,13,8,3,#,
1990-11-17,More Than Words Can Say,Alias,9,10,8,3,https://charts-static.billboard.com/img/1990/06/alias-phh-180x180.jpg,
1990-11-17,Feels Good,Tony! Toni! Tone!,10,12,10,3,#,
1990-11-17,Something Happened On The Way To Heaven,Phil Collins,11,7,7,3,https://charts-static.billboard.com/img/1981/03/phil-collins-gz3-180x180.jpg,
1990-11-17,Black Cat,Janet Jackson,12,11,2,3,https://charts-static.billboard.com/img/1982/10/janet-jackson-bgn-180x180.jpg,
1990-11-17,The Way You Do The Things You Do,UB40,13,16,13,3,https://charts-static.billboard.com/img/1983/11/ub40-6hn-180x180.jpg,
1990-11-17,(Can't Live Without Your) Love And Affection,Nelson,14,9,9,3,https://charts-static.billboard.com/img/1990/07/nelson-adu-180x180.jpg,
1990-11-17,Unchained Melody,The Righteous Brothers,15,75,15,3,https://charts-static.billboard.com/img/1965/07/the-righteous-brothers-000-unchainedmelody-4uy-180x180.jpg,
1990-11-17,Pray,M.C. Hammer,16,17,6,3,#,
1990-11-17,Groove Is In The Heart,Deee-Lite,17,18,12,3,https://charts-static.billboard.com/img/1990/07/deee-lite-1fe-180x180.jpg,
1990-11-17,Something To Believe In,Poison,18,20,16,3,#,
1990-11-17,Freedom,George Michael,19,19,19,3,#,
1990-11-17,Impulsive,Wilson Phillips,20,24,20,3,#,
1990-11-17,Romeo,Dino,21,14,14,3,#,
1990-11-17,Everybody Everybody,Black Box,22,15,14,3,https://charts-static.billboard.com/img/1989/09/black-box-9ep-180x180.jpg,
1990-11-17,From A Distance,Bette Midler,23,26,23,3,#,
1990-11-17,Wiggle It,2 In A Room,24,30,24,3,#,
1990-11-17,Tom's Diner,DNA Featuring Suzanne Vega,25,39,25,3,https://charts-static.billboard.com/img/1990/09/dna-as0-180x180.jpg,
1990-11-17,Stranded,Heart,26,29,26,3,#,
1990-11-17,So Close,Daryl Hall  John Oates,27,27,22,3,https://charts-static.billboard.com/img/1974/02/daryl-hall-john-oates-o77-180x180.jpg,
1990-11-17,Knockin' Boots,Candyman,28,31,11,3,https://charts-static.billboard.com/img/1990/09/candyman-7tr-180x180.jpg,
1990-11-17,My Love Is A Fire,Donny Osmond,29,33,29,3,https://charts-static.billboard.com/img/1971/03/donny-osmond-fis-180x180.jpg,
1990-11-17,Hippychick,Soho,30,28,26,3,#,
1990-11-17,Sensitivity,Ralph Tresvant,31,47,31,3,#,
1990-11-17,Fairweather Friend,Johnny Gill,32,38,32,3,#,
1990-11-17,Praying For Time,George Michael,33,22,20,3,#,
1990-11-17,Oh Girl,Paul Young,34,25,25,3,#,
1990-11-17,Miracle,Jon Bon Jovi,35,40,35,3,https://charts-static.billboard.com/img/1990/07/jon-bon-jovi-kbu-180x180.jpg,
1990-11-17,Think,Information Society,36,42,36,3,https://charts-static.billboard.com/img/1986/05/information-society-wl0-180x180.jpg,
1990-11-17,Just Another Dream,Cathy Dennis,37,41,37,3,https://charts-static.billboard.com/img/1984/12/cathy-dennis-9ss-180x180.jpg,
1990-11-17,One And Only Man,Steve Winwood,38,70,38,3,#,
1990-11-17,Dirty Cash (Money Talks),The Adventures Of Stevie V,39,32,32,3,https://charts-static.billboard.com/img/1990/06/the-adventures-of-stevie-v-ys7-180x180.jpg,
1990-11-17,High Enough,Damn Yankees,40,46,35,3,https://charts-static.billboard.com/img/1990/03/damn-yankees-26f-180x180.jpg,
1990-11-17,B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,41,45,41,3,#,
1990-11-17,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,42,34,34,3,https://charts-static.billboard.com/img/1990/07/jon-bon-jovi-kbu-blazeofgloryfromyounggunsii-v1q-180x180.jpg,
1990-11-17,Policy Of Truth,Depeche Mode,43,35,35,3,https://charts-static.billboard.com/img/1990/04/depeche-mode-000-policyoftruth-9p2-180x180.jpg,
1990-11-17,Heart Of Stone,Taylor Dayne,44,36,36,3,#,
1990-11-17,The First Time,Surface,45,60,45,3,https://charts-static.billboard.com/img/1983/07/surface-tea-180x180.jpg,
1990-11-17,Joey,Concrete Blonde,46,49,21,3,https://charts-static.billboard.com/img/1990/08/concrete-blonde-000-joey-mic-180x180.jpg,
1990-11-17,Heart Like A Wheel,The Human League,47,48,37,3,#,
1990-11-17,Say A Prayer,Breathe,48,37,32,3,#,
1990-11-17,Suicide Blonde,INXS,49,43,9,3,#,
1990-11-17,My; My; My,Johnny Gill,50,44,44,3,#,
1990-11-24,Love Takes Time,Mariah Carey,1,4,1,4,#,
1990-11-24,Ice Ice Baby,Vanilla Ice,2,1,1,4,#,
1990-11-24,I'm Your Baby Tonight,Whitney Houston,3,5,3,4,#,
1990-11-24,Close To You,Maxi Priest,4,3,1,4,#,
1990-11-24,Because I Love You (The Postman Song),Stevie B,5,8,5,4,#,
1990-11-24,I Don't Have The Heart,James Ingram,6,2,2,4,#,
1990-11-24,Can't Stop,After 7,7,7,6,4,#,
1990-11-24,Giving You The Benefit,Pebbles,8,6,4,4,https://charts-static.billboard.com/img/1987/09/pebbles-8tc-180x180.jpg,
1990-11-24,Feels Good,Tony! Toni! Tone!,9,10,9,4,#,
1990-11-24,More Than Words Can Say,Alias,10,9,8,4,https://charts-static.billboard.com/img/1990/06/alias-phh-180x180.jpg,
1990-11-24,Groove Is In The Heart,Deee-Lite,11,17,11,4,https://charts-static.billboard.com/img/1990/07/deee-lite-1fe-180x180.jpg,
1990-11-24,The Way You Do The Things You Do,UB40,12,13,12,4,https://charts-static.billboard.com/img/1983/11/ub40-6hn-180x180.jpg,
1990-11-24,Something To Believe In,Poison,13,18,13,4,#,
1990-11-24,Something Happened On The Way To Heaven,Phil Collins,14,11,7,4,https://charts-static.billboard.com/img/1981/03/phil-collins-gz3-180x180.jpg,
1990-11-24,Impulsive,Wilson Phillips,15,20,15,4,#,
1990-11-24,Black Cat,Janet Jackson,16,12,2,4,https://charts-static.billboard.com/img/1982/10/janet-jackson-bgn-180x180.jpg,
1990-11-24,(Can't Live Without Your) Love And Affection,Nelson,17,14,9,4,https://charts-static.billboard.com/img/1990/07/nelson-adu-180x180.jpg,
1990-11-24,Freedom,George Michael,18,19,18,4,#,
1990-11-24,Unchained Melody,The Righteous Brothers,19,15,15,4,https://charts-static.billboard.com/img/1965/07/the-righteous-brothers-000-unchainedmelody-4uy-180x180.jpg,
1990-11-24,From A Distance,Bette Midler,20,23,20,4,#,
1990-11-24,Tom's Diner,DNA Featuring Suzanne Vega,21,25,21,4,https://charts-static.billboard.com/img/1990/09/dna-as0-180x180.jpg,
1990-11-24,Pray,M.C. Hammer,22,16,6,4,#,
1990-11-24,Justify My Love,Madonna,23,23,1,-,https://charts-static.billboard.com/img/1982/11/madonna-yze-180x180.jpg,
1990-11-24,Wiggle It,2 In A Room,24,24,24,4,#,
1990-11-24,Stranded,Heart,25,26,25,4,#,
1990-11-24,So Close,Daryl Hall  John Oates,26,27,22,4,https://charts-static.billboard.com/img/1974/02/daryl-hall-john-oates-o77-180x180.jpg,
1990-11-24,Knockin' Boots,Candyman,27,28,11,4,https://charts-static.billboard.com/img/1990/09/candyman-7tr-180x180.jpg,
1990-11-24,Romeo,Dino,28,21,14,4,#,
1990-11-24,Sensitivity,Ralph Tresvant,29,31,29,4,#,
1990-11-24,My Love Is A Fire,Donny Osmond,30,29,29,4,https://charts-static.billboard.com/img/1971/03/donny-osmond-fis-180x180.jpg,
1990-11-24,Everybody Everybody,Black Box,31,22,14,4,https://charts-static.billboard.com/img/1989/09/black-box-9ep-180x180.jpg,
1990-11-24,Miracle,Jon Bon Jovi,32,35,32,4,https://charts-static.billboard.com/img/1990/07/jon-bon-jovi-kbu-180x180.jpg,
1990-11-24,One And Only Man,Steve Winwood,33,38,33,4,#,
1990-11-24,Love Will Never Do (Without You),Janet Jackson,34,34,1,-,https://charts-static.billboard.com/img/1990/11/janet-jackson-bgn-lovewillneverdowithoutyou-3ha-180x180.jpg,
1990-11-24,Just Another Dream,Cathy Dennis,35,37,35,4,https://charts-static.billboard.com/img/1984/12/cathy-dennis-9ss-180x180.jpg,
1990-11-24,Hippychick,Soho,36,30,26,4,#,
1990-11-24,Fairweather Friend,Johnny Gill,37,32,32,4,#,
1990-11-24,Think,Information Society,38,36,36,4,https://charts-static.billboard.com/img/1986/05/information-society-wl0-180x180.jpg,
1990-11-24,High Enough,Damn Yankees,39,40,35,4,https://charts-static.billboard.com/img/1990/03/damn-yankees-26f-180x180.jpg,
