Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1999-02-20,1,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,-,1,1
1999-02-20,2,Changes,2Pac,-,2,1
1999-02-20,3,You Got Me,The Roots Featuring Erykah Badu,-,3,1
1999-02-20,4,Doo Wop (That Thing),Lauryn Hill,-,4,1
1999-02-20,5,Ha,Juvenile,-,5,1
1999-02-20,6,Rosa Parks,OutKast,-,6,1
1999-02-20,7,Miami,Will Smith,-,7,1
1999-02-20,8,It Ain't My Fault 1 & 2,Silkk the Shocker Featuring Mystikal,-,8,1
1999-02-20,9,Ruff Ryders' Anthem,DMX,-,9,1
1999-02-20,10,Hot Spot,Foxy Brown,-,10,1
1999-02-20,11,Break Ups 2 Make Ups,Method Man Featuring D'Angelo,-,11,1
1999-02-20,12,My Name Is,Eminem,-,12,1
1999-02-20,13,Hard Knock Life (Ghetto Anthem),Jay-Z,-,13,1
1999-02-20,14,"Money, Cash, Hoes",Jay-Z Featuring DMX,-,14,1
1999-02-20,15,Gimme Some More,Busta Rhymes,-,15,1
1999-02-20,16,Bet Ya Man Can't (Triz),"Fat Joe Featuring Big Punisher, Cuban Link & Triple Seis",-,16,1
1999-02-20,17,What's It Gonna Be?!,Busta Rhymes Featuring Janet,-,17,1
1999-02-20,18,It's On,DJ Clue Featuring DMX,-,18,1
1999-02-20,19,Going Home With Me,Jermaine Dupri Featuring Keith Sweat & R.O.C.,-,19,1
1999-02-20,20,How's It Goin' Down,DMX Featuring Faith Evans,-,20,1
1999-02-27,1,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,1,1,2
1999-02-27,2,You Got Me,The Roots Featuring Erykah Badu,3,2,2
1999-02-27,3,Changes,2Pac,2,2,2
1999-02-27,4,Ha,Juvenile,5,4,2
1999-02-27,5,Rosa Parks,OutKast,6,5,2
1999-02-27,6,Doo Wop (That Thing),Lauryn Hill,4,4,2
1999-02-27,7,Miami,Will Smith,7,7,2
1999-02-27,8,My Name Is,Eminem,12,8,2
1999-02-27,9,It Ain't My Fault 1 & 2,Silkk the Shocker Featuring Mystikal,8,8,2
1999-02-27,10,What's It Gonna Be?!,Busta Rhymes Featuring Janet,17,10,2
1999-02-27,11,Ruff Ryders' Anthem,DMX,9,9,2
1999-02-27,12,Break Ups 2 Make Ups,Method Man Featuring D'Angelo,11,11,2
1999-02-27,13,Hot Spot,Foxy Brown,10,10,2
1999-02-27,14,"Money, Cash, Hoes",Jay-Z Featuring DMX,14,14,2
1999-02-27,15,It's On,DJ Clue Featuring DMX,18,15,2
1999-02-27,16,Hard Knock Life (Ghetto Anthem),Jay-Z,13,13,2
1999-02-27,17,Gimme Some More,Busta Rhymes,15,15,2
1999-02-27,18,Bet Ya Man Can't (Triz),"Fat Joe Featuring Big Punisher, Cuban Link & Triple Seis",16,16,2
1999-02-27,19,Going Home With Me,Jermaine Dupri Featuring Keith Sweat & R.O.C.,19,19,2
1999-02-27,20,How's It Goin' Down,DMX Featuring Faith Evans,20,20,2
1999-03-06,1,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,1,1,3
1999-03-06,2,You Got Me,The Roots Featuring Erykah Badu,2,2,3
1999-03-06,3,Changes,2Pac,3,2,3
1999-03-06,4,Ha,Juvenile,4,4,3
1999-03-06,5,My Name Is,Eminem,8,5,3
1999-03-06,6,Rosa Parks,OutKast,5,5,3
1999-03-06,7,Miami,Will Smith,7,7,3
1999-03-06,8,Doo Wop (That Thing),Lauryn Hill,6,4,3
1999-03-06,9,What's It Gonna Be?!,Busta Rhymes Featuring Janet,10,9,3
