Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2004-06-26,1,Living Legends,8Ball & MJG,-,1,1
2004-06-26,2,Juve The Great,Juvenile,-,2,1
2004-06-26,3,D12 World,D12,-,3,1
2004-06-26,4,Tical 0: The Prequel,Method Man,-,4,1
2004-06-26,5,The College Dropout,Kanye West,-,5,1
2004-06-26,6,Still Writing In My Diary: 2nd Entry,Petey Pablo,-,6,1
2004-06-26,7,Hurt No More,Mario Winans,-,7,1
2004-06-26,8,Kamikaze,Twista,-,8,1
2004-06-26,9,U Gotta Feel Me,Lil' Flip,-,9,1
2004-06-26,10,The Black Album,Jay-Z,-,10,1
2004-06-26,11,Speakerboxxx/The Love Below,OutKast,-,11,1
2004-06-26,12,Hood Hop,J-Kwon,-,12,1
2004-06-26,13,The King Of Crunk & BME Recordings Present,Lil Scrappy /Trillville,-,13,1
2004-06-26,14,Elephunk,The Black Eyed Peas,-,14,1
2004-06-26,15,The Beginning Of The End...,"Juvenile , Wacko & Skip",-,15,1
2004-06-26,16,Trap Muzik,T.I.,-,16,1
2004-06-26,17,Beg For Mercy,G Unit,-,17,1
2004-06-26,18,Chicken*N*Beer,Ludacris,-,18,1
2004-06-26,19,Split Personality,Cassidy,-,19,1
2004-06-26,20,Me & My Brother,Ying Yang Twins,-,20,1
2004-06-26,21,Bad Boy's 10th Anniversary... The Hits,Various Artists,-,21,1
2004-06-26,22,The Pretty Toney Album,Ghostface,-,22,1
2004-06-26,23,Good Side   Bad Side,Master P,-,23,1
2004-06-26,24,Revolutions,X-Ecutioners,-,24,1
2004-06-26,25,Dutty Rock,Sean Paul,-,25,1
2004-07-03,1,To The 5 Boroughs,Beastie Boys,-,1,1
2004-07-03,2,Living Legends,8Ball & MJG,1,1,2
2004-07-03,3,Juve The Great,Juvenile,2,2,2
2004-07-03,4,D12 World,D12,3,3,2
2004-07-03,5,The College Dropout,Kanye West,5,5,2
2004-07-03,6,Reggae Gold 2004,Various Artists,-,6,1
2004-07-03,7,Tical 0: The Prequel,Method Man,4,4,2
2004-07-03,8,Still Writing In My Diary: 2nd Entry,Petey Pablo,6,6,2
2004-07-03,9,Hurt No More,Mario Winans,7,7,2
2004-07-03,10,Hood Hop,J-Kwon,12,10,2
2004-07-03,11,U Gotta Feel Me,Lil' Flip,9,9,2
