Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1989-03-11,1,Self Destruction,The Stop The Violence Movement,-,1,1
1989-03-11,2,Wild Thing,Tone-Loc,-,2,1
1989-03-11,3,Jack Of Spades,Boogie Down Productions,-,3,1
1989-03-11,4,Rollin' With Kid 'N Play,Kid 'N Play,-,4,1
1989-03-11,5,Girl You Know It's True,Milli Vanilli,-,5,1
1989-03-11,6,Get On The Dance Floor,Rob Base & D.J. E-Z Rock,-,6,1
1989-03-11,7,Pump It Up,M.C. Hammer,-,7,1
1989-03-11,8,Life Is. . .Too Short,Too $hort,-,8,1
1989-03-11,9,Teenage Love,Slick Rick,-,9,1
1989-03-11,10,High Rollers,Ice-T,-,10,1
1989-03-11,11,Find An Ugly Woman,Cash Money & Marvelous,-,11,1
1989-03-11,12,"Gangsta, Gangsta",N.W.A,-,12,1
1989-03-11,13,I'm Your Wild Thing,Mamado & She,-,13,1
1989-03-11,14,The R,Eric B. & Rakim,-,14,1
1989-03-11,15,Ain't Nothin' To It,K-9 Posse,-,15,1
1989-03-11,16,We Want Eazy,Eazy-E,-,16,1
1989-03-11,17,Turn This Mutha Out,M.C. Hammer,-,17,1
1989-03-11,18,Twist-N-Shout,Salt-N-Pepa,-,18,1
1989-03-11,19,I'll House You,The Jungle Bros.,-,19,1
1989-03-11,20,Bass,King Tee,-,20,1
1989-03-11,21,I'll Take You There,Big Daddy Kane,-,21,1
1989-03-11,22,Yakety Yak,The 2 Live Crew,-,22,1
1989-03-11,23,The Symphony,Marley Marl,-,23,1
1989-03-11,24,Gittin' Funky,Kid 'N Play,-,24,1
1989-03-11,25,Potholes In My Lawn,De La Soul,-,25,1
1989-03-11,26,On The Smooth Tip,Sweet Tee,-,26,1
1989-03-11,27,All Rappers Give Up,Black By Demand,-,27,1
1989-03-11,28,My Part Of Town,Tuff Crew,-,28,1
1989-03-11,29,Float On,Stetsasonic (Featuring Force M.D.'s),-,29,1
1989-03-11,30,Turn Up The Bass,Tyree (Featuring Kool Rock Steady),-,30,1
1989-03-25,1,Self Destruction,The Stop The Violence Movement,1,1,3
1989-03-25,2,Girl You Know It's True,Milli Vanilli,5,2,3
1989-03-25,3,Wild Thing,Tone-Loc,2,2,3
1989-03-25,4,Rollin' With Kid 'N Play,Kid 'N Play,4,4,3
1989-03-25,5,Jack Of Spades,Boogie Down Productions,3,3,3
1989-03-25,6,Pump It Up,M.C. Hammer,7,6,3
1989-03-25,7,Life Is. . .Too Short,Too $hort,8,7,3
1989-03-25,8,Teenage Love,Slick Rick,9,8,3
1989-03-25,9,High Rollers,Ice-T,10,9,3
1989-03-25,10,Turn This Mutha Out,M.C. Hammer,17,10,3
1989-03-25,11,"Gangsta, Gangsta",N.W.A,12,11,3
1989-03-25,12,We Want Eazy,Eazy-E,16,12,3
1989-03-25,13,Find An Ugly Woman,Cash Money & Marvelous,11,11,3
1989-03-25,14,Get On The Dance Floor,Rob Base & D.J. E-Z Rock,6,6,3
1989-03-25,15,Ain't Nothin' To It,K-9 Posse,15,15,3
1989-03-25,16,I'm Your Wild Thing,Mamado & She,13,13,3
1989-03-25,17,I'll House You,The Jungle Bros.,19,17,3
1989-03-25,18,The R,Eric B. & Rakim,14,14,3
1989-03-25,19,Bass,King Tee,20,19,3
1989-03-25,20,The Symphony,Marley Marl,23,20,3
1989-03-25,21,This Is For The Homies,Rodney O & Joe Cooley,-,21,1
1989-03-25,22,Potholes In My Lawn,De La Soul,25,22,3
1989-03-25,23,Greatest Man Alive,Three Times Dope,-,23,1
1989-03-25,24,Float On,Stetsasonic (Featuring Force M.D.'s),29,24,3
1989-03-25,25,My Part Of Town,Tuff Crew,28,25,3
1989-03-25,26,Road To The Riches,Kool G Rap & D.J. Polo,-,26,1
1989-03-25,27,Yakety Yak,The 2 Live Crew,22,22,3
1989-03-25,28,All Rappers Give Up,Black By Demand,27,27,3
1989-03-25,29,Twist-N-Shout,Salt-N-Pepa,18,18,3
1989-03-25,30,I'll Take You There,Big Daddy Kane,21,21,3
1989-04-08,1,Self Destruction,The Stop The Violence Movement,1,1,5
1989-04-08,2,Girl You Know It's True,Milli Vanilli,2,2,5
1989-04-08,3,Rollin' With Kid 'N Play,Kid 'N Play,4,3,5
1989-04-08,4,Funky Cold Medina,Tone-Loc,-,4,1
1989-04-08,5,Pump It Up,M.C. Hammer,6,5,5
1989-04-08,6,Turn This Mutha Out,M.C. Hammer,10,6,5
1989-04-08,7,We Want Eazy,Eazy-E,12,7,5
1989-04-08,8,Wild Thing,Tone-Loc,3,2,5
1989-04-08,9,Jack Of Spades,Boogie Down Productions,5,3,5
1989-04-08,10,Life Is. . .Too Short,Too $hort,7,7,5
1989-04-08,11,High Rollers,Ice-T,9,9,5
1989-04-08,12,Greatest Man Alive,Three Times Dope,23,12,3
1989-04-08,13,"Gangsta, Gangsta",N.W.A,11,11,5
1989-04-08,14,Teenage Love,Slick Rick,8,8,5
1989-04-08,15,Me Myself And I,De La Soul,-,15,1
1989-04-08,16,I'll House You,The Jungle Bros.,17,16,5
1989-04-08,17,Ain't Nothin' To It,K-9 Posse,15,15,5
1989-04-08,18,Find An Ugly Woman,Cash Money & Marvelous,13,11,5
1989-04-08,19,This Is For The Homies,Rodney O & Joe Cooley,21,19,3
1989-04-08,20,I'm Your Wild Thing,Mamado & She,16,13,5
1989-04-08,21,Road To The Riches,Kool G Rap & D.J. Polo,26,21,3
1989-04-08,22,Children's Story,Slick Rick,-,22,1
1989-04-08,23,D.E.F. = Doug E. Fresh,Doug E. Fresh & The Get Fresh Crew,-,23,1
1989-04-08,24,Buck Wild,E.U.,-,24,1
1989-04-08,25,Get On The Dance Floor,Rob Base & D.J. E-Z Rock,14,6,5
