Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2013-04-20,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,-,1,1
2013-04-20,2,Started From The Bottom,Drake,-,2,1
2013-04-20,3,Love Me,Lil Wayne Featuring Drake & Future,-,3,1
2013-04-20,4,Gangnam Style,PSY,-,4,1
2013-04-20,5,Bad,Wale Featuring Tiara Thomas Or Rihanna,-,5,1
2013-04-20,6,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",-,6,1
2013-04-20,7,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,-,7,1
2013-04-20,8,Power Trip,J. Cole Featuring Miguel,-,8,1
2013-04-20,9,Bugatti,Ace Hood Featuring Future & Rick Ross,-,9,1
2013-04-20,10,Feel This Moment,Pitbull Featuring Christina Aguilera,-,10,1
2013-04-20,11,Rich As F**k,Lil Wayne Featuring 2 Chainz,-,11,1
2013-04-20,12,All Gold Everything,Trinidad James,-,12,1
2013-04-20,13,Poetic Justice,Kendrick Lamar Featuring Drake,-,13,1
2013-04-20,14,Wop,J. Dash,-,14,1
2013-04-20,15,No Worries,Lil Wayne Featuring Detail,-,15,1
2013-04-27,1,Gentleman,PSY,-,1,1
2013-04-27,2,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,2
2013-04-27,3,Started From The Bottom,Drake,2,2,2
2013-04-27,4,Love Me,Lil Wayne Featuring Drake & Future,3,3,2
2013-04-27,5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,7,5,2
2013-04-27,6,Gangnam Style,PSY,4,4,2
2013-04-27,7,Power Trip,J. Cole Featuring Miguel,8,7,2
2013-04-27,8,Bad,Wale Featuring Tiara Thomas Or Rihanna,5,5,2
2013-04-27,9,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",6,6,2
2013-04-27,10,High School,Nicki Minaj Featuring Lil Wayne,16,10,2
2013-04-27,11,Feel This Moment,Pitbull Featuring Christina Aguilera,10,10,2
2013-04-27,12,Bugatti,Ace Hood Featuring Future & Rick Ross,9,9,2
2013-04-27,13,Rich As F**k,Lil Wayne Featuring 2 Chainz,11,11,2
2013-04-27,14,All Gold Everything,Trinidad James,12,12,2
2013-04-27,15,Poetic Justice,Kendrick Lamar Featuring Drake,13,13,2
2013-05-04,1,Gentleman,PSY,1,1,2
2013-05-04,2,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2,1,3
2013-05-04,3,Gangnam Style,PSY,6,3,3
2013-05-04,4,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,5,4,3
2013-05-04,5,Started From The Bottom,Drake,3,2,3
2013-05-04,6,Love Me,Lil Wayne Featuring Drake & Future,4,3,3
2013-05-04,7,Power Trip,J. Cole Featuring Miguel,7,7,3
2013-05-04,8,Bad,Wale Featuring Tiara Thomas Or Rihanna,8,5,3
2013-05-04,9,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",9,6,3
2013-05-04,10,Feel This Moment,Pitbull Featuring Christina Aguilera,11,10,3
2013-05-04,11,Rich As F**k,Lil Wayne Featuring 2 Chainz,13,11,3
2013-05-04,12,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,16,12,2
2013-05-04,13,Bugatti,Ace Hood Featuring Future & Rick Ross,12,9,3
2013-05-04,14,High School,Nicki Minaj Featuring Lil Wayne,10,10,3
2013-05-04,15,All Gold Everything,Trinidad James,14,12,3
2013-05-11,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2,1,4
2013-05-11,2,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,4,2,4
2013-05-11,3,Gangnam Style,PSY,3,3,4
2013-05-11,4,Gentleman,PSY,1,1,3
2013-05-11,5,Started From The Bottom,Drake,5,2,4
2013-05-11,6,Love Me,Lil Wayne Featuring Drake & Future,6,3,4
2013-05-11,7,Power Trip,J. Cole Featuring Miguel,7,7,4
2013-05-11,8,Bad,Wale Featuring Tiara Thomas Or Rihanna,8,5,4
2013-05-11,9,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",9,6,4
2013-05-11,10,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,12,10,3
2013-05-11,11,Feel This Moment,Pitbull Featuring Christina Aguilera,10,10,4
2013-05-11,12,Rich As F**k,Lil Wayne Featuring 2 Chainz,11,11,4
2013-05-11,13,Bugatti,Ace Hood Featuring Future & Rick Ross,13,9,4
2013-05-11,14,Molly,"Tyga Featuring Cedric Gervais , Wiz Khalifa & Mally Mall",17,14,2
2013-05-11,15,All Gold Everything,Trinidad James,15,12,4
2013-05-18,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,5
2013-05-18,2,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2,2,5
2013-05-18,3,Gangnam Style,PSY,3,3,5
2013-05-18,4,Gentleman,PSY,4,1,4
2013-05-18,5,Started From The Bottom,Drake,5,2,5
2013-05-18,6,Love Me,Lil Wayne Featuring Drake & Future,6,3,5
2013-05-18,7,Power Trip,J. Cole Featuring Miguel,7,7,5
2013-05-18,8,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,10,8,4
2013-05-18,9,Bad,Wale Featuring Tiara Thomas Or Rihanna,8,5,5
2013-05-18,10,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",9,6,5
2013-05-18,11,Feel This Moment,Pitbull Featuring Christina Aguilera,11,10,5
2013-05-18,12,Rich As F**k,Lil Wayne Featuring 2 Chainz,12,11,5
2013-05-18,13,Bugatti,Ace Hood Featuring Future & Rick Ross,13,9,5
2013-05-18,14,All Gold Everything,Trinidad James,15,12,5
