Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1994-10-08,1,La Nina Fresa,Banda Z,-,1,1
1994-10-15,1,La Nina Fresa,Banda Z,1,1,2
1994-10-22,1,A Capa Y Espada,Industria del Amor,-,1,1
1994-10-29,1,La Nina Fresa,Banda Z,-,1,3
1994-11-05,1,Ni El Primero Ni El Ultimo,Los Rehenes,-,1,1
1994-11-05,2,El Puchoncito,Banda Machos,-,2,1
1994-11-05,3,La Nina Fresa,Banda Z,1,1,4
1994-11-05,4,Bidi Bidi Bom Bom,Selena,-,4,1
1994-11-05,5,A Capa Y Espada,Industria del Amor,-,1,2
1994-11-05,6,Tu Lo Decidiste,Ana Gabriel,-,6,1
1994-11-05,7,Me Duele Estar Solo,La Mafia,-,7,1
1994-11-05,8,"Te Amo, Te Amo, Te Amo",Sparx,-,8,1
1994-11-05,9,Para Que,Grupo Mojado,-,9,1
1994-11-05,10,No Mas Boleros,Los Yonic's,-,10,1
1994-11-05,11,Te Amare Un Millon De Veces,Fandango USA,-,11,1
1994-11-05,12,Nada,Ana Barbara,-,12,1
1994-11-05,13,Si Lo Quieres,La Diferenzia,-,13,1
1994-11-05,14,Lagrimas Al Recordar,Los Caminantes,-,14,1
1994-11-05,15,La Mesa Del Rincon,Los Tigres del Norte,-,15,1
1994-11-12,1,Ni El Primero Ni El Ultimo,Los Rehenes,1,1,2
1994-11-12,2,El Puchoncito,Banda Machos,2,2,2
1994-11-12,3,"Te Amo, Te Amo, Te Amo",Sparx,8,3,2
1994-11-12,4,Bidi Bidi Bom Bom,Selena,4,4,2
1994-11-12,5,Me Duele Estar Solo,La Mafia,7,5,2
1994-11-12,6,La Nina Fresa,Banda Z,3,1,5
1994-11-12,7,Te Amare Un Millon De Veces,Fandango USA,11,7,2
1994-11-12,8,Para Que,Grupo Mojado,9,8,2
1994-11-12,9,Tu Lo Decidiste,Ana Gabriel,6,6,2
1994-11-12,10,A Capa Y Espada,Industria del Amor,5,1,3
1994-11-12,11,Si Lo Quieres,La Diferenzia,13,11,2
1994-11-12,12,No Mas Boleros,Los Yonic's,10,10,2
1994-11-12,13,Nada,Ana Barbara,12,12,2
1994-11-12,14,Lagrimas Al Recordar,Los Caminantes,14,14,2
1994-11-12,15,Yo Tu Dueno,Los Fugitivos,-,15,1
1994-11-19,1,Ni El Primero Ni El Ultimo,Los Rehenes,1,1,3
1994-11-19,2,Me Duele Estar Solo,La Mafia,5,2,3
1994-11-19,3,"Te Amo, Te Amo, Te Amo",Sparx,3,3,3
1994-11-19,4,El Puchoncito,Banda Machos,2,2,3
1994-11-19,5,Tu Lo Decidiste,Ana Gabriel,9,5,3
1994-11-19,6,La Nina Fresa,Banda Z,6,1,6
1994-11-19,7,No Me Queda Mas,Selena,-,7,1
1994-11-19,8,Bidi Bidi Bom Bom,Selena,4,4,3
1994-11-19,9,Para Que,Grupo Mojado,8,8,3
1994-11-19,10,Te Amare Un Millon De Veces,Fandango USA,7,7,3
1994-11-19,11,Nada,Ana Barbara,13,11,3
