Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1985-06-29,1,La jaula de oro,Los Tigres del Norte,-,1,1
1985-06-29,2,Adonde vas,Los Bukis,-,2,1
1985-06-29,3,Con mariachi,Vikki Carr,-,3,1
1985-06-29,4,15 super exitos,Los Yonic's,-,4,1
1985-06-29,5,Un rinconcito en el cielo,Ramon Ayala,-,5,1
1985-06-29,6,15 exitos,Los Caminantes,-,6,1
1985-06-29,7,Despedida con mariachi,Los Cadetes de Linares,-,7,1
1985-06-29,8,12 exitos nortenos,Los Bukis,-,8,1
1985-06-29,9,13 aniversario,Los Humildes Hnos. Ayala,-,9,1
1985-06-29,10,Amor a la ligera,Los Invasores de Nuevo Leon,-,10,1
1985-06-29,11,Los Huracanes del Norte,Los Huracanes del Norte,-,11,1
1985-06-29,12,Cumbias al estilo Los Bukis,Los Bukis,-,12,1
1985-06-29,13,15 nuevos exitos,Vicente Fernandez,-,13,1
1985-06-29,14,Neon Static,La Mafia,-,14,1
1985-06-29,15,Los Invasores,Los Invasores de Nuevo Leon,-,15,1
1985-06-29,16,Grupo Pegaso,Pegasso Del Pollo Estevan,-,16,1
1985-06-29,17,La ley en la mexicano nortena,Varios Artistas,-,17,1
1985-06-29,18,El viboron y la canalla,Los Hermanos Barron,-,18,1
1985-06-29,19,Dos amores,Manuel Ascanio,-,19,1
1985-06-29,20,Adios,Grupo Indio,-,20,1
1985-06-29,21,El Pipiripao,Los Plebeyos,-,21,1
1985-06-29,22,Amor por gotitas,Chelo,-,22,1
1985-06-29,23,Vidrios rotos,Ramon Ayala,-,23,1
1985-06-29,24,Sus mas grandes exitos,La Migra,-,24,1
1985-06-29,25,15 Hits,Carlos y Jose,-,25,1
1985-07-13,1,Adonde vas,Los Bukis,2,1,2
1985-07-13,2,La jaula de oro,Los Tigres del Norte,1,1,2
1985-07-13,3,15 super exitos,Los Yonic's,4,3,2
1985-07-13,4,Un rinconcito en el cielo,Ramon Ayala,5,4,2
1985-07-13,5,Con mariachi,Vikki Carr,3,3,2
1985-07-13,6,15 exitos,Los Caminantes,6,6,2
1985-07-13,7,13 aniversario,Los Humildes Hnos. Ayala,9,7,2
1985-07-13,8,Despedida con mariachi,Los Cadetes de Linares,7,7,2
1985-07-13,9,Rumores,Joan Sebastian,-,9,1
1985-07-13,10,15 nuevos exitos,Vicente Fernandez,13,10,2
1985-07-13,11,Mi fantasia,Los Bukis,-,11,1
1985-07-13,12,Dos amores,Manuel Ascanio,19,12,2
1985-07-13,13,15 Hits,Carlos y Jose,25,13,2
1985-07-13,14,Cumbias al estilo Los Bukis,Los Bukis,12,12,2
1985-07-13,15,Neon Static,La Mafia,14,14,2
1985-07-13,16,Amor a la ligera,Los Invasores de Nuevo Leon,10,10,2
1985-07-13,17,Los Huracanes del Norte,Los Huracanes del Norte,11,11,2
1985-07-13,18,El viboron y la canalla,Los Hermanos Barron,18,18,2
1985-07-13,19,Superexitos,Grupo Vennus,-,19,1
1985-07-13,20,Vidrios rotos,Ramon Ayala,23,20,2
1985-07-13,21,12 exitos nortenos,Los Bukis,8,8,2
1985-07-13,22,Renunciacion,Little Joe Blue,-,22,1
1985-07-13,23,Grupo Pegaso,Pegasso Del Pollo Estevan,16,16,2
1985-07-13,24,Amor por gotitas,Chelo,22,22,2
1985-07-13,25,Internacionalmente nortenos,Los Tigres del Norte,-,25,1
1985-07-27,1,Adonde vas,Los Bukis,1,1,3
1985-07-27,2,La jaula de oro,Los Tigres del Norte,2,1,3
1985-07-27,3,Con mariachi,Vikki Carr,5,3,3
1985-07-27,4,15 super exitos,Los Yonic's,3,3,3
1985-07-27,5,Un rinconcito en el cielo,Ramon Ayala,4,4,3
1985-07-27,6,15 exitos,Los Caminantes,6,6,3
1985-07-27,7,Rumores,Joan Sebastian,9,7,2
1985-07-27,8,Despedida con mariachi,Los Cadetes de Linares,8,7,3
1985-07-27,9,Superexitos,Grupo Vennus,19,9,2
1985-07-27,10,Amor por gotitas,Chelo,24,10,3
1985-07-27,11,15 nuevos exitos,Vicente Fernandez,10,10,3
1985-07-27,12,13 aniversario,Los Humildes Hnos. Ayala,7,7,3
1985-07-27,13,Amor a la ligera,Los Invasores de Nuevo Leon,16,10,3
1985-07-27,14,Corridos,Los Invasores de Nuevo Leon,-,14,1
1985-07-27,15,Los Huracanes del Norte,Los Huracanes del Norte,17,11,3
1985-07-27,16,Neon Static,La Mafia,15,14,3
1985-07-27,17,Mi fantasia,Los Bukis,11,11,2
1985-07-27,18,Cumbias al estilo Los Bukis,Los Bukis,14,12,3
1985-07-27,19,Los cuatro traficantes,Carlos y Jose,-,19,1
1985-07-27,20,Grupo Pegaso,Pegasso Del Pollo Estevan,23,16,3
1985-07-27,21,Vidrios rotos,Ramon Ayala,20,20,3
1985-07-27,22,Muy romanticos,Los Bukis,-,22,1
1985-07-27,23,15 Hits,Carlos y Jose,13,13,3
1985-07-27,24,Interpreta a Juan Gabriel,Lucha Villa,-,24,1
1985-07-27,25,El viboron y la canalla,Los Hermanos Barron,18,18,3
1985-08-10,1,Adonde vas,Los Bukis,1,1,4
1985-08-10,2,Un rinconcito en el cielo,Ramon Ayala,5,2,4
1985-08-10,3,La jaula de oro,Los Tigres del Norte,2,1,4
1985-08-10,4,Con mariachi,Vikki Carr,3,3,4
1985-08-10,5,15 super exitos,Los Yonic's,4,3,4
1985-08-10,6,Rumores,Joan Sebastian,7,6,3
1985-08-10,7,15 exitos,Los Caminantes,6,6,4
1985-08-10,8,Despedida con mariachi,Los Cadetes de Linares,8,7,4
1985-08-10,9,Corridos,Los Invasores de Nuevo Leon,14,9,2
1985-08-10,10,13 aniversario,Los Humildes Hnos. Ayala,12,7,4
1985-08-10,11,Amor por gotitas,Chelo,10,10,4
1985-08-10,12,15 nuevos exitos,Vicente Fernandez,11,10,4
1985-08-10,13,Interpreta a Juan Gabriel,Lucha Villa,24,13,2
1985-08-10,14,Calla mujer calla,La Jilguerilla,-,14,1
1985-08-10,15,Interpreta corridos famosos,Federico Villa,-,15,1
1985-08-10,16,Mi fantasia,Los Bukis,17,11,3
1985-08-10,17,Homenaje a los trios,"Victor Iturbide ""El Piruli""",-,17,1
1985-08-10,18,Los Huracanes del Norte,Los Huracanes del Norte,15,11,4
1985-08-10,19,Neon Static,La Mafia,16,14,4
1985-08-10,20,Amor a la ligera,Los Invasores de Nuevo Leon,13,10,4
1985-08-10,21,Vidrios rotos,Ramon Ayala,21,20,4
1985-08-10,22,Supe perder,Los Caminantes,-,22,1
1985-08-10,23,The Windy City Boys,Grupo La Sombra,-,23,1
1985-08-10,24,El viboron y la canalla,Los Hermanos Barron,25,18,4
1985-08-10,25,Los cuatro traficantes,Carlos y Jose,19,19,2
1985-08-24,1,Adonde vas,Los Bukis,1,1,5
1985-08-24,2,La jaula de oro,Los Tigres del Norte,3,1,5
1985-08-24,3,15 super exitos,Los Yonic's,5,3,5
1985-08-24,4,15 exitos,Los Caminantes,7,4,5
1985-08-24,5,Un rinconcito en el cielo,Ramon Ayala,2,2,5
1985-08-24,6,Corridos,Los Invasores de Nuevo Leon,9,6,3
1985-08-24,7,13 aniversario,Los Humildes Hnos. Ayala,10,7,5
1985-08-24,8,Con mariachi,Vikki Carr,4,3,5
1985-08-24,9,Despedida con mariachi,Los Cadetes de Linares,8,7,5
1985-08-24,10,Homenaje a los trios,"Victor Iturbide ""El Piruli""",17,10,2
1985-08-24,11,Interpreta a Juan Gabriel,Lucha Villa,13,11,3
1985-08-24,12,15 nuevos exitos,Vicente Fernandez,12,10,5
1985-08-24,13,Rumores,Joan Sebastian,6,6,4
1985-08-24,14,Mi fantasia,Los Bukis,16,11,4
1985-08-24,15,El viboron y la canalla,Los Hermanos Barron,24,15,5
1985-08-24,16,Yolanda del Rio,Yolanda del Rio,-,16,1
1985-08-24,17,Exitos de oro,Gerardo Reyes,-,17,1
1985-08-24,18,Las paredes,Los Huracanes del Norte,-,18,1
1985-08-24,19,Carino,Los Invasores de Nuevo Leon,-,19,1
1985-08-24,20,Amor por gotitas,Chelo,11,10,5
1985-08-24,21,Decimo aniversario,Grupo Renacimiento 74,-,21,1
1985-08-24,22,Loco por ti,Grupo Zaaz,-,22,1
1985-08-24,23,Los Huracanes del Norte,Los Huracanes del Norte,18,11,5
1985-08-24,24,It's Majic,Grupo Majic,-,24,1
1985-08-24,25,Hot Stuff,La Mafia,-,25,1
1985-09-07,1,Adonde vas,Los Bukis,1,1,6
1985-09-07,2,La jaula de oro,Los Tigres del Norte,2,1,6
1985-09-07,3,Con mariachi,Vikki Carr,8,3,6
1985-09-07,4,Rumores,Joan Sebastian,13,4,5
1985-09-07,5,Un rinconcito en el cielo,Ramon Ayala,5,2,6
1985-09-07,6,15 super exitos,Los Yonic's,3,3,6
1985-09-07,7,Corridos,Los Invasores de Nuevo Leon,6,6,4
1985-09-07,8,Despedida con mariachi,Los Cadetes de Linares,9,7,6
1985-09-07,9,15 nuevos exitos,Vicente Fernandez,12,9,6
1985-09-07,10,Interpreta a Juan Gabriel,Lucha Villa,11,10,4
1985-09-07,11,15 exitos,Los Caminantes,4,4,6
1985-09-07,12,13 aniversario,Los Humildes Hnos. Ayala,7,7,6
1985-09-07,13,Como una estrella,Pegasso Del Pollo Estevan,-,13,1
1985-09-07,14,15 Autenticos exitos de hoy y siempre,Gerardo Reyes,-,14,1
1985-09-07,15,Mi fantasia,Los Bukis,14,11,5
1985-09-07,16,Carino,Los Invasores de Nuevo Leon,19,16,2
1985-09-07,17,Cada dia mejor,Los Caminantes,-,17,1
1985-09-07,18,Busca otro amor,Johnny Hernandez,-,18,1
1985-09-07,19,Amor por gotitas,Chelo,20,10,6
1985-09-07,20,La canalla,Los Vaskez,-,20,1
1985-09-07,21,Loco por ti,Grupo Zaaz,22,21,2
1985-09-07,22,Las paredes,Los Huracanes del Norte,18,18,2
1985-09-07,23,Decimo aniversario,Grupo Renacimiento 74,21,21,2
1985-09-07,24,Los Huracanes del Norte,Los Huracanes del Norte,23,11,6
1985-09-07,25,Homenaje a los trios,"Victor Iturbide ""El Piruli""",10,10,3
1985-09-21,1,Adonde vas,Los Bukis,1,1,7
1985-09-21,2,La jaula de oro,Los Tigres del Norte,2,1,7
1985-09-21,3,Rumores,Joan Sebastian,4,3,6
1985-09-21,4,Un rinconcito en el cielo,Ramon Ayala,5,2,7
1985-09-21,5,Con mariachi,Vikki Carr,3,3,7
1985-09-21,6,15 super exitos,Los Yonic's,6,3,7
1985-09-21,7,Por que me haces sufrir,Los Bondadosos,-,7,1
1985-09-21,8,16 superbaladas,Grupo Yndio,-,8,1
