Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2013-01-26,1,Unapologetic,Rihanna,-,1,1
2013-01-26,2,Girl On Fire,Alicia Keys,-,2,1
2013-01-26,3,Trilogy,The Weeknd,-,3,1
2013-01-26,4,Woman To Woman,Keyshia Cole,-,4,1
2013-01-26,5,Kaleidoscope Dream,Miguel,-,5,1
2013-01-26,6,Channel Orange,Frank Ocean,-,6,1
2013-01-26,7,R.E.D,Ne-Yo,-,7,1
2013-01-26,8,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,-,8,1
2013-01-26,9,Fortune,Chris Brown,-,9,1
2013-01-26,10,Two Eleven,Brandy,-,10,1
2013-01-26,11,"Hit The Road, Jack",Ray Charles,-,11,1
2013-01-26,12,Chapter V,Trey Songz,-,12,1
2013-01-26,13,Talk That Talk,Rihanna,-,13,1
2013-01-26,14,Perfectly Imperfect,Elle Varner,-,14,1
2013-01-26,15,Write Me Back,R. Kelly,-,15,1
2013-01-26,16,Looking 4 Myself,Usher,-,16,1
2013-01-26,17,True,Solange,-,17,1
2013-01-26,18,4,Beyonce,-,18,1
2013-01-26,19,Go Get It (Soundtrack),Mary Mary,-,19,1
2013-01-26,20,Our Version Of Events,Emeli Sande,-,20,1
2013-01-26,21,Allen Stone,Allen Stone,-,21,1
2013-01-26,22,My Life II...The Journey Continues (Act 1),Mary J. Blige,-,22,1
2013-01-26,23,Think Like A Man,Soundtrack,-,23,1
2013-01-26,24,Playlist: The Very Best Of Destiny's Child,Destiny's Child,-,24,1
2013-01-26,25,S.O.U.L: Marvin Gaye: Volume 2,Marvin Gaye,-,25,1
2013-02-02,1,Unapologetic,Rihanna,1,1,2
2013-02-02,2,Girl On Fire,Alicia Keys,2,2,2
2013-02-02,3,Trilogy,The Weeknd,3,3,2
2013-02-02,4,Woman To Woman,Keyshia Cole,4,4,2
2013-02-02,5,Beautiful,Teena Marie,-,5,1
2013-02-02,6,Kaleidoscope Dream,Miguel,5,5,2
2013-02-02,7,Channel Orange,Frank Ocean,6,6,2
2013-02-02,8,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,8,8,2
2013-02-02,9,R.E.D,Ne-Yo,7,7,2
2013-02-02,10,Goldenheart,Dawn Richard,-,10,1
2013-02-02,11,Chapter V,Trey Songz,12,11,2
2013-02-02,12,Fortune,Chris Brown,9,9,2
2013-02-02,13,Our Version Of Events,Emeli Sande,20,13,2
2013-02-02,14,Talk That Talk,Rihanna,13,13,2
2013-02-02,15,Two Eleven,Brandy,10,10,2
2013-02-02,16,Perfectly Imperfect,Elle Varner,14,14,2
2013-02-02,17,Write Me Back,R. Kelly,15,15,2
2013-02-02,18,Looking 4 Myself,Usher,16,16,2
2013-02-02,19,Go Get It (Soundtrack),Mary Mary,19,19,2
2013-02-02,20,4,Beyonce,18,18,2
2013-02-02,21,True,Solange,17,17,2
2013-02-02,22,S.O.U.L: Marvin Gaye: Volume 2,Marvin Gaye,25,22,2
2013-02-02,23,My Life II...The Journey Continues (Act 1),Mary J. Blige,22,22,2
2013-02-02,24,Playlist: The Very Best Of Destiny's Child,Destiny's Child,24,24,2
2013-02-02,25,Lioness: Hidden Treasures,Amy Winehouse,-,25,1
2013-02-09,1,Unapologetic,Rihanna,1,1,3
2013-02-09,2,Girl On Fire,Alicia Keys,2,2,3
2013-02-09,3,My True Story,Aaron Neville,-,3,1
2013-02-09,4,Trilogy,The Weeknd,3,3,3
2013-02-09,5,Kaleidoscope Dream,Miguel,6,5,3
2013-02-09,6,Woman To Woman,Keyshia Cole,4,4,3
2013-02-09,7,No Beginning No End,Jose James,-,7,1
2013-02-09,8,Channel Orange,Frank Ocean,7,6,3
2013-02-09,9,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,8,8,3
2013-02-09,10,R.E.D,Ne-Yo,9,7,3
2013-02-09,11,Our Version Of Events,Emeli Sande,13,11,3
2013-02-09,12,Beautiful,Teena Marie,5,5,2
2013-02-09,13,Chapter V,Trey Songz,11,11,3
2013-02-09,14,Fortune,Chris Brown,12,9,3
2013-02-09,15,4,Beyonce,20,15,3
2013-02-09,16,Talk That Talk,Rihanna,14,13,3
2013-02-09,17,Go Get It (Soundtrack),Mary Mary,19,17,3
2013-02-09,18,Write Me Back,R. Kelly,17,15,3
2013-02-09,19,Goldenheart,Dawn Richard,10,10,2
2013-02-09,20,Two Eleven,Brandy,15,10,3
2013-02-09,21,Looking 4 Myself,Usher,18,16,3
2013-02-09,22,Perfectly Imperfect,Elle Varner,16,14,3
2013-02-09,23,S.O.U.L: Marvin Gaye: Volume 2,Marvin Gaye,22,22,3
2013-02-09,24,True,Solange,21,17,3
2013-02-09,25,My Life II...The Journey Continues (Act 1),Mary J. Blige,23,22,3
2013-02-16,1,"Love, Charlie",Charlie Wilson,-,1,1
2013-02-16,2,Unapologetic,Rihanna,1,1,4
2013-02-16,3,Girl On Fire,Alicia Keys,2,2,4
2013-02-16,4,Trilogy,The Weeknd,4,3,4
2013-02-16,5,My True Story,Aaron Neville,3,3,2
2013-02-16,6,Woman To Woman,Keyshia Cole,6,4,4
2013-02-16,7,Love Songs,Destiny's Child,-,7,1
2013-02-16,8,Kaleidoscope Dream,Miguel,5,5,4
2013-02-16,9,Channel Orange,Frank Ocean,8,6,4
2013-02-16,10,Our Version Of Events,Emeli Sande,11,10,4
2013-02-16,11,4,Beyonce,15,11,4
2013-02-16,12,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,9,8,4
2013-02-16,13,R.E.D,Ne-Yo,10,7,4
2013-02-16,14,Chapter V,Trey Songz,13,11,4
2013-02-16,15,Beautiful,Teena Marie,12,5,3
2013-02-16,16,Fortune,Chris Brown,14,9,4
2013-02-16,17,A Time For Love,Jeffrey Osborne,-,17,1
2013-02-16,18,Write Me Back,R. Kelly,18,15,4
2013-02-16,19,Talk That Talk,Rihanna,16,13,4
2013-02-16,20,No Beginning No End,Jose James,7,7,2
2013-02-16,21,Playlist: The Very Best Of Destiny's Child,Destiny's Child,-,21,3
2013-02-16,22,Two Eleven,Brandy,20,10,4
2013-02-16,23,S.O.U.L: Marvin Gaye: Volume 2,Marvin Gaye,23,22,4
2013-02-16,24,Go Get It (Soundtrack),Mary Mary,17,17,4
2013-02-16,25,Looking 4 Myself,Usher,21,16,4
2013-02-23,1,Unapologetic,Rihanna,2,1,5
2013-02-23,2,"Love, Charlie",Charlie Wilson,1,1,2
2013-02-23,3,Girl On Fire,Alicia Keys,3,2,5
2013-02-23,4,Face The Music,Avant,-,4,1
2013-02-23,5,Channel Orange,Frank Ocean,9,5,5
2013-02-23,6,Woman To Woman,Keyshia Cole,6,4,5
2013-02-23,7,Kaleidoscope Dream,Miguel,8,5,5
2013-02-23,8,Trilogy,The Weeknd,4,3,5
2013-02-23,9,4,Beyonce,11,9,5
2013-02-23,10,Our Version Of Events,Emeli Sande,10,10,5
2013-02-23,11,My True Story,Aaron Neville,5,3,3
2013-02-23,12,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,12,8,5
2013-02-23,13,Love Songs,Destiny's Child,7,7,2
2013-02-23,14,Talk That Talk,Rihanna,19,13,5
2013-02-23,15,R.E.D,Ne-Yo,13,7,5
2013-02-23,16,Chapter V,Trey Songz,14,11,5
2013-02-23,17,Playlist: The Very Best Of Destiny's Child,Destiny's Child,21,17,4
2013-02-23,18,Fortune,Chris Brown,16,9,5
2013-02-23,19,Beautiful,Teena Marie,15,5,4
2013-02-23,20,My Life II...The Journey Continues (Act 1),Mary J. Blige,-,20,4
2013-02-23,21,Two Eleven,Brandy,22,10,5
2013-02-23,22,Go Get It (Soundtrack),Mary Mary,24,17,5
2013-02-23,23,Open Invitation,Tyrese,-,23,1
2013-02-23,24,Write Me Back,R. Kelly,18,15,5
2013-02-23,25,Perfectly Imperfect,Elle Varner,-,14,4
2013-03-02,1,Unapologetic,Rihanna,1,1,6
2013-03-02,2,Girl On Fire,Alicia Keys,3,2,6
2013-03-02,3,Kaleidoscope Dream,Miguel,7,3,6
2013-03-02,4,Channel Orange,Frank Ocean,5,4,6
2013-03-02,5,"Love, Charlie",Charlie Wilson,2,1,3
2013-03-02,6,Woman To Woman,Keyshia Cole,6,4,6
2013-03-02,7,Trilogy,The Weeknd,8,3,6
2013-03-02,8,Face The Music,Avant,4,4,2
2013-03-02,9,4,Beyonce,9,9,6
2013-03-02,10,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,12,8,6
2013-03-02,11,Chapter V,Trey Songz,16,11,6
2013-03-02,12,R.E.D,Ne-Yo,15,7,6
2013-03-02,13,Our Version Of Events,Emeli Sande,10,10,6
2013-03-02,14,Love Songs,Destiny's Child,13,7,3
2013-03-02,15,Talk That Talk,Rihanna,14,13,6
2013-03-02,16,My True Story,Aaron Neville,11,3,4
2013-03-02,17,Fortune,Chris Brown,18,9,6
2013-03-02,18,Two Eleven,Brandy,21,10,6
2013-03-02,19,Playlist: The Very Best Of Destiny's Child,Destiny's Child,17,17,5
2013-03-02,20,Write Me Back,R. Kelly,24,15,6
2013-03-02,21,Go Get It (Soundtrack),Mary Mary,22,17,6
2013-03-02,22,Looking 4 Myself,Usher,-,16,5
2013-03-02,23,My Life II...The Journey Continues (Act 1),Mary J. Blige,20,20,5
2013-03-02,24,Perfectly Imperfect,Elle Varner,25,14,5
2013-03-02,25,Open Invitation,Tyrese,23,23,2
2013-03-09,1,Unapologetic,Rihanna,1,1,7
2013-03-09,2,Girl On Fire,Alicia Keys,2,2,7
2013-03-09,3,"Love, Charlie",Charlie Wilson,5,1,4
2013-03-09,4,Kaleidoscope Dream,Miguel,3,3,7
2013-03-09,5,Trilogy,The Weeknd,7,3,7
2013-03-09,6,4,Beyonce,9,6,7
2013-03-09,7,Woman To Woman,Keyshia Cole,6,4,7
2013-03-09,8,Our Version Of Events,Emeli Sande,13,8,7
2013-03-09,9,Channel Orange,Frank Ocean,4,4,7
2013-03-09,10,Face The Music,Avant,8,4,3
2013-03-09,11,Chapter V,Trey Songz,11,11,7
2013-03-09,12,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,10,8,7
2013-03-09,13,R.E.D,Ne-Yo,12,7,7
2013-03-09,14,Love Songs,Destiny's Child,14,7,4
2013-03-09,15,Fortune,Chris Brown,17,9,7
2013-03-09,16,My True Story,Aaron Neville,16,3,5
2013-03-09,17,Talk That Talk,Rihanna,15,13,7
2013-03-09,18,Write Me Back,R. Kelly,20,15,7
2013-03-09,19,Two Eleven,Brandy,18,10,7
2013-03-09,20,Playlist: The Very Best Of Destiny's Child,Destiny's Child,19,17,6
2013-03-09,21,Go Get It (Soundtrack),Mary Mary,21,17,7
2013-03-09,22,Looking 4 Myself,Usher,22,16,6
2013-03-09,23,Perfectly Imperfect,Elle Varner,24,14,6
2013-03-09,24,Open Invitation,Tyrese,25,23,3
2013-03-09,25,My Life II...The Journey Continues (Act 1),Mary J. Blige,23,20,6
2013-03-16,1,Unapologetic,Rihanna,1,1,8
2013-03-16,2,Girl On Fire,Alicia Keys,2,2,8
2013-03-16,3,Ain't No Mountain High Enough: A Tribute To Hitsville U.S.A.,Michael Bolton,-,3,1
2013-03-16,4,"Love, Charlie",Charlie Wilson,3,1,5
2013-03-16,5,Dance Again ... The Hits,Jennifer Lopez,-,5,1
2013-03-16,6,Trilogy,The Weeknd,5,3,8
2013-03-16,7,Kaleidoscope Dream,Miguel,4,3,8
2013-03-16,8,Chapter V,Trey Songz,11,8,8
2013-03-16,9,Our Version Of Events,Emeli Sande,8,8,8
2013-03-16,10,Woman To Woman,Keyshia Cole,7,4,8
2013-03-16,11,Channel Orange,Frank Ocean,9,4,8
2013-03-16,12,A Love Surreal,Bilal,-,12,1
2013-03-16,13,4,Beyonce,6,6,8
2013-03-16,14,Face The Music,Avant,10,4,4
2013-03-16,15,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,12,8,8
2013-03-16,16,Simply Tweet (EP),Tweet,-,16,1
2013-03-16,17,My True Story,Aaron Neville,16,3,6
2013-03-16,18,R.E.D,Ne-Yo,13,7,8
2013-03-16,19,Fortune,Chris Brown,15,9,8
2013-03-16,20,Love Songs,Destiny's Child,14,7,5
2013-03-16,21,Talk That Talk,Rihanna,17,13,8
2013-03-16,22,Go Get It (Soundtrack),Mary Mary,21,17,8
2013-03-16,23,Write Me Back,R. Kelly,18,15,8
2013-03-16,24,Minute By Minute,The James Hunter Six,-,24,1
2013-03-16,25,Playlist: The Very Best Of Destiny's Child,Destiny's Child,20,17,7
2013-03-23,1,Unapologetic,Rihanna,1,1,9
2013-03-23,2,Trilogy,The Weeknd,6,2,9
2013-03-23,3,Girl On Fire,Alicia Keys,2,2,9
2013-03-23,4,Kaleidoscope Dream,Miguel,7,3,9
2013-03-23,5,"Love, Charlie",Charlie Wilson,4,1,6
2013-03-23,6,Our Version Of Events,Emeli Sande,9,6,9
2013-03-23,7,Woman To Woman,Keyshia Cole,10,4,9
2013-03-23,8,Channel Orange,Frank Ocean,11,4,9
2013-03-23,9,My True Story,Aaron Neville,17,3,7
2013-03-23,10,THIS...Is Marcus Canty (EP),Marcus Canty,-,10,1
2013-03-23,11,Chapter V,Trey Songz,8,8,9
2013-03-23,12,Face The Music,Avant,14,4,5
2013-03-23,13,4,Beyonce,13,6,9
2013-03-23,14,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,15,8,9
2013-03-23,15,Ain't No Mountain High Enough: A Tribute To Hitsville U.S.A.,Michael Bolton,3,3,2
2013-03-23,16,A Love Surreal,Bilal,12,12,2
2013-03-23,17,Talk That Talk,Rihanna,21,13,9
2013-03-23,18,R.E.D,Ne-Yo,18,7,9
2013-03-23,19,Fortune,Chris Brown,19,9,9
2013-03-23,20,Go Get It (Soundtrack),Mary Mary,22,17,9
2013-03-23,21,Write Me Back,R. Kelly,23,15,9
2013-03-23,22,Two Eleven,Brandy,-,10,8
2013-03-23,23,Looking 4 Myself,Usher,-,16,7
