Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1993-09-18,1,Right Here/Human Nature,SWV,-,1,1
1993-09-18,2,Another Sad Love Song,Toni Braxton,-,2,1
1993-09-18,3,Dreamlover,Mariah Carey,-,3,1
1993-09-18,4,If,Janet Jackson,-,4,1
1993-09-18,5,Hey Mr. D.J.,Zhane,-,5,1
1993-09-18,6,One Last Cry,Brian McKnight,-,6,1
1993-09-18,7,Downtown,SWV,-,7,1
1993-09-18,8,For The Cool In You,Babyface,-,8,1
1993-09-18,9,It's For You,Shanice,-,9,1
1993-09-18,10,Runaway Love,En Vogue Featuring FMOB,-,10,1
1993-09-18,11,Something's Goin' On,U.N.V.,-,11,1
1993-09-18,12,Something In Your Eyes,Bell Biv DeVoe,-,12,1
1993-09-18,13,Lately,Jodeci,-,13,1
1993-09-18,14,I'm In Luv,Joe,-,14,1
1993-09-18,15,Baby I'm Yours,Shai,-,15,1
1993-09-18,16,I Get Around,2Pac,-,16,1
1993-09-18,17,Sunday Morning,"Earth, Wind & Fire",-,17,1
1993-09-18,18,Girl U For Me,Silk,-,18,1
1993-09-18,19,Alright,Kris Kross Featuring Supercat,-,19,1
1993-09-18,20,Lick U Up,H-Town,-,20,1
1993-09-18,21,Laid Back Girl,Maze Featuring Frankie Beverly,-,21,1
1993-09-18,22,Get It Up,TLC,-,22,1
1993-09-18,23,Cry No More,II D Extreme,-,23,1
1993-09-18,24,Ruffneck,MC Lyte,-,24,1
1993-09-18,25,Lose Control,Silk,-,25,1
1993-09-18,26,Come Inside,Intro,-,26,1
1993-09-18,27,That's The Way Love Goes,Janet Jackson,-,27,1
1993-09-18,28,If I Had No Loot,Tony! Toni! Tone!,-,28,1
1993-09-18,29,Anniversary,Tony! Toni! Tone!,-,29,1
1993-09-18,30,Heaven Knows,Luther Vandross,-,30,1
1993-09-18,31,Love No Limit,Mary J. Blige,-,31,1
1993-09-18,32,Somebody Else Will,The O'Jays,-,32,1
1993-09-18,33,One Woman,Jade,-,33,1
1993-09-18,34,Whoomp! (There It Is!),Tag Team,-,34,1
1993-09-18,35,Weak,SWV,-,35,1
1993-09-18,36,Check Yo Self,Ice Cube Featuring Das EFX,-,36,1
1993-09-18,37,Knockin' Da Boots,H-Town,-,37,1
1993-09-18,38,Want U Back,ME-2-U,-,38,1
1993-09-18,39,Very Special,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",-,39,1
1993-09-18,40,abc-123,Levert,-,40,1
1993-09-25,1,Right Here/Human Nature,SWV,1,1,2
1993-09-25,2,Another Sad Love Song,Toni Braxton,2,2,2
1993-09-25,3,Dreamlover,Mariah Carey,3,3,2
1993-09-25,4,Hey Mr. D.J.,Zhane,5,4,2
1993-09-25,5,If,Janet Jackson,4,4,2
1993-09-25,6,Downtown,SWV,7,6,2
1993-09-25,7,One Last Cry,Brian McKnight,6,6,2
1993-09-25,8,It's For You,Shanice,9,8,2
1993-09-25,9,Runaway Love,En Vogue Featuring FMOB,10,9,2
1993-09-25,10,For The Cool In You,Babyface,8,8,2
1993-09-25,11,Something's Goin' On,U.N.V.,11,11,2
1993-09-25,12,Something In Your Eyes,Bell Biv DeVoe,12,12,2
1993-09-25,13,Baby I'm Yours,Shai,15,13,2
1993-09-25,14,I'm In Luv,Joe,14,14,2
1993-09-25,15,Lately,Jodeci,13,13,2
1993-09-25,16,Laid Back Girl,Maze Featuring Frankie Beverly,21,16,2
1993-09-25,17,Sunday Morning,"Earth, Wind & Fire",17,17,2
1993-09-25,18,I Get Around,2Pac,16,16,2
1993-09-25,19,Pink Cashmere,Prince,-,19,1
1993-09-25,20,Come Inside,Intro,26,20,2
1993-09-25,21,Alright,Kris Kross Featuring Supercat,19,19,2
1993-09-25,22,Ruffneck,MC Lyte,24,22,2
1993-09-25,23,Lick U Up,H-Town,20,20,2
1993-09-25,24,Lose Control,Silk,25,24,2
1993-09-25,25,Girl U For Me,Silk,18,18,2
1993-09-25,26,Heaven Knows,Luther Vandross,30,26,2
1993-09-25,27,Just Kickin' It,Xscape,-,27,1
1993-09-25,28,Cry No More,II D Extreme,23,23,2
1993-09-25,29,Get It Up,TLC,22,22,2
1993-09-25,30,Breathe Again,Toni Braxton,-,30,1
1993-09-25,31,That's The Way Love Goes,Janet Jackson,27,27,2
1993-09-25,32,Love No Limit,Mary J. Blige,31,31,2
1993-09-25,33,Anniversary,Tony! Toni! Tone!,29,29,2
1993-09-25,34,Somebody Else Will,The O'Jays,32,32,2
1993-09-25,35,If I Had No Loot,Tony! Toni! Tone!,28,28,2
1993-09-25,36,Whoomp! (There It Is!),Tag Team,34,34,2
1993-09-25,37,One Woman,Jade,33,33,2
1993-09-25,38,Knockin' Da Boots,H-Town,37,37,2
1993-09-25,39,abc-123,Levert,40,39,2
1993-09-25,40,Check Yo Self,Ice Cube Featuring Das EFX,36,36,2
1993-10-02,1,Dreamlover,Mariah Carey,3,1,3
1993-10-02,2,Right Here/Human Nature,SWV,1,1,3
1993-10-02,3,Hey Mr. D.J.,Zhane,4,3,3
1993-10-02,4,Another Sad Love Song,Toni Braxton,2,2,3
1993-10-02,5,Downtown,SWV,6,5,3
1993-10-02,6,If,Janet Jackson,5,4,3
1993-10-02,7,It's For You,Shanice,8,7,3
1993-10-02,8,For The Cool In You,Babyface,10,8,3
1993-10-02,9,Runaway Love,En Vogue Featuring FMOB,9,9,3
1993-10-02,10,One Last Cry,Brian McKnight,7,6,3
1993-10-02,11,Something In Your Eyes,Bell Biv DeVoe,12,11,3
1993-10-02,12,Something's Goin' On,U.N.V.,11,11,3
1993-10-02,13,Just Kickin' It,Xscape,27,13,2
1993-10-02,14,Laid Back Girl,Maze Featuring Frankie Beverly,16,14,3
1993-10-02,15,I'm In Luv,Joe,14,14,3
1993-10-02,16,Pink Cashmere,Prince,19,16,2
1993-10-02,17,Come Inside,Intro,20,17,3
1993-10-02,18,Sunday Morning,"Earth, Wind & Fire",17,17,3
1993-10-02,19,Anniversary,Tony! Toni! Tone!,33,19,3
1993-10-02,20,Baby I'm Yours,Shai,13,13,3
1993-10-02,21,I Get Around,2Pac,18,16,3
1993-10-02,22,Lately,Jodeci,15,13,3
1993-10-02,23,Breathe Again,Toni Braxton,30,23,2
1993-10-02,24,Heaven Knows,Luther Vandross,26,24,3
1993-10-02,25,Alright,Kris Kross Featuring Supercat,21,19,3
1993-10-02,26,Cry No More,II D Extreme,28,23,3
1993-10-02,27,Ruffneck,MC Lyte,22,22,3
1993-10-02,28,Lose Control,Silk,24,24,3
1993-10-02,29,Lick U Up,H-Town,23,20,3
1993-10-02,30,Girl U For Me,Silk,25,18,3
1993-10-02,31,Love No Limit,Mary J. Blige,32,31,3
1993-10-02,32,That's The Way Love Goes,Janet Jackson,31,27,3
1993-10-02,33,Whoomp! (There It Is!),Tag Team,36,33,3
