Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1992-04-04,1,Remember The Time,Michael Jackson,-,1,1
1992-04-04,2,Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),-,2,1
1992-04-04,3,Somebody Loves You Baby,Patti LaBelle,-,3,1
1992-04-04,4,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,-,4,1
1992-04-04,5,Don't Be Afraid,Aaron Hall,-,5,1
1992-04-04,6,Make It Happen,Mariah Carey,-,6,1
1992-04-04,7,My Lovin' (You're Never Gonna Get It),En Vogue,-,7,1
1992-04-04,8,Save The Best For Last,Vanessa Williams,-,8,1
1992-04-04,9,Stay,Jodeci,-,9,1
1992-04-04,10,Please Don't Go,Boyz II Men,-,10,1
1992-04-04,11,Diamonds And Pearls,Prince And The N.P.G.,-,11,1
1992-04-04,12,Love You All My Lifetime,Chaka Khan,-,12,1
1992-04-04,13,Here I Go Again,Glenn Jones,-,13,1
1992-04-04,14,I Love Your Smile,Shanice,-,14,1
1992-04-04,15,Masterpiece,Atlantic Starr,-,15,1
1992-04-04,16,Goodbye,Tevin Campbell,-,16,1
1992-04-04,17,Everlasting Love,Tony Terry,-,17,1
1992-04-04,18,Keep It Comin',Keith Sweat,-,18,1
1992-04-04,19,Tell Me What You Want Me To Do,Tevin Campbell,-,19,1
1992-04-04,20,Live And Learn,Joe Public,-,20,1
1992-04-04,21,Ain't 2 Proud 2 Beg,TLC,-,21,1
1992-04-04,22,Come & Talk To Me,Jodeci,-,22,1
1992-04-04,23,All Woman,Lisa Stansfield,-,23,1
1992-04-04,24,Sometimes It's Only Love,Luther Vandross,-,24,1
1992-04-04,25,We Got A Love Thang,CeCe Peniston,-,25,1
1992-04-04,26,Love Me,Tracie Spencer,-,26,1
1992-04-04,27,Can't Let Go,Mariah Carey,-,27,1
1992-04-04,28,Is It Good To You,Heavy D & The Boyz,-,28,1
1992-04-04,29,Why Me Baby?,Keith Sweat,-,29,1
1992-04-04,30,The Comfort Zone,Vanessa Williams,-,30,1
1992-04-04,31,I Want You,Jody Watley,-,31,1
1992-04-04,32,Uhh Ahh,Boyz II Men,-,32,1
1992-04-04,33,Take Time,Chris Walker,-,33,1
1992-04-04,34,Testify,The Sounds Of Blackness,-,34,1
1992-04-04,35,I'm The One You Need,Jody Watley,-,35,1
1992-04-04,36,It's O.K.,BeBe & CeCe Winans,-,36,1
1992-04-04,37,Jump,Kris Kross,-,37,1
1992-04-04,38,The Choice Is Yours,Black Sheep,-,38,1
1992-04-04,39,Up And Over,Skyy,-,39,1
1992-04-04,40,Can't Have My Man,Alyson Williams,-,40,1
1992-04-11,1,Remember The Time,Michael Jackson,1,1,2
1992-04-11,2,Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),2,2,2
1992-04-11,3,Somebody Loves You Baby,Patti LaBelle,3,3,2
1992-04-11,4,My Lovin' (You're Never Gonna Get It),En Vogue,7,4,2
1992-04-11,5,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,4,4,2
1992-04-11,6,Make It Happen,Mariah Carey,6,6,2
1992-04-11,7,Don't Be Afraid,Aaron Hall,5,5,2
1992-04-11,8,Stay,Jodeci,9,8,2
1992-04-11,9,Save The Best For Last,Vanessa Williams,8,8,2
1992-04-11,10,Goodbye,Tevin Campbell,16,10,2
1992-04-11,11,Please Don't Go,Boyz II Men,10,10,2
1992-04-11,12,Love You All My Lifetime,Chaka Khan,12,12,2
1992-04-11,13,Live And Learn,Joe Public,20,13,2
1992-04-11,14,Here I Go Again,Glenn Jones,13,13,2
1992-04-11,15,Masterpiece,Atlantic Starr,15,15,2
1992-04-11,16,Come & Talk To Me,Jodeci,22,16,2
1992-04-11,17,All Woman,Lisa Stansfield,23,17,2
1992-04-11,18,I Love Your Smile,Shanice,14,14,2
1992-04-11,19,Ain't 2 Proud 2 Beg,TLC,21,19,2
1992-04-11,20,Diamonds And Pearls,Prince And The N.P.G.,11,11,2
1992-04-11,21,Everlasting Love,Tony Terry,17,17,2
1992-04-11,22,Keep It Comin',Keith Sweat,18,18,2
