Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1958-10-20,1,Rock-in Robin,Bobby Day,-,1,1
1958-10-20,2,Tears On My Pillow,Little Anthony And The Imperials,-,2,1
1958-10-20,3,It's All In The Game,Tommy Edwards,-,3,1
1958-10-20,4,Win Your Love For Me,Sam Cooke,-,4,1
1958-10-20,5,Topsy II,Cozy Cole,-,5,1
1958-10-20,6,Down The Aisle Of Love,The Quin-Tones,-,6,1
1958-10-20,7,Hold It,Bill Doggett,-,7,1
1958-10-20,8,It Don't Hurt No More,Nappy Brown,-,8,1
1958-10-20,9,Ten Commandments Of Love,Harvey & The Moonglows,-,9,1
1958-10-20,10,I'm Gonna Get My Baby,Jimmy Reed,-,10,1
1958-10-20,11,Little Boy Blue,"Bobby ""Blue"" Bland",-,11,1
1958-10-20,12,My Life,Chuck Willis,-,12,1
1958-10-20,13,Yes I Want You,Ivory Joe Hunter,-,13,1
1958-10-20,14,Close To You,Muddy Waters,-,14,1
1958-10-20,15,Chantilly Lace,Big Bopper,-,15,1
1958-10-20,16,Baby Face,Little Richard,-,16,1
1958-10-20,17,A Lover's Question,Clyde McPhatter,-,17,1
1958-10-20,18,Carol,Chuck Berry,-,18,1
1958-10-20,19,Summertime Blues,Eddie Cochran,-,19,1
1958-10-20,20,Itchy Twitchy Feeling,Bobby Hendricks,-,20,1
1958-10-20,21,Little Star,The Elegants,-,21,1
1958-10-20,22,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,-,22,1
1958-10-20,23,Key To The Highway,Little Walter,-,23,1
1958-10-20,24,Tell It Like It Is,Little Willie John,-,24,1
1958-10-20,25,It's So Fine,LaVern Baker,-,25,1
1958-10-20,26,Susie Darlin',Robin Luke,-,26,1
1958-10-20,27,You Cheated,The Shields,-,27,1
1958-10-20,28,Just A Dream,Jimmy Clanton And His Rockets,-,28,1
1958-10-20,29,Come Back My Love,The Impressions,-,29,1
1958-10-20,30,The End,Earl Grant,-,30,1
1958-10-27,1,Topsy II,Cozy Cole,5,1,2
