Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2013-04-20,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,-,1,1
2013-04-20,2,Started From The Bottom,Drake,-,2,1
2013-04-20,3,Love Me,Lil Wayne Featuring Drake & Future,-,3,1
2013-04-20,4,Suit & Tie,Justin Timberlake Featuring JAY Z,-,4,1
2013-04-20,5,Bad,Wale Featuring Tiara Thomas Or Rihanna,-,5,1
2013-04-20,6,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",-,6,1
2013-04-20,7,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,-,7,1
2013-04-20,8,Power Trip,J. Cole Featuring Miguel,-,8,1
2013-04-20,9,Bugatti,Ace Hood Featuring Future & Rick Ross,-,9,1
2013-04-20,10,Girl On Fire,Alicia Keys Featuring Nicki Minaj,-,10,1
2013-04-20,11,Rich As F**k,Lil Wayne Featuring 2 Chainz,-,11,1
2013-04-20,12,All Gold Everything,Trinidad James,-,12,1
2013-04-20,13,Diamonds,Rihanna,-,13,1
2013-04-20,14,Poetic Justice,Kendrick Lamar Featuring Drake,-,14,1
2013-04-20,15,Wop,J. Dash,-,15,1
2013-04-20,16,No Worries,Lil Wayne Featuring Detail,-,16,1
2013-04-20,17,High School,Nicki Minaj Featuring Lil Wayne,-,17,1
2013-04-20,18,Swimming Pools (Drank),Kendrick Lamar,-,18,1
2013-04-20,19,Pour It Up,Rihanna,-,19,1
2013-04-20,20,R.I.P.,Young Jeezy Featuring 2 Chainz,-,20,1
2013-04-20,21,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,-,21,1
2013-04-20,22,I'm Different,2 Chainz,-,22,1
2013-04-20,23,Wild For The Night,A$AP Rocky Featuring Skrillex,-,23,1
2013-04-20,24,Pusher Love Girl,Justin Timberlake,-,24,1
2013-04-20,25,Neva End,Future,-,25,1
2013-04-27,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,2
2013-04-27,2,Started From The Bottom,Drake,2,2,2
2013-04-27,3,Love Me,Lil Wayne Featuring Drake & Future,3,3,2
2013-04-27,4,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,7,4,2
2013-04-27,5,Power Trip,J. Cole Featuring Miguel,8,5,2
2013-04-27,6,Suit & Tie,Justin Timberlake Featuring JAY Z,4,4,2
2013-04-27,7,I Hit It First,Ray J Featuring Bobby Brackins,-,7,1
2013-04-27,8,Bad,Wale Featuring Tiara Thomas Or Rihanna,5,5,2
2013-04-27,9,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",6,6,2
2013-04-27,10,High School,Nicki Minaj Featuring Lil Wayne,17,10,2
2013-04-27,11,Bugatti,Ace Hood Featuring Future & Rick Ross,9,9,2
2013-04-27,12,Girl On Fire,Alicia Keys Featuring Nicki Minaj,10,10,2
2013-04-27,13,Rich As F**k,Lil Wayne Featuring 2 Chainz,11,11,2
2013-04-27,14,Diamonds,Rihanna,13,13,2
2013-04-27,15,Fine China,Chris Brown,-,15,1
2013-04-27,16,All Gold Everything,Trinidad James,12,12,2
2013-04-27,17,Poetic Justice,Kendrick Lamar Featuring Drake,14,14,2
2013-04-27,18,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,-,18,1
2013-04-27,19,No Worries,Lil Wayne Featuring Detail,16,16,2
2013-04-27,20,Swimming Pools (Drank),Kendrick Lamar,18,18,2
2013-04-27,21,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,21,21,2
2013-04-27,22,R.I.P.,Young Jeezy Featuring 2 Chainz,20,20,2
2013-04-27,23,Pour It Up,Rihanna,19,19,2
2013-04-27,24,"Bitch, Don't Kill My Vibe",Kendrick Lamar,-,24,1
2013-04-27,25,Wop,J. Dash,15,15,2
2013-05-04,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,3
2013-05-04,2,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,4,2,3
2013-05-04,3,Started From The Bottom,Drake,2,2,3
2013-05-04,4,Love Me,Lil Wayne Featuring Drake & Future,3,3,3
2013-05-04,5,Power Trip,J. Cole Featuring Miguel,5,5,3
2013-05-04,6,Bad,Wale Featuring Tiara Thomas Or Rihanna,8,5,3
2013-05-04,7,Suit & Tie,Justin Timberlake Featuring JAY Z,6,4,3
2013-05-04,8,F**kin Problems,"A$AP Rocky Featuring Drake , 2 Chainz & Kendrick Lamar",9,6,3
2013-05-04,9,Rich As F**k,Lil Wayne Featuring 2 Chainz,13,9,3
2013-05-04,10,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,18,10,2
2013-05-04,11,Bugatti,Ace Hood Featuring Future & Rick Ross,11,9,3
2013-05-04,12,Girl On Fire,Alicia Keys Featuring Nicki Minaj,12,10,3
2013-05-04,13,Diamonds,Rihanna,14,13,3
2013-05-04,14,I Hit It First,Ray J Featuring Bobby Brackins,7,7,2
2013-05-04,15,High School,Nicki Minaj Featuring Lil Wayne,10,10,3
2013-05-04,16,All Gold Everything,Trinidad James,16,12,3
2013-05-04,17,Fine China,Chris Brown,15,15,2
2013-05-04,18,Poetic Justice,Kendrick Lamar Featuring Drake,17,14,3
2013-05-04,19,Molly,"Tyga Featuring Cedric Gervais , Wiz Khalifa & Mally Mall",-,19,1
2013-05-04,20,No Worries,Lil Wayne Featuring Detail,19,16,3
2013-05-04,21,Adorn,Miguel,-,21,1
2013-05-04,22,"Bitch, Don't Kill My Vibe",Kendrick Lamar,24,22,2
2013-05-04,23,Swimming Pools (Drank),Kendrick Lamar,20,18,3
2013-05-04,24,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,21,21,3
