Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2013-04-20,1,Suit & Tie,Justin Timberlake Featuring JAY Z,-,1,1
2013-04-20,2,Girl On Fire,Alicia Keys Featuring Nicki Minaj,-,2,1
2013-04-20,3,Diamonds,Rihanna,-,3,1
2013-04-20,4,Pour It Up,Rihanna,-,4,1
2013-04-20,5,Pusher Love Girl,Justin Timberlake,-,5,1
2013-04-20,6,Wicked Games,The Weeknd,-,6,1
2013-04-20,7,Adorn,Miguel,-,7,1
2013-04-20,8,Loveeeeeee Song,Rihanna Featuring Future,-,8,1
2013-04-20,9,Dance For You,Beyonce,-,9,1
2013-04-20,10,Don't Judge Me,Chris Brown,-,10,1
2013-04-20,11,Love And War,Tamar Braxton,-,11,1
2013-04-20,12,Single Ladies (Put A Ring On It),Beyonce,-,12,1
2013-04-20,13,Thinkin Bout You,Frank Ocean,-,13,1
2013-04-20,14,Kisses Down Low,Kelly Rowland,-,14,1
2013-04-20,15,Fine China,Chris Brown,-,15,1
2013-04-27,1,Suit & Tie,Justin Timberlake Featuring JAY Z,1,1,2
2013-04-27,2,I Hit It First,Ray J Featuring Bobby Brackins,-,2,1
2013-04-27,3,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2,2,2
2013-04-27,4,Diamonds,Rihanna,3,3,2
2013-04-27,5,Fine China,Chris Brown,15,5,2
2013-04-27,6,Pour It Up,Rihanna,4,4,2
2013-04-27,7,Adorn,Miguel,7,7,2
2013-04-27,8,Wicked Games,The Weeknd,6,6,2
2013-04-27,9,Single Ladies (Put A Ring On It),Beyonce,12,9,2
2013-04-27,10,Thinkin Bout You,Frank Ocean,13,10,2
2013-04-27,11,Pusher Love Girl,Justin Timberlake,5,5,2
2013-04-27,12,Dance For You,Beyonce,9,9,2
2013-04-27,13,Don't Judge Me,Chris Brown,10,10,2
2013-04-27,14,Loveeeeeee Song,Rihanna Featuring Future,8,8,2
2013-04-27,15,Love And War,Tamar Braxton,11,11,2
2013-05-04,1,Suit & Tie,Justin Timberlake Featuring JAY Z,1,1,3
2013-05-04,2,Girl On Fire,Alicia Keys Featuring Nicki Minaj,3,2,3
2013-05-04,3,Diamonds,Rihanna,4,3,3
2013-05-04,4,I Hit It First,Ray J Featuring Bobby Brackins,2,2,2
2013-05-04,5,Fine China,Chris Brown,5,5,3
2013-05-04,6,Adorn,Miguel,7,6,3
2013-05-04,7,Pour It Up,Rihanna,6,4,3
2013-05-04,8,Single Ladies (Put A Ring On It),Beyonce,9,8,3
2013-05-04,9,Wicked Games,The Weeknd,8,6,3
2013-05-04,10,How Many Drinks?,Miguel,-,10,1
2013-05-04,11,Dance For You,Beyonce,12,9,3
2013-05-04,12,Thinkin Bout You,Frank Ocean,10,10,3
2013-05-04,13,Don't Judge Me,Chris Brown,13,10,3
2013-05-04,14,Next To Me,Emeli Sande,16,14,3
2013-05-04,15,Love And War,Tamar Braxton,15,11,3
2013-05-11,1,Body Party,Ciara,19,1,2
2013-05-11,2,Suit & Tie,Justin Timberlake Featuring JAY Z,1,1,4
2013-05-11,3,Diamonds,Rihanna,3,3,4
2013-05-11,4,Fine China,Chris Brown,5,4,4
2013-05-11,5,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2,2,4
2013-05-11,6,Adorn,Miguel,6,6,4
2013-05-11,7,Pour It Up,Rihanna,7,4,4
2013-05-11,8,Dance For You,Beyonce,11,8,4
2013-05-11,9,Next To Me,Emeli Sande,14,9,4
2013-05-11,10,Wicked Games,The Weeknd,9,6,4
2013-05-11,11,How Many Drinks?,Miguel,10,10,2
2013-05-11,12,Kisses Down Low,Kelly Rowland,16,12,4
2013-05-11,13,Thinkin Bout You,Frank Ocean,12,10,4
2013-05-11,14,I Hit It First,Ray J Featuring Bobby Brackins,4,2,3
2013-05-11,15,Don't Judge Me,Chris Brown,13,10,4
2013-05-18,1,Body Party,Ciara,1,1,3
2013-05-18,2,I Hit It First,Ray J Featuring Bobby Brackins,14,2,4
2013-05-18,3,Suit & Tie,Justin Timberlake Featuring JAY Z,2,1,5
2013-05-18,4,Diamonds,Rihanna,3,3,5
2013-05-18,5,Fine China,Chris Brown,4,4,5
2013-05-18,6,Girl On Fire,Alicia Keys Featuring Nicki Minaj,5,2,5
2013-05-18,7,Adorn,Miguel,6,6,5
2013-05-18,8,Next To Me,Emeli Sande,9,8,5
2013-05-18,9,Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,-,9,1
2013-05-18,10,Dance For You,Beyonce,8,8,5
2013-05-18,11,Pour It Up,Rihanna,7,4,5
2013-05-18,12,How Many Drinks?,Miguel,11,10,3
2013-05-18,13,Kisses Down Low,Kelly Rowland,12,12,5
2013-05-18,14,Wicked Games,The Weeknd,10,6,5
