Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2009-06-20,1,Know Your Enemy,Green Day,-,1,1
2009-06-20,2,New Divide,Linkin Park,-,2,1
2009-06-20,3,Use Somebody,Kings of Leon,-,3,1
2009-06-20,4,Careless Whisper,Seether,-,4,1
2009-06-20,5,Lifeline,Papa Roach,-,5,1
2009-06-20,6,Panic Switch,Silversun Pickups,-,6,1
2009-06-20,7,Sound Of Madness,Shinedown,-,7,1
2009-06-20,8,Ain't No Rest For The Wicked,Cage the Elephant,-,8,1
2009-06-20,9,Second Chance,Shinedown,-,9,1
2009-06-20,10,Sex On Fire,Kings of Leon,-,10,1
2009-06-20,11,The Night,Disturbed,-,11,1
2009-06-20,12,Feel Good Drag,Anberlin,-,12,1
2009-06-20,13,Drowning (Face Down),Saving Abel,-,13,1
2009-06-20,14,I Don't Care,Apocalyptica Featuring Adam Gontier,-,14,1
2009-06-20,15,Black Heart Inertia,Incubus,-,15,1
2009-06-20,16,Audience Of One,Rise Against,-,16,1
2009-06-20,17,Hey You,311,-,17,1
2009-06-20,18,Champagne,Cavo,-,18,1
2009-06-20,19,Funny The Way It Is,Dave Matthews Band,-,19,1
2009-06-20,20,21 Guns,Green Day,-,20,1
2009-06-20,21,Do What You Do,Mudvayne,-,21,1
2009-06-20,22,Kids,MGMT,-,22,1
2009-06-20,23,Sometime Around Midnight,The Airborne Toxic Event,-,23,1
2009-06-20,24,Burn It To The Ground,Nickelback,-,24,1
2009-06-20,25,Dead Memories,Slipknot,-,25,1
2009-06-20,26,Hate My Life,Theory Of A Deadman,-,26,1
2009-06-20,27,100 In A 55,Pop Evil,-,27,1
2009-06-20,28,I Get Off,Halestorm,-,28,1
2009-06-20,29,No You Girls,Franz Ferdinand,-,29,1
2009-06-20,30,Seasons,The Veer Union,-,30,1
2009-06-20,31,Life In Technicolor ii,Coldplay,-,31,1
2009-06-20,32,Heartless,The Fray,-,32,1
2009-06-20,33,Magnificent,U2,-,33,1
2009-06-20,34,Sink Into Me,Taking Back Sunday,-,34,1
2009-06-20,35,Scarlet Letters,Mudvayne,-,35,1
2009-06-20,36,All Nightmare Long,Metallica,-,36,1
2009-06-20,37,Zero,Yeah Yeah Yeahs,-,37,1
2009-06-20,38,Wrong,Depeche Mode,-,38,1
2009-06-20,39,Half-Truism,The Offspring,-,39,1
2009-06-20,40,Death Of Me,Red,-,40,1
2009-06-20,41,Two Weeks,All That Remains,-,41,1
2009-06-20,42,37 Stitches,Drowning Pool,-,42,1
2009-06-20,43,Help I'm Alive,Metric,-,43,1
2009-06-20,44,Last One To Die,Rancid,-,44,1
2009-06-20,45,Oh Yeah,Chickenfoot,-,45,1
2009-06-20,46,Contagious,Trapt,-,46,1
2009-06-20,47,Notion,Kings of Leon,-,47,1
2009-06-20,48,Brother,Pearl Jam,-,48,1
2009-06-20,49,I've Got Friends,Manchester Orchestra,-,49,1
2009-06-20,50,You're Going Down,Sick Puppies,-,50,1
2009-06-27,1,New Divide,Linkin Park,2,1,2
2009-06-27,2,Know Your Enemy,Green Day,1,1,2
2009-06-27,3,Use Somebody,Kings of Leon,3,3,2
2009-06-27,4,Panic Switch,Silversun Pickups,6,4,2
2009-06-27,5,Sound Of Madness,Shinedown,7,5,2
2009-06-27,6,Careless Whisper,Seether,4,4,2
2009-06-27,7,Ain't No Rest For The Wicked,Cage the Elephant,8,7,2
2009-06-27,8,The Night,Disturbed,11,8,2
2009-06-27,9,Lifeline,Papa Roach,5,5,2
2009-06-27,10,Second Chance,Shinedown,9,9,2
2009-06-27,11,Sex On Fire,Kings of Leon,10,10,2
2009-06-27,12,Drowning (Face Down),Saving Abel,13,12,2
2009-06-27,13,Feel Good Drag,Anberlin,12,12,2
2009-06-27,14,21 Guns,Green Day,20,14,2
2009-06-27,15,Black Heart Inertia,Incubus,15,15,2
