Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2013-04-20,1,Radioactive,Imagine Dragons,-,1,1
2013-04-20,2,Sail,AWOLNATION,-,2,1
2013-04-20,3,Ho Hey,The Lumineers,-,3,1
2013-04-20,4,It's Time,Imagine Dragons,-,4,1
2013-04-20,5,Somebody That I Used To Know,Gotye Featuring Kimbra,-,5,1
2013-04-20,6,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,-,6,1
2013-04-20,7,Little Talks,Of Monsters and Men,-,7,1
2013-04-20,8,I Will Wait,Mumford & Sons,-,8,1
2013-04-20,9,Carry On,fun.,-,9,1
2013-04-20,10,Some Nights,fun.,-,10,1
2013-04-20,11,Rolling In The Deep,Adele,-,11,1
2013-04-20,12,Someone Like You,Adele,-,12,1
2013-04-20,13,Set Fire To The Rain,Adele,-,13,1
2013-04-20,14,My Immortal,Evanescence,-,14,1
2013-04-20,15,Eye Of The Tiger,Survivor,-,15,1
2013-04-20,16,Pumped Up Kicks,Foster the People,-,16,1
2013-04-20,17,Bodies,Drowning Pool,-,17,1
2013-04-20,18,Hey There Delilah,Plain White T's,-,18,1
2013-04-20,19,Paralyzer,Finger Eleven,-,19,1
2013-04-20,20,We Are Young,fun. Featuring Janelle Monae,-,20,1
2013-04-20,21,Home,Phillip Phillips,-,21,1
2013-04-20,22,Demons,Imagine Dragons,-,22,1
2013-04-20,23,Give Me Love,Ed Sheeran,-,23,1
2013-04-20,24,Stubborn Love,The Lumineers,-,24,1
2013-04-20,25,Madness,Muse,-,25,1
2013-04-27,1,Radioactive,Imagine Dragons,1,1,2
2013-04-27,2,Sail,AWOLNATION,2,2,2
2013-04-27,3,The State Of Massachusetts,Dropkick Murphys,-,3,1
2013-04-27,4,Ho Hey,The Lumineers,3,3,2
2013-04-27,5,It's Time,Imagine Dragons,4,4,2
2013-04-27,6,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,6,6,2
2013-04-27,7,Somebody That I Used To Know,Gotye Featuring Kimbra,5,5,2
2013-04-27,8,Little Talks,Of Monsters and Men,7,7,2
2013-04-27,9,I Will Wait,Mumford & Sons,8,8,2
2013-04-27,10,Someone Like You,Adele,12,10,2
2013-04-27,11,Carry On,fun.,9,9,2
2013-04-27,12,Some Nights,fun.,10,10,2
2013-04-27,13,Rolling In The Deep,Adele,11,11,2
2013-04-27,14,Set Fire To The Rain,Adele,13,13,2
2013-04-27,15,Eye Of The Tiger,Survivor,15,15,2
2013-04-27,16,Pumped Up Kicks,Foster the People,16,16,2
2013-04-27,17,My Immortal,Evanescence,14,14,2
2013-04-27,18,Bodies,Drowning Pool,17,17,2
2013-04-27,19,Hey There Delilah,Plain White T's,18,18,2
2013-04-27,20,We Are Young,fun. Featuring Janelle Monae,20,20,2
2013-04-27,21,Demons,Imagine Dragons,22,21,2
2013-04-27,22,Paralyzer,Finger Eleven,19,19,2
2013-04-27,23,Madness,Muse,25,23,2
2013-04-27,24,Home,Phillip Phillips,21,21,2
2013-04-27,25,(I Hate) Everything About You,Three Days Grace,-,25,1
2013-05-04,1,Radioactive,Imagine Dragons,1,1,3
2013-05-04,2,Sail,AWOLNATION,2,2,3
2013-05-04,3,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,6,3,3
2013-05-04,4,It's Time,Imagine Dragons,5,4,3
2013-05-04,5,Ho Hey,The Lumineers,4,3,3
2013-05-04,6,Somebody That I Used To Know,Gotye Featuring Kimbra,7,5,3
2013-05-04,7,Little Talks,Of Monsters and Men,8,7,3
2013-05-04,8,Carry On,fun.,11,8,3
2013-05-04,9,Someone Like You,Adele,10,9,3
2013-05-04,10,Home,Phillip Phillips,24,10,3
2013-05-04,11,Rolling In The Deep,Adele,13,11,3
2013-05-04,12,I Will Wait,Mumford & Sons,9,8,3
2013-05-04,13,Some Nights,fun.,12,10,3
2013-05-04,14,Set Fire To The Rain,Adele,14,13,3
2013-05-04,15,Pumped Up Kicks,Foster the People,16,15,3
2013-05-04,16,Eye Of The Tiger,Survivor,15,15,3
2013-05-04,17,My Immortal,Evanescence,17,14,3
2013-05-04,18,Bodies,Drowning Pool,18,17,3
2013-05-04,19,Demons,Imagine Dragons,21,19,3
2013-05-04,20,We Are Young,fun. Featuring Janelle Monae,20,20,3
2013-05-04,21,Hey There Delilah,Plain White T's,19,18,3
2013-05-04,22,Paralyzer,Finger Eleven,22,19,3
2013-05-04,23,Still Into You,Paramore,-,23,1
2013-05-04,24,Madness,Muse,23,23,3
2013-05-04,25,I'm Yours,Jason Mraz,-,25,1
2013-05-11,1,Radioactive,Imagine Dragons,1,1,4
2013-05-11,2,Sail,AWOLNATION,2,2,4
2013-05-11,3,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,3,3,4
2013-05-11,4,Ho Hey,The Lumineers,5,3,4
2013-05-11,5,It's Time,Imagine Dragons,4,4,4
2013-05-11,6,Somebody That I Used To Know,Gotye Featuring Kimbra,6,5,4
2013-05-11,7,Sweet Disposition,The Temper Trap,-,7,1
2013-05-11,8,Little Talks,Of Monsters and Men,7,7,4
2013-05-11,9,Someone Like You,Adele,9,9,4
2013-05-11,10,Carry On,fun.,8,8,4
2013-05-11,11,Rolling In The Deep,Adele,11,11,4
2013-05-11,12,I Will Wait,Mumford & Sons,12,8,4
2013-05-11,13,Some Nights,fun.,13,10,4
2013-05-11,14,Set Fire To The Rain,Adele,14,13,4
2013-05-11,15,Eye Of The Tiger,Survivor,16,15,4
2013-05-11,16,Pumped Up Kicks,Foster the People,15,15,4
2013-05-11,17,My Immortal,Evanescence,17,14,4
2013-05-11,18,Bodies,Drowning Pool,18,17,4
2013-05-11,19,Demons,Imagine Dragons,19,19,4
2013-05-11,20,We Are Young,fun. Featuring Janelle Monae,20,20,4
2013-05-11,21,The Phoenix,Fall Out Boy,-,21,1
2013-05-11,22,Paralyzer,Finger Eleven,22,19,4
2013-05-11,23,Hey There Delilah,Plain White T's,21,18,4
2013-05-11,24,Home,Phillip Phillips,10,10,4
2013-05-11,25,Madness,Muse,24,23,4
2013-05-18,1,Radioactive,Imagine Dragons,1,1,5
2013-05-18,2,Sail,AWOLNATION,2,2,5
2013-05-18,3,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,3,3,5
2013-05-18,4,Ho Hey,The Lumineers,4,3,5
2013-05-18,5,It's Time,Imagine Dragons,5,4,5
2013-05-18,6,Somebody That I Used To Know,Gotye Featuring Kimbra,6,5,5
2013-05-18,7,Sweet Disposition,The Temper Trap,7,7,2
2013-05-18,8,Little Talks,Of Monsters and Men,8,7,5
2013-05-18,9,Someone Like You,Adele,9,9,5
2013-05-18,10,Rolling In The Deep,Adele,11,10,5
2013-05-18,11,I Will Wait,Mumford & Sons,12,8,5
2013-05-18,12,Carry On,fun.,10,8,5
2013-05-18,13,Some Nights,fun.,13,10,5
