Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Cand Am O Zi Grea,Oana Radu,-,1,1
2022-02-19,2,Victima,Carla's Dreams,-,2,1
2022-02-19,3,LUPII ( Au Au Au ),Costel Biju X Iuly Neamtu,-,3,1
2022-02-19,4,Fructul Interzis,Cabron Featuring Theo Rose,-,4,1
2022-02-19,5,Dincolo de Marte,RANDI X Roxen,-,5,1
2022-02-19,6,Mana Stanga Sus,Alex Botea,-,6,1
2022-02-19,7,Noapte Buna,Iuly Neamtu X Costel Biju,-,7,1
2022-02-19,8,Kawasaki,Iuly Neamtu,-,8,1
2022-02-19,9,Cum O Dai Tu,Iuly Neamtu,-,9,1
2022-02-19,10,Dandana,Iuly Neamtu & Zanni,-,10,1
2022-02-19,11,N-Aud,Carla's Dreams X EMAA,-,11,1
2022-02-19,12,LUX,YNY Sebi X Petre Stefan,-,12,1
2022-02-19,13,O Zi,Jador,-,13,1
2022-02-19,14,Banii,Tzanca Uraganu,-,14,1
2022-02-19,15,Up,Inna x Sean Paul,-,15,1
2022-02-19,16,Mon Ami,"Jador, Serena X Andrei Banuta",-,16,1
2022-02-19,17,Mare E Lumea,"Jador, Costi & Vladuta Lupau",-,17,1
2022-02-19,18,Fraiere,"POLLY, Bogdan DLP & Jador",-,18,1
2022-02-19,19,Niciun Glont Nu Doare Cat Dragostea,Killa Fonic,-,19,1
2022-02-19,20,Audemars,Marko Glass,-,20,1
2022-02-19,21,Marinela COLJA '90,Ghita Munteanu & Cipri Popescu Featuring Gabi Iorga,-,21,1
2022-02-19,22,Zeu,Spike,-,22,1
2022-02-19,23,Enemy,Imagine Dragons X JID,-,23,1
2022-02-19,24,Mami Mami Nani Cu Tine,Shaban Regele din Banat,-,24,1
2022-02-19,25,Complicated,Arkanian X Antonia,-,25,1
2022-02-26,1,Cand Am O Zi Grea,Oana Radu,1,1,2
2022-02-26,2,LUPII ( Au Au Au ),Costel Biju X Iuly Neamtu,3,2,2
2022-02-26,3,Victima,Carla's Dreams,2,2,2
2022-02-26,4,Fructul Interzis,Cabron Featuring Theo Rose,4,4,2
2022-02-26,5,Dincolo de Marte,RANDI X Roxen,5,5,2
2022-02-26,6,Noapte Buna,Iuly Neamtu X Costel Biju,7,6,2
2022-02-26,7,Kawasaki,Iuly Neamtu,8,7,2
2022-02-26,8,Mana Stanga Sus,Alex Botea,6,6,2
2022-02-26,9,Cum O Dai Tu,Iuly Neamtu,9,9,2
2022-02-26,10,Dandana,Iuly Neamtu & Zanni,10,10,2
2022-02-26,11,N-Aud,Carla's Dreams X EMAA,11,11,2
2022-02-26,12,Mi-Aduc Aminte,Smiley,-,12,1
2022-02-26,13,Banii,Tzanca Uraganu,14,13,2
2022-02-26,14,Lumea Asta,Ian,-,14,1
2022-02-26,15,"Mesajul Tau, Drogul Meu",POLLY & YNY Sebi,-,15,1
