Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Ghost,Justin Bieber,-,1,1
2022-02-19,2,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,-,2,1
2022-02-19,3,Light Switch,Charlie Puth,-,3,1
2022-02-19,4,Heat Waves,Glass Animals,-,4,1
2022-02-19,5,Stay,The Kid Laroi & Justin Bieber,-,5,1
2022-02-19,6,Shivers,Ed Sheeran,-,6,1
2022-02-19,7,Polaroid Love,ENHYPEN,-,7,1
2022-02-19,8,abcdefu,GAYLE,-,8,1
2022-02-19,9,She's All I Wanna Be,Tate McRae,-,9,1
2022-02-19,10,Easy On Me,Adele,-,10,1
2022-02-19,11,Dandelions,Ruth B,-,11,1
2022-02-19,12,Enemy,Imagine Dragons X JID,-,12,1
2022-02-19,13,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",-,13,1
2022-02-19,14,Every Summertime,NIKI,-,14,1
2022-02-19,15,Save Your Tears,The Weeknd,-,15,1
2022-02-19,16,Industry Baby,Lil Nas X & Jack Harlow,-,16,1
2022-02-19,17,Angel Baby,Troye Sivan,-,17,1
2022-02-19,18,Infinity,Jaymes Young,-,18,1
2022-02-19,19,"What's On Your Mind (""My Best Friend's Breakfast"" Theme Song)",Eric Chou,-,19,1
2022-02-19,20,My Universe,Coldplay x BTS,-,20,1
2022-02-19,21,All Too Well (Taylor's Version),Taylor Swift,-,21,1
2022-02-19,22,Bad Habits,Ed Sheeran,-,22,1
2022-02-19,23,I Love You So,The Walters,-,23,1
2022-02-19,24,Thats What I Want,Lil Nas X,-,24,1
2022-02-19,25,Wa Da Da,Kep1er,-,25,1
2022-02-26,1,Ghost,Justin Bieber,1,1,2
2022-02-26,2,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,2,2,2
2022-02-26,3,Heat Waves,Glass Animals,4,3,2
2022-02-26,4,Stay Alive,Jung Kook,-,4,1
2022-02-26,5,Light Switch,Charlie Puth,3,3,2
2022-02-26,6,Stay,The Kid Laroi & Justin Bieber,5,5,2
2022-02-26,7,Shivers,Ed Sheeran,6,6,2
2022-02-26,8,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,-,8,1
2022-02-26,9,Polaroid Love,ENHYPEN,7,7,2
2022-02-26,10,abcdefu,GAYLE,8,8,2
2022-02-26,11,Dandelions,Ruth B,11,11,2
2022-02-26,12,Easy On Me,Adele,10,10,2
2022-02-26,13,She's All I Wanna Be,Tate McRae,9,9,2
2022-02-26,14,Enemy,Imagine Dragons X JID,12,12,2
2022-02-26,15,Every Summertime,NIKI,14,14,2
2022-02-26,16,Save Your Tears,The Weeknd,15,15,2
2022-02-26,17,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",13,13,2
2022-02-26,18,Industry Baby,Lil Nas X & Jack Harlow,16,16,2
2022-02-26,19,Angel Baby,Troye Sivan,17,17,2
2022-02-26,20,My Universe,Coldplay x BTS,20,20,2
2022-02-26,21,Infinity,Jaymes Young,18,18,2
2022-02-26,22,Bad Habits,Ed Sheeran,22,22,2
2022-02-26,23,"What's On Your Mind (""My Best Friend's Breakfast"" Theme Song)",Eric Chou,19,19,2
2022-02-26,24,All Too Well (Taylor's Version),Taylor Swift,21,21,2
2022-02-26,25,I Love You So,The Walters,23,23,2
2022-03-05,1,Ghost,Justin Bieber,1,1,3
2022-03-05,2,Heat Waves,Glass Animals,3,2,3
2022-03-05,3,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,2,2,3
2022-03-05,4,Light Switch,Charlie Puth,5,3,3
2022-03-05,5,Stay,The Kid Laroi & Justin Bieber,6,5,3
2022-03-05,6,Shivers,Ed Sheeran,7,6,3
2022-03-05,7,Polaroid Love,ENHYPEN,9,7,3
2022-03-05,8,abcdefu,GAYLE,10,8,3
2022-03-05,9,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,8,8,2
2022-03-05,10,Dandelions,Ruth B,11,10,3
2022-03-05,11,INVU,Taeyeon,-,11,1
