Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2005-10-22,1,Serene,Paul Hardcastle,-,1,1
2005-10-22,2,Hookin' Up,Brian Culbertson,-,2,1
2005-10-22,3,Get Em Goin',Euge Groove,-,3,1
2005-10-22,4,Coolness,Walter Beasley,-,4,1
2005-10-22,5,People Make The World Go Round,Richard Elliot,-,5,1
2005-10-22,6,Love Changes Everything,Dave Koz Featuring Brian McKnight,-,6,1
2005-10-22,7,Shining Star,Rick Braun,-,7,1
2005-10-22,8,Suede,Marion Meadows,-,8,1
2005-10-22,9,Never Too Much,"Paul Jackson, Jr.",-,9,1
2005-10-22,10,Pacific Coast Highway,Nils,-,10,1
2005-10-22,11,You Are Everything,Ken Navarro,-,11,1
2005-10-22,12,The Way You Move,"Kenny G Featuring Earth, Wind & Fire",-,12,1
2005-10-22,13,Tropical,Chuck Loeb,-,13,1
2005-10-22,14,We Belong Together,Mariah Carey,-,14,1
2005-10-22,15,I Can't Stop Loving You,Kem,-,15,1
2005-10-22,16,West Coast Coolin',Norman Brown,-,16,1
2005-10-22,17,Nightlife,Paul Taylor,-,17,1
2005-10-22,18,Thursday,Steve Cole,-,18,1
2005-10-22,19,Hey Young World,Gerald Albright With Kevin Toney,-,19,1
2005-10-22,20,2:01 AM,Boney James,-,20,1
2005-10-22,21,Simple Pleasures,Jeff Golub,-,21,1
2005-10-22,22,Make A Wish,Mindi Abair,-,22,1
2005-10-22,23,The Juice,Chieli Minucci,-,23,1
2005-10-22,24,It's All Good,Brian Simpson,-,24,1
2005-10-22,25,You Are Everything,Vanessa Williams,-,25,1
2005-10-22,26,Ready To Hang,Wayman Tisdale,-,26,1
2005-10-22,27,"Softly, As In A Morning Sunrise",George Benson,-,27,1
2005-10-22,28,Cream,Soul Ballet,-,28,1
2005-10-22,29,Cosmic Monkey,Paul Brown,-,29,1
2005-10-22,30,You're the Only Woman,David Pack,-,30,1
2005-10-22,31,Ain't No Stoppin' Us Now,Wayman Tisdale,-,31,1
2005-10-22,32,Steppin' Out,Kim Waters,-,32,1
2005-10-22,33,Stitched Up,Herbie Hancock Featuring John Mayer,-,33,1
2005-10-22,34,Summer Groove,Tim Bowman,-,34,1
2005-10-22,35,Two Of A Kind,Michael Lington Featuring Chuck Loeb,-,35,1
2005-10-22,36,Pick Up The Pieces,Kenny G Featuring David Benoit,-,36,1
2005-10-22,37,Fields Of Gold,Fourplay,-,37,1
2005-10-22,38,It's Been Too Long,Nick Colionne,-,38,1
2005-10-22,39,24/7,Paul Brown,-,39,1
2005-10-22,40,To The Max,Gerald Albright,-,40,1
2005-10-29,1,Serene,Paul Hardcastle,1,1,2
2005-10-29,2,Hookin' Up,Brian Culbertson,2,2,2
2005-10-29,3,Get Em Goin',Euge Groove,3,3,2
