Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune , Bejo, La Pantera, Juseph & Abhir Hathi",-,1,1
2022-02-19,2,Ay Mama,Rigoberta Bandini,-,2,1
2022-02-19,3,Desesperados,Rauw Alejandro & Chencho Corleone,-,3,1
2022-02-19,4,Tacones Rojos,Sebastian Yatra,-,4,1
2022-02-19,5,Saoko,ROSALIA,-,5,1
2022-02-19,6,Mon Amour,zzoilo,-,6,1
2022-02-19,7,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago pzk,-,7,1
2022-02-19,8,Pelele,Morad,-,8,1
2022-02-19,9,Algodon de Azucar,Chema Rivas,-,9,1
2022-02-19,10,La Fama,ROSALIA Featuring The Weeknd,-,10,1
2022-02-19,11,Formentera,Aitana & Nicki Nicole,-,11,1
2022-02-19,12,"Bzrp Music Sessions, Vol. 47",Bizarrap & Morad,-,12,1
2022-02-19,13,Musica Ligera,Ana Mena,-,13,1
2022-02-19,14,Ateo,C. Tangana & Nathy Peluso,-,14,1
2022-02-19,15,Todo de Ti,Rauw Alejandro,-,15,1
2022-02-19,16,Ley Seca,Jhay Cortez & Anuel AA,-,16,1
2022-02-19,17,Terra,Tanxugueiras,-,17,1
2022-02-19,18,Pepas,Farruko,-,18,1
2022-02-19,19,Top 5,Duki,-,19,1
2022-02-19,20,Nostalgico,"Rvssian , Rauw Alejandro & Chris Brown",-,20,1
2022-02-19,21,Volando,"Mora , Bad Bunny & Sech",-,21,1
2022-02-19,22,Yonaguni,Bad Bunny,-,22,1
2022-02-19,23,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,23,1
2022-02-19,24,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",-,24,1
2022-02-19,25,Curame,Rauw Alejandro,-,25,1
2022-02-26,1,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune , Bejo, La Pantera, Juseph & Abhir Hathi",1,1,2
2022-02-26,2,Desesperados,Rauw Alejandro & Chencho Corleone,3,2,2
2022-02-26,3,MAMIII,Becky G X Karol G,-,3,1
2022-02-26,4,Tacones Rojos,Sebastian Yatra,4,4,2
2022-02-26,5,Ay Mama,Rigoberta Bandini,2,2,2
2022-02-26,6,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago pzk,7,6,2
2022-02-26,7,Mon Amour,zzoilo,6,6,2
2022-02-26,8,Pelele,Morad,8,8,2
