Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Weeks on Chart
2013-01-26,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,-,#,
2013-01-26,Locked Out Of Heaven,Bruno Mars,2,2,1,-,#,
2013-01-26,Diamonds,Rihanna,3,3,1,-,#,
2013-01-26,Ho Hey,The Lumineers,4,4,1,-,#,
2013-01-26,It's Time,Imagine Dragons,5,5,1,-,https://charts-static.billboard.com/img/2012/03/imagine-dragons-rfq-180x180.jpg,
2013-01-26,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,6,1,-,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-18a-dontyouworrychild-xi0-180x180.jpg,
2013-01-26,Radioactive,Imagine Dragons,7,7,1,-,https://charts-static.billboard.com/img/2012/08/imagine-dragons-rfq-radioactive-qrr-180x180.jpg,
2013-01-26,Swimming Pools (Drank),Kendrick Lamar,8,8,1,-,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-2un-swimmingpoolsdrank-9i9-180x180.jpg,
2013-01-26,Scream & Shout,will.i.am & Britney Spears,9,9,1,-,https://charts-static.billboard.com/img/1998/10/britney-spears-l78-180x180.jpg,
2013-01-26,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,10,10,1,-,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,
2013-01-26,Some Nights,fun.,11,11,1,-,https://charts-static.billboard.com/img/2012/03/fun-0dk-somenights-o29-180x180.jpg,
2013-01-26,Die Young,Ke$ha,12,12,1,-,https://charts-static.billboard.com/img/2012/10/kesha-dvk-dieyoung-tsg-180x180.jpg,
2013-01-26,Gangnam Style,PSY,13,13,1,-,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnamstyle-gr3-180x180.jpg,
2013-01-26,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,14,14,1,-,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,
2013-01-26,Sweet Nothing,Calvin Harris Featuring Florence Welch,15,15,1,-,https://charts-static.billboard.com/img/2007/03/calvin-harris-hdt-180x180.jpg,
2013-01-26,One More Night,Maroon 5,16,16,1,-,https://charts-static.billboard.com/img/2002/12/maroon-5-fyb-180x180.jpg,
2013-01-26,Home,Phillip Phillips,17,17,1,-,https://charts-static.billboard.com/img/2012/06/phillip-phillips-zrl-180x180.jpg,
2013-01-26,The A Team,Ed Sheeran,18,18,1,-,https://charts-static.billboard.com/img/2011/07/ed-sheeran-5jf-180x180.jpg,
2013-01-26,Little Talks,Of Monsters and Men,19,19,1,-,#,
2013-01-26,I Cry,Flo Rida,20,20,1,-,https://charts-static.billboard.com/img/2007/06/flo-rida-mfl-180x180.jpg,
2013-01-26,We Are Never Ever Getting Back Together,Taylor Swift,21,21,1,-,https://charts-static.billboard.com/img/2012/08/taylor-swift-vug-weareneverevergettingbacktogether-o4x-180x180.jpg,
2013-01-26,Clique,Kanye West| Jay-Z| Big Sean,22,22,1,-,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,
2013-01-26,Thinkin Bout You,Frank Ocean,23,23,1,-,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg,
2013-01-26,I Will Wait,Mumford & Sons,24,24,1,-,https://charts-static.billboard.com/img/2009/11/mumford-sons-wzb-180x180.jpg,
2013-01-26,Lights,Ellie Goulding,25,25,1,-,https://charts-static.billboard.com/img/2011/08/ellie-goulding-tg3-lights-4go-180x180.jpg,
2013-01-26,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,26,26,1,-,https://charts-static.billboard.com/img/2002/08/juicy-j-veb-180x180.jpg,
2013-01-26,No Worries,Lil Wayne Featuring Detail,27,27,1,-,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg,
2013-01-26,Girl On Fire,Alicia Keys Featuring Nicki Minaj,28,28,1,-,https://charts-static.billboard.com/img/2001/03/alicia-keys-qh8-180x180.jpg,
2013-01-26,We Are Young,fun. Featuring Janelle Monae,29,29,1,-,https://charts-static.billboard.com/img/2011/10/fun-0dk-weareyoung-siq-180x180.jpg,
2013-01-26,I'm Different,2 Chainz,30,30,1,-,https://charts-static.billboard.com/img/2011/01/2-chainz-p1m-180x180.jpg,
2013-01-26,Call Me Maybe,Carly Rae Jepsen,31,31,1,-,https://charts-static.billboard.com/img/2008/08/carly-rae-jepsen-fhc-180x180.jpg,
2013-01-26,Somebody That I Used To Know,Gotye Featuring Kimbra,32,32,1,-,https://charts-static.billboard.com/img/2011/10/gotye-000-somebodythatiusedtoknow-lme-180x180.jpg,
2013-01-26,Little Things,One Direction,33,33,1,-,https://charts-static.billboard.com/img/2012/11/one-direction-3ht-littlethings-f4p-180x180.jpg,
2013-01-26,Too Close,Alex Clare,34,34,1,-,#,
2013-01-26,As Long As You Love Me,Justin Bieber Featuring Big Sean,35,35,1,-,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,
2013-01-26,Hall Of Fame,The Script Featuring will.i.am,36,36,1,-,#,
2013-01-26,Mercy,Kanye West| Big Sean| Pusha T| 2 Chainz,37,37,1,-,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,
2013-01-26,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,38,38,1,-,https://charts-static.billboard.com/img/2005/08/ne-yo-d8a-180x180.jpg,
2013-01-26,Anything Could Happen,Ellie Goulding,39,39,1,-,https://charts-static.billboard.com/img/2010/03/ellie-goulding-tg3-180x180.jpg,
2013-01-26,Sail,AWOLNATION,40,40,1,-,https://charts-static.billboard.com/img/2011/02/awolnation-e35-sail-sgs-180x180.jpg,
2013-01-26,Adorn,Miguel,41,41,1,-,https://charts-static.billboard.com/img/2005/12/miguel-rp9-180x180.jpg,
2013-01-26,Wanted,Hunter Hayes,42,42,1,-,#,
2013-01-26,Birthday Song,2 Chainz Featuring Kanye West,43,43,1,-,https://charts-static.billboard.com/img/2011/01/2-chainz-p1m-180x180.jpg,
2013-01-26,Poetic Justice,Kendrick Lamar Featuring Drake,44,44,1,-,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-2un-180x180.jpg,
2013-01-26,Love Sosa,Chief Keef,45,45,1,-,https://charts-static.billboard.com/img/2012/11/chief-keef-xbm-lovesosa-tz0-180x180.jpg,
2013-01-26,Try,P!nk,46,46,1,-,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg,
2013-01-26,Stubborn Love,The Lumineers,47,47,1,-,https://charts-static.billboard.com/img/2012/04/the-lumineers-csg-180x180.jpg,
2013-01-26,Titanium,David Guetta Featuring Sia,48,48,1,-,https://charts-static.billboard.com/img/2011/08/david-guetta-0qb-titanium-z7x-180x180.jpg,
2013-01-26,Whistle,Flo Rida,49,49,1,-,https://charts-static.billboard.com/img/2007/06/flo-rida-mfl-180x180.jpg,
2013-01-26,Bitch; Don't Kill My Vibe,Kendrick Lamar,50,50,1,-,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-2un-180x180.jpg,
2013-02-02,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,2,#,
2013-02-02,Locked Out Of Heaven,Bruno Mars,2,2,2,2,#,
2013-02-02,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,3,10,3,2,#,
2013-02-02,Ho Hey,The Lumineers,4,4,4,2,#,
2013-02-02,Diamonds,Rihanna,5,3,3,2,https://charts-static.billboard.com/img/2012/10/rihanna-87k-diamonds-wld-180x180.jpg,
2013-02-02,It's Time,Imagine Dragons,6,5,5,2,https://charts-static.billboard.com/img/2012/03/imagine-dragons-rfq-180x180.jpg,
2013-02-02,Don't You Worry Child,Swedish House Mafia Featuring John Martin,7,6,6,2,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-18a-dontyouworrychild-xi0-180x180.jpg,
2013-02-02,Scream & Shout,will.i.am & Britney Spears,8,9,8,2,https://charts-static.billboard.com/img/1998/10/britney-spears-l78-180x180.jpg,
2013-02-02,Radioactive,Imagine Dragons,9,7,7,2,https://charts-static.billboard.com/img/2012/08/imagine-dragons-rfq-radioactive-qrr-180x180.jpg,
2013-02-02,Swimming Pools (Drank),Kendrick Lamar,10,8,8,2,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-2un-swimmingpoolsdrank-9i9-180x180.jpg,
2013-02-02,Sweet Nothing,Calvin Harris Featuring Florence Welch,11,15,11,2,https://charts-static.billboard.com/img/2007/03/calvin-harris-hdt-180x180.jpg,
2013-02-02,Some Nights,fun.,12,11,11,2,https://charts-static.billboard.com/img/2012/03/fun-0dk-somenights-o29-180x180.jpg,
2013-02-02,Die Young,Ke$ha,13,12,12,2,https://charts-static.billboard.com/img/2012/10/kesha-dvk-dieyoung-tsg-180x180.jpg,
2013-02-02,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,14,14,14,2,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,
2013-02-02,One More Night,Maroon 5,15,16,15,2,https://charts-static.billboard.com/img/2002/12/maroon-5-fyb-180x180.jpg,
2013-02-02,Gangnam Style,PSY,16,13,13,2,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnamstyle-gr3-180x180.jpg,
2013-02-02,Home,Phillip Phillips,17,17,17,2,https://charts-static.billboard.com/img/2012/06/phillip-phillips-zrl-180x180.jpg,
2013-02-02,The A Team,Ed Sheeran,18,18,18,2,https://charts-static.billboard.com/img/2011/07/ed-sheeran-5jf-180x180.jpg,
2013-02-02,Little Talks,Of Monsters and Men,19,19,19,2,#,
2013-02-02,I Cry,Flo Rida,20,20,20,2,https://charts-static.billboard.com/img/2007/06/flo-rida-mfl-180x180.jpg,
2013-02-02,We Are Never Ever Getting Back Together,Taylor Swift,21,21,21,2,https://charts-static.billboard.com/img/2012/08/taylor-swift-vug-weareneverevergettingbacktogether-o4x-180x180.jpg,
2013-02-02,Clique,Kanye West| Jay-Z| Big Sean,22,22,22,2,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,
2013-02-02,I Will Wait,Mumford & Sons,23,24,23,2,https://charts-static.billboard.com/img/2009/11/mumford-sons-wzb-180x180.jpg,
2013-02-02,Thinkin Bout You,Frank Ocean,24,23,23,2,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg,
2013-02-02,Lights,Ellie Goulding,25,25,25,2,https://charts-static.billboard.com/img/2011/08/ellie-goulding-tg3-lights-4go-180x180.jpg,
2013-02-02,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,26,26,26,2,https://charts-static.billboard.com/img/2002/08/juicy-j-veb-180x180.jpg,
2013-02-02,Girl On Fire,Alicia Keys Featuring Nicki Minaj,27,28,27,2,https://charts-static.billboard.com/img/2001/03/alicia-keys-qh8-180x180.jpg,
2013-02-02,I'm Different,2 Chainz,28,30,28,2,https://charts-static.billboard.com/img/2011/01/2-chainz-p1m-180x180.jpg,
2013-02-02,No Worries,Lil Wayne Featuring Detail,29,27,27,2,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg,
2013-02-02,We Are Young,fun. Featuring Janelle Monae,30,29,29,2,https://charts-static.billboard.com/img/2011/10/fun-0dk-weareyoung-siq-180x180.jpg,
2013-02-02,Hall Of Fame,The Script Featuring will.i.am,31,36,31,2,#,
2013-02-02,Call Me Maybe,Carly Rae Jepsen,32,31,31,2,https://charts-static.billboard.com/img/2008/08/carly-rae-jepsen-fhc-180x180.jpg,
2013-02-02,Little Things,One Direction,33,33,33,2,https://charts-static.billboard.com/img/2012/11/one-direction-3ht-littlethings-f4p-180x180.jpg,
2013-02-02,Anything Could Happen,Ellie Goulding,34,39,34,2,https://charts-static.billboard.com/img/2010/03/ellie-goulding-tg3-180x180.jpg,
2013-02-02,Sail,AWOLNATION,35,40,35,2,https://charts-static.billboard.com/img/2011/02/awolnation-e35-sail-sgs-180x180.jpg,
2013-02-02,Somebody That I Used To Know,Gotye Featuring Kimbra,36,32,32,2,https://charts-static.billboard.com/img/2011/10/gotye-000-somebodythatiusedtoknow-lme-180x180.jpg,
2013-02-02,Too Close,Alex Clare,37,34,34,2,#,
2013-02-02,Mercy,Kanye West| Big Sean| Pusha T| 2 Chainz,38,37,37,2,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,
2013-02-02,As Long As You Love Me,Justin Bieber Featuring Big Sean,39,35,35,2,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,
2013-02-02,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,40,38,38,2,https://charts-static.billboard.com/img/2005/08/ne-yo-d8a-180x180.jpg,
2013-02-02,Wanted,Hunter Hayes,41,42,41,2,#,
2013-02-02,Poetic Justice,Kendrick Lamar Featuring Drake,42,44,42,2,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-2un-180x180.jpg,
2013-02-02,Try,P!nk,43,46,43,2,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg,
2013-02-02,Adorn,Miguel,44,41,41,2,https://charts-static.billboard.com/img/2005/12/miguel-rp9-180x180.jpg,
2013-02-02,Demons,Imagine Dragons,45,45,1,-,https://charts-static.billboard.com/img/2012/08/imagine-dragons-rfq-demons-hh8-180x180.jpg,
2013-02-02,Stubborn Love,The Lumineers,46,47,46,2,https://charts-static.billboard.com/img/2012/04/the-lumineers-csg-180x180.jpg,
2013-02-02,Love Sosa,Chief Keef,47,45,45,2,https://charts-static.billboard.com/img/2012/11/chief-keef-xbm-lovesosa-tz0-180x180.jpg,
2013-02-02,Titanium,David Guetta Featuring Sia,48,48,48,2,https://charts-static.billboard.com/img/2011/08/david-guetta-0qb-titanium-z7x-180x180.jpg,
2013-02-02,Bitch; Don't Kill My Vibe,Kendrick Lamar,49,50,49,2,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-2un-180x180.jpg,
2013-02-02,Birthday Song,2 Chainz Featuring Kanye West,50,43,43,2,https://charts-static.billboard.com/img/2011/01/2-chainz-p1m-180x180.jpg,
2013-02-09,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,3,#,
2013-02-09,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,2,3,2,3,#,
2013-02-09,Ho Hey,The Lumineers,3,4,3,3,#,
2013-02-09,Locked Out Of Heaven,Bruno Mars,4,2,2,3,#,
2013-02-09,It's Time,Imagine Dragons,5,6,5,3,https://charts-static.billboard.com/img/2012/03/imagine-dragons-rfq-180x180.jpg,
2013-02-09,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,7,6,3,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-18a-dontyouworrychild-xi0-180x180.jpg,
2013-02-09,Scream & Shout,will.i.am & Britney Spears,7,8,7,3,https://charts-static.billboard.com/img/1998/10/britney-spears-l78-180x180.jpg,
2013-02-09,Diamonds,Rihanna,8,5,3,3,https://charts-static.billboard.com/img/2012/10/rihanna-87k-diamonds-wld-180x180.jpg,
2013-02-09,Radioactive,Imagine Dragons,9,9,7,3,https://charts-static.billboard.com/img/2012/08/imagine-dragons-rfq-radioactive-qrr-180x180.jpg,
2013-02-09,Sweet Nothing,Calvin Harris Featuring Florence Welch,10,11,10,3,https://charts-static.billboard.com/img/2007/03/calvin-harris-hdt-180x180.jpg,
2013-02-09,Swimming Pools (Drank),Kendrick Lamar,11,10,8,3,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-2un-swimmingpoolsdrank-9i9-180x180.jpg,
2013-02-09,Some Nights,fun.,12,12,11,3,https://charts-static.billboard.com/img/2012/03/fun-0dk-somenights-o29-180x180.jpg,
2013-02-09,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,13,14,13,3,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,
2013-02-09,Little Talks,Of Monsters and Men,14,19,14,3,#,
2013-02-09,Die Young,Ke$ha,15,13,12,3,https://charts-static.billboard.com/img/2012/10/kesha-dvk-dieyoung-tsg-180x180.jpg,
2013-02-09,Home,Phillip Phillips,16,17,16,3,https://charts-static.billboard.com/img/2012/06/phillip-phillips-zrl-180x180.jpg,
2013-02-09,The A Team,Ed Sheeran,17,18,17,3,https://charts-static.billboard.com/img/2011/07/ed-sheeran-5jf-180x180.jpg,
2013-02-09,One More Night,Maroon 5,18,15,15,3,https://charts-static.billboard.com/img/2002/12/maroon-5-fyb-180x180.jpg,
2013-02-09,Anything Could Happen,Ellie Goulding,19,34,19,3,https://charts-static.billboard.com/img/2010/03/ellie-goulding-tg3-180x180.jpg,
2013-02-09,Gangnam Style,PSY,20,16,13,3,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnamstyle-gr3-180x180.jpg,
2013-02-09,I Cry,Flo Rida,21,20,20,3,https://charts-static.billboard.com/img/2007/06/flo-rida-mfl-180x180.jpg,
2013-02-09,Lights,Ellie Goulding,22,25,22,3,https://charts-static.billboard.com/img/2011/08/ellie-goulding-tg3-lights-4go-180x180.jpg,
2013-02-09,Clique,Kanye West| Jay-Z| Big Sean,23,22,22,3,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,
2013-02-09,I Will Wait,Mumford & Sons,24,23,23,3,https://charts-static.billboard.com/img/2009/11/mumford-sons-wzb-180x180.jpg,
2013-02-09,Girl On Fire,Alicia Keys Featuring Nicki Minaj,25,27,25,3,https://charts-static.billboard.com/img/2001/03/alicia-keys-qh8-180x180.jpg,
2013-02-09,We Are Never Ever Getting Back Together,Taylor Swift,26,21,21,3,https://charts-static.billboard.com/img/2012/08/taylor-swift-vug-weareneverevergettingbacktogether-o4x-180x180.jpg,
2013-02-09,Thinkin Bout You,Frank Ocean,27,24,23,3,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg,
2013-02-09,I'm Different,2 Chainz,28,28,28,3,https://charts-static.billboard.com/img/2011/01/2-chainz-p1m-180x180.jpg,
2013-02-09,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,29,26,26,3,https://charts-static.billboard.com/img/2002/08/juicy-j-veb-180x180.jpg,
2013-02-09,Sail,AWOLNATION,30,35,30,3,https://charts-static.billboard.com/img/2011/02/awolnation-e35-sail-sgs-180x180.jpg,
2013-02-09,Hall Of Fame,The Script Featuring will.i.am,31,31,31,3,#,
2013-02-09,No Worries,Lil Wayne Featuring Detail,32,29,27,3,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg,
2013-02-09,We Are Young,fun. Featuring Janelle Monae,33,30,29,3,https://charts-static.billboard.com/img/2011/10/fun-0dk-weareyoung-siq-180x180.jpg,
2013-02-09,Little Things,One Direction,34,33,33,3,https://charts-static.billboard.com/img/2012/11/one-direction-3ht-littlethings-f4p-180x180.jpg,
2013-02-09,Somebody That I Used To Know,Gotye Featuring Kimbra,35,36,32,3,https://charts-static.billboard.com/img/2011/10/gotye-000-somebodythatiusedtoknow-lme-180x180.jpg,
2013-02-09,Call Me Maybe,Carly Rae Jepsen,36,32,31,3,https://charts-static.billboard.com/img/2008/08/carly-rae-jepsen-fhc-180x180.jpg,
2013-02-09,Too Close,Alex Clare,37,37,34,3,#,
2013-02-09,Stubborn Love,The Lumineers,38,46,38,3,https://charts-static.billboard.com/img/2012/04/the-lumineers-csg-180x180.jpg,
2013-02-09,Wanted,Hunter Hayes,39,41,39,3,#,
2013-02-09,Suit & Tie,Justin Timberlake Featuring JAY Z,40,40,1,-,https://charts-static.billboard.com/img/2002/09/justin-timberlake-09b-180x180.jpg,
2013-02-09,Poetic Justice,Kendrick Lamar Featuring Drake,41,42,41,3,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-2un-180x180.jpg,
2013-02-09,Demons,Imagine Dragons,42,45,42,2,https://charts-static.billboard.com/img/2012/08/imagine-dragons-rfq-demons-hh8-180x180.jpg,
2013-02-09,Mercy,Kanye West| Big Sean| Pusha T| 2 Chainz,43,38,37,3,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,
2013-02-09,Try,P!nk,44,43,43,3,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg,
2013-02-09,As Long As You Love Me,Justin Bieber Featuring Big Sean,45,39,35,3,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg,
2013-02-09,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,46,40,38,3,https://charts-static.billboard.com/img/2005/08/ne-yo-d8a-180x180.jpg,
2013-02-09,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,47,47,1,-,#,
2013-02-09,Titanium,David Guetta Featuring Sia,48,48,48,3,https://charts-static.billboard.com/img/2011/08/david-guetta-0qb-titanium-z7x-180x180.jpg,
