Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Lange Leve Vi,23,-,1,1
2022-02-19,2,Langesen,Petter Featuring Veronica Maggio,-,2,1
2022-02-19,3,Mano,Jireel,-,3,1
2022-02-19,4,Som Dom,Sarettii,-,4,1
2022-02-19,5,abcdefu,GAYLE,-,5,1
2022-02-19,6,Babblarnas Vaggvisa,Babblarna,-,6,1
2022-02-19,7,Birthday,"ADAAM, Dani M & Masse",-,7,1
2022-02-19,8,Shivers,Ed Sheeran,-,8,1
2022-02-19,9,Heat Waves,Glass Animals,-,9,1
2022-02-19,10,M5,C.Gambino & 23,-,10,1
2022-02-19,11,30 Personer,Hov1 Featuring Elias Hurtig,-,11,1
2022-02-19,12,Where Are You Now,Lost Frequencies & Calum Scott,-,12,1
2022-02-19,13,Easy On Me,Adele,-,13,1
2022-02-19,14,Moth To A Flame,Swedish House Mafia & The Weeknd,-,14,1
2022-02-19,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,15,1
2022-02-19,16,Eld & Lagor,Victor Leksell,-,16,1
2022-02-19,17,Fuck Mitt Eks,LOAM,-,17,1
2022-02-19,18,Enemy,Imagine Dragons X JID,-,18,1
2022-02-19,19,Bad Habits,Ed Sheeran,-,19,1
2022-02-19,20,Stay,The Kid Laroi & Justin Bieber,-,20,1
2022-02-19,21,Tallrikar,"ADAAM, Asme & takenoelz",-,21,1
2022-02-19,22,VCFlow,VC Barre,-,22,1
2022-02-19,23,She's All I Wanna Be,Tate McRae,-,23,1
2022-02-19,24,Vaga,Newkid,-,24,1
2022-02-19,25,Lotta & Sanna,Mohela,-,25,1
2022-02-26,1,Lange Leve Vi,23,1,1,2
2022-02-26,2,Mano,Jireel,3,2,2
2022-02-26,3,20 Talet,Yasin,-,3,1
2022-02-26,4,Internet,VC Barre & 23,-,4,1
2022-02-26,5,Poppis,Asme,-,5,1
2022-02-26,6,Langesen,Petter Featuring Veronica Maggio,2,2,2
2022-02-26,7,Som Dom,Sarettii,4,4,2
2022-02-26,8,Babblarnas Vaggvisa,Babblarna,6,6,2
2022-02-26,9,abcdefu,GAYLE,5,5,2
2022-02-26,10,Heat Waves,Glass Animals,9,9,2
2022-02-26,11,Shivers,Ed Sheeran,8,8,2
2022-02-26,12,Where Are You Now,Lost Frequencies & Calum Scott,12,12,2
2022-02-26,13,Easy On Me,Adele,13,13,2
2022-02-26,14,Eld & Lagor,Victor Leksell,16,14,2
2022-02-26,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,15,2
2022-02-26,16,Tror Du Att Jag Bryr Mig,Niello & Lisa Ajax,-,16,1
2022-02-26,17,Som Du Vill,Theoz,-,17,1
2022-02-26,18,M5,C.Gambino & 23,10,10,2
2022-02-26,19,Birthday,"ADAAM, Dani M & Masse",7,7,2
2022-02-26,20,Bad Habits,Ed Sheeran,19,19,2
2022-02-26,21,Enemy,Imagine Dragons X JID,18,18,2
2022-02-26,22,Woman,C.Gambino,-,22,1
2022-02-26,23,Stay,The Kid Laroi & Justin Bieber,20,20,2
2022-02-26,24,Fuck Mitt Eks,LOAM,17,17,2
2022-02-26,25,Moth To A Flame,Swedish House Mafia & The Weeknd,14,14,2
2022-03-05,1,Mano,Jireel,2,1,3
2022-03-05,2,Lange Leve Vi,23,1,1,3
2022-03-05,3,Poppis,Asme,5,3,2
2022-03-05,4,Internet,VC Barre & 23,4,4,2
2022-03-05,5,Babblarnas Vaggvisa,Babblarna,8,5,3
2022-03-05,6,Som Dom,Sarettii,7,4,3
2022-03-05,7,Tror Du Att Jag Bryr Mig,Niello & Lisa Ajax,16,7,2
2022-03-05,8,Bad Habits,Ed Sheeran,20,8,3
2022-03-05,9,Heat Waves,Glass Animals,10,9,3
2022-03-05,10,abcdefu,GAYLE,9,5,3
2022-03-05,11,Langesen,Petter Featuring Veronica Maggio,6,2,3
2022-03-05,12,20 Talet,Yasin,3,3,2
2022-03-05,13,Where Are You Now,Lost Frequencies & Calum Scott,12,12,3
2022-03-05,14,Shivers,Ed Sheeran,11,8,3
2022-03-05,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,15,3
2022-03-05,16,Easy On Me,Adele,13,13,3
2022-03-05,17,Fuck Mitt Eks,LOAM,24,17,3
2022-03-05,18,Eld & Lagor,Victor Leksell,14,14,3
2022-03-05,19,Enemy,Imagine Dragons X JID,21,18,3
2022-03-05,20,Stay,The Kid Laroi & Justin Bieber,23,20,3
2022-03-05,21,My Way,Tone Sekelius,-,21,1
2022-03-05,22,Som Du Vill,Theoz,17,17,2
2022-03-05,23,Alicia,Dani M & Masse,-,23,1
2022-03-05,24,Boyfriend,Dove Cameron,-,24,1
2022-03-05,25,M5,C.Gambino & 23,18,10,3
2022-03-12,1,Mano,Jireel,1,1,4
2022-03-12,2,Tva Steg Fran Helvetet,Hov1,-,2,1
2022-03-12,3,Run To The Hills,Klara Hammarstrom,-,3,1
2022-03-12,4,In I Dimman,Medina,-,4,1
2022-03-12,5,Lange Leve Vi,23,2,1,4
2022-03-12,6,Bigger Than The Universe,Anders Bagge,-,6,1
2022-03-12,7,Internet,VC Barre & 23,4,4,3
2022-03-12,8,Hold Me Closer,Cornelia Jakobs,-,8,1
2022-03-12,9,Poppis,Asme,3,3,3
2022-03-12,10,Babblarnas Vaggvisa,Babblarna,5,5,4
2022-03-12,11,Heat Waves,Glass Animals,9,9,4
2022-03-12,12,Som Dom,Sarettii,6,4,4
2022-03-12,13,Tror Du Att Jag Bryr Mig,Niello & Lisa Ajax,7,7,3
2022-03-12,14,Where Are You Now,Lost Frequencies & Calum Scott,13,12,4
2022-03-12,15,abcdefu,GAYLE,10,5,4
2022-03-12,16,Shivers,Ed Sheeran,14,8,4
2022-03-12,17,I Can't Get Enough,Cazzi Opeia,-,17,1
2022-03-12,18,Bad Habits,Ed Sheeran,8,8,4
2022-03-12,19,Som Du Vill,Theoz,22,17,3
2022-03-12,20,Langesen,Petter Featuring Veronica Maggio,11,2,4
2022-03-12,21,My Way,Tone Sekelius,21,21,2
2022-03-12,22,Musik Eller Metall,Owen,-,22,1
2022-03-12,23,Eld & Lagor,Victor Leksell,18,14,4
2022-03-12,24,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,15,4
2022-03-12,25,Easy On Me,Adele,16,13,4
2022-03-19,1,Run To The Hills,Klara Hammarstrom,3,1,2
2022-03-19,2,Bigger Than The Universe,Anders Bagge,6,2,2
2022-03-19,3,Mano,Jireel,1,1,5
2022-03-19,4,In I Dimman,Medina,4,4,2
2022-03-19,5,Hold Me Closer,Cornelia Jakobs,8,5,2
2022-03-19,6,Tva Steg Fran Helvetet,Hov1,2,2,2
2022-03-19,7,I Can't Get Enough,Cazzi Opeia,17,7,2
2022-03-19,8,Lange Leve Vi,23,5,1,5
2022-03-19,9,Som Du Vill,Theoz,19,9,4
2022-03-19,10,My Way,Tone Sekelius,21,10,3
2022-03-19,11,Bluffin,LIAMOO,-,11,1
2022-03-19,12,Internet,VC Barre & 23,7,4,4
2022-03-19,13,F*ck Mina Opps,25,-,13,1
2022-03-19,14,Babblarnas Vaggvisa,Babblarna,10,5,5
2022-03-19,15,Heat Waves,Glass Animals,11,9,5
2022-03-19,16,Tror Du Att Jag Bryr Mig,Niello & Lisa Ajax,13,7,4
2022-03-19,17,Innocent Love,Robin Bengtsson,-,17,1
2022-03-19,18,Poppis,Asme,9,3,4
2022-03-19,19,Suave,Alvaro Estrella,-,19,1
2022-03-19,20,Where Are You Now,Lost Frequencies & Calum Scott,14,12,5
2022-03-19,21,Anglavakt,John Lundvik,-,21,1
2022-03-19,22,Till Our Days Are Over,Lillasyster,-,22,1
2022-03-19,23,Som Dom,Sarettii,12,4,5
2022-03-19,24,Shivers,Ed Sheeran,16,8,5
2022-03-19,25,abcdefu,GAYLE,15,5,5
2022-03-26,1,Hold Me Closer,Cornelia Jakobs,5,1,3
2022-03-26,2,Run To The Hills,Klara Hammarstrom,1,1,3
2022-03-26,3,In I Dimman,Medina,4,3,3
2022-03-26,4,Bigger Than The Universe,Anders Bagge,2,2,3
2022-03-26,5,I Can't Get Enough,Cazzi Opeia,7,5,3
2022-03-26,6,Mano,Jireel,3,1,6
2022-03-26,7,Som Du Vill,Theoz,9,7,5
2022-03-26,8,Bluffin,LIAMOO,11,8,2
2022-03-26,9,My Way,Tone Sekelius,10,9,4
2022-03-26,10,Innocent Love,Robin Bengtsson,17,10,2
