Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Brividi,Mahmood & BLANCO,-,1,1
2022-02-19,2,abcdefu,GAYLE,-,2,1
2022-02-19,3,Heat Waves,Glass Animals,-,3,1
2022-02-19,4,Pepas,Farruko,-,4,1
2022-02-19,5,Shivers,Ed Sheeran,-,5,1
2022-02-19,6,Enemy,Imagine Dragons X JID,-,6,1
2022-02-19,7,Where Are You Now,Lost Frequencies & Calum Scott,-,7,1
2022-02-19,8,Love Nwantiti (Ah Ah Ah),CKay,-,8,1
2022-02-19,9,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,9,1
2022-02-19,10,Thats What I Want,Lil Nas X,-,10,1
2022-02-19,11,Love Tonight,Shouse,-,11,1
2022-02-19,12,Infinity,Jaymes Young,-,12,1
2022-02-19,13,Easy On Me,Adele,-,13,1
2022-02-19,14,Bad Habits,Ed Sheeran,-,14,1
2022-02-19,15,Do It To It,Acraze Featuring Cherish,-,15,1
2022-02-19,16,Moth To A Flame,Swedish House Mafia & The Weeknd,-,16,1
2022-02-19,17,Stay,The Kid Laroi & Justin Bieber,-,17,1
2022-02-19,18,To The Moon!,JNR CHOI & Sam Tompkins,-,18,1
2022-02-19,19,Thunder,Gabry Ponte X LUM!X X Prezioso,-,19,1
2022-02-19,20,Industry Baby,Lil Nas X & Jack Harlow,-,20,1
2022-02-19,21,The Motto,Tiesto & Ava Max,-,21,1
2022-02-19,22,Pushin P,Gunna & Future Featuring Young Thug,-,22,1
2022-02-19,23,It'll Be Okay,Shawn Mendes,-,23,1
2022-02-19,24,Ginseng Strip 2002,Yung Lean,-,24,1
2022-02-19,25,Emiliana,CKay,-,25,1
2022-02-26,1,Heat Waves,Glass Animals,3,1,2
2022-02-26,2,abcdefu,GAYLE,2,2,2
2022-02-26,3,Pepas,Farruko,4,3,2
2022-02-26,4,Shivers,Ed Sheeran,5,4,2
2022-02-26,5,Enemy,Imagine Dragons X JID,6,5,2
2022-02-26,6,Where Are You Now,Lost Frequencies & Calum Scott,7,6,2
2022-02-26,7,Brividi,Mahmood & BLANCO,1,1,2
2022-02-26,8,Love Nwantiti (Ah Ah Ah),CKay,8,8,2
2022-02-26,9,Cold Heart (PNAU Remix),Elton John & Dua Lipa,9,9,2
2022-02-26,10,The Motto,Tiesto & Ava Max,21,10,2
2022-02-26,11,Thats What I Want,Lil Nas X,10,10,2
2022-02-26,12,Infinity,Jaymes Young,12,12,2
2022-02-26,13,Bad Habits,Ed Sheeran,14,13,2
2022-02-26,14,Easy On Me,Adele,13,13,2
2022-02-26,15,Love Tonight,Shouse,11,11,2
2022-02-26,16,Do It To It,Acraze Featuring Cherish,15,15,2
2022-02-26,17,Stay,The Kid Laroi & Justin Bieber,17,17,2
