Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1993-10-30,1,The Three Tenors In Concert,"Carreras, Domingo, Pavarotti (Mehta)",-,1,1
1993-11-13,1,The Three Tenors In Concert,"Carreras, Domingo, Pavarotti (Mehta)",1,1,3
1993-11-20,1,The Three Tenors In Concert,"Carreras, Domingo, Pavarotti (Mehta)",1,1,4
1993-11-20,2,Gorecki: Symphony No. 3,Upshaw/Zinman,-,2,1
1993-11-20,3,The Impatient Lover,Bartoli/Schiff,-,3,1
1993-11-20,4,Ti Amo: Puccini's Greatest Love Songs,Luciano Pavarotti,-,4,1
1993-11-20,5,If You Love Me,Cecilia Bartoli,-,5,1
1993-11-20,6,Bel Canto,Kathleen Battle,-,6,1
1993-11-20,7,In Concert,Battle/Rampal,-,7,1
1993-11-20,8,On Yoolis Night,Anonymous 4,-,8,1
1993-11-20,9,Amore: Romantic Italian Love Songs,Luciano Pavarotti,-,9,1
1993-11-20,10,Orff: Carmina Burana,Phil.Orch.(Ormandy),-,10,1
1993-11-20,11,Opera's Greatest Love Songs,Various Artists,-,11,1
1993-11-20,12,50 Classical...,Various Artists,-,12,1
1993-11-20,13,"Brava, Jessye!",Jessye Norman,-,13,1
1993-11-20,14,Rossini Heroines,Cecilia Bartoli,-,14,1
1993-11-20,15,Made In America,Yo-Yo Ma,-,15,1
1993-11-27,1,The Three Tenors In Concert,"Carreras, Domingo, Pavarotti (Mehta)",1,1,5
1993-11-27,2,Gorecki: Symphony No. 3,Upshaw/Zinman,2,2,2
1993-11-27,3,Arvo Part: Te Deum,Tallinn Chamber / Tonu Kaljuste,-,3,1
1993-11-27,4,Ti Amo: Puccini's Greatest Love Songs,Luciano Pavarotti,4,4,2
1993-11-27,5,The Impatient Lover,Bartoli/Schiff,3,3,2
1993-11-27,6,Opera Magic,Various Artists,-,6,1
1993-11-27,7,If You Love Me,Cecilia Bartoli,5,5,2
1993-11-27,8,Bel Canto,Kathleen Battle,6,6,2
1993-11-27,9,On Yoolis Night,Anonymous 4,8,8,2
1993-11-27,10,Amore: Romantic Italian Love Songs,Luciano Pavarotti,9,9,2
1993-11-27,11,50 Classical...,Various Artists,12,11,2
1993-11-27,12,In Concert,Battle/Rampal,7,7,2
1993-11-27,13,Great Studio Recordings,Various Artists,-,13,1
1993-11-27,14,Opera's Greatest Love Songs,Various Artists,11,11,2
1993-11-27,15,Great Melodies Of The Classics,Various Artists,-,15,1
1993-12-04,1,The Three Tenors In Concert,"Carreras, Domingo, Pavarotti (Mehta)",1,1,6
1993-12-04,2,Gorecki: Symphony No. 3,Upshaw/Zinman,2,2,3
1993-12-04,3,Ti Amo: Puccini's Greatest Love Songs,Luciano Pavarotti,4,3,3
1993-12-04,4,Arvo Part: Te Deum,Tallinn Chamber / Tonu Kaljuste,3,3,2
1993-12-04,5,The Impatient Lover,Bartoli/Schiff,5,3,3
1993-12-04,6,Opera Magic,Various Artists,6,6,2
1993-12-04,7,George Balanchine's Tschaikovski: The Nutcracker (Soundtrack),New York City Ballet Orchestra / David Zinman,-,7,1
1993-12-04,8,Bel Canto,Kathleen Battle,8,6,3
1993-12-04,9,On Yoolis Night,Anonymous 4,9,8,3
1993-12-04,10,If You Love Me,Cecilia Bartoli,7,5,3
1993-12-04,11,Great Studio Recordings,Various Artists,13,11,2
1993-12-04,12,Great Melodies Of The Classics,Various Artists,15,12,2
1993-12-04,13,Gold,Pavarotti,-,13,1
1993-12-04,14,Amore: Romantic Italian Love Songs,Luciano Pavarotti,10,9,3
