Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1994-10-08,1,Quien Eres Tu,Luis Enrique,-,1,1
1994-10-15,1,Quien Eres Tu,Luis Enrique,1,1,2
1994-10-22,1,Quien Eres Tu,Luis Enrique,1,1,3
1994-10-29,1,Nunca Voy A Olvidarte,India,-,1,1
1994-11-05,1,Nunca Voy A Olvidarte,India,1,1,2
1994-11-05,2,En Las Nubes,Edgar Joel,-,2,1
1994-11-05,3,Apiadate De Mi,Victor Manuelle,-,3,1
1994-11-05,4,Amor Lunatico,Giro,-,4,1
1994-11-05,5,Asi Es La Vida,Luis Enrique,-,5,1
1994-11-05,6,He Chocado Con La Vida,Tito Rojas,-,6,1
1994-11-05,7,Receta De Amor,Olga Tanon,-,7,1
1994-11-05,8,La Media Vuelta,Luis Miguel,-,8,1
1994-11-05,9,Quiero Que Me Hagas El Amor,Ednita Nazario,-,9,1
1994-11-05,10,Manana,Cristian,-,10,1
1994-11-05,11,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,-,11,1
1994-11-05,12,La Soledad,Laura Pausini,-,12,1
1994-11-05,13,Vivire,Juan Luis Guerra 4.40,-,13,1
1994-11-05,14,Silencio,Hector Tricoche,-,14,1
1994-11-05,15,Yo Sin Ti,Wichy Camacho,-,15,1
1994-11-12,1,En Las Nubes,Edgar Joel,2,1,2
1994-11-12,2,Nunca Voy A Olvidarte,India,1,1,3
1994-11-12,3,Asi Es La Vida,Luis Enrique,5,3,2
1994-11-12,4,Amor Lunatico,Giro,4,4,2
1994-11-12,5,Apiadate De Mi,Victor Manuelle,3,3,2
1994-11-12,6,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,11,6,2
1994-11-12,7,He Chocado Con La Vida,Tito Rojas,6,6,2
1994-11-12,8,Quiero Que Me Hagas El Amor,Ednita Nazario,9,8,2
1994-11-12,9,Receta De Amor,Olga Tanon,7,7,2
1994-11-12,10,A Partir De Manana,Zona Roja,-,10,1
1994-11-12,11,La Soledad,Laura Pausini,12,11,2
1994-11-12,12,Yo Sin Ti,Wichy Camacho,15,12,2
1994-11-12,13,La Media Vuelta,Luis Miguel,8,8,2
1994-11-12,14,Manana,Cristian,10,10,2
1994-11-12,15,Silencio,Hector Tricoche,14,14,2
1994-11-19,1,Asi Es La Vida,Luis Enrique,3,1,3
1994-11-19,2,Amor Lunatico,Giro,4,2,3
1994-11-19,3,Apiadate De Mi,Victor Manuelle,5,3,3
1994-11-19,4,En Las Nubes,Edgar Joel,1,1,3
1994-11-19,5,Nunca Voy A Olvidarte,India,2,1,4
1994-11-19,6,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,6,6,3
1994-11-19,7,Quiero Que Me Hagas El Amor,Ednita Nazario,8,7,3
1994-11-19,8,Receta De Amor,Olga Tanon,9,7,3
1994-11-19,9,A Partir De Manana,Zona Roja,10,9,2
1994-11-19,10,Te Propongo,Gilberto Santa Rosa,-,10,1
1994-11-19,11,Silencio,Hector Tricoche,15,11,3
1994-11-19,12,La Media Vuelta,Luis Miguel,13,8,3
1994-11-19,13,Vivire,Juan Luis Guerra 4.40,-,13,2
1994-11-19,14,He Chocado Con La Vida,Tito Rojas,7,6,3
1994-11-19,15,La Soledad,Laura Pausini,11,11,3
1994-11-26,1,Asi Es La Vida,Luis Enrique,1,1,4
1994-11-26,2,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,6,2,4
1994-11-26,3,Apiadate De Mi,Victor Manuelle,3,3,4
1994-11-26,4,Amor Lunatico,Giro,2,2,4
1994-11-26,5,Estoy En El Proceso De Olvidarte,Tony Vega,-,5,1
1994-11-26,6,En Las Nubes,Edgar Joel,4,1,4
1994-11-26,7,Aunque Lo Dudes,Lalo Rodriguez,-,7,1
1994-11-26,8,Te Propongo,Gilberto Santa Rosa,10,8,2
1994-11-26,9,Quiero Que Me Hagas El Amor,Ednita Nazario,7,7,4
1994-11-26,10,A Partir De Manana,Zona Roja,9,9,3
1994-11-26,11,Es Mentiroso,Olga Tanon,-,11,1
1994-11-26,12,La Media Vuelta,Luis Miguel,12,8,4
1994-11-26,13,Silencio,Hector Tricoche,11,11,4
1994-11-26,14,Nunca Voy A Olvidarte,India,5,1,5
1994-11-26,15,Receta De Amor,Olga Tanon,8,7,4
1994-12-03,1,Asi Es La Vida,Luis Enrique,1,1,5
1994-12-03,2,Aunque Lo Dudes,Lalo Rodriguez,7,2,2
1994-12-03,3,Estoy En El Proceso De Olvidarte,Tony Vega,5,3,2
1994-12-03,4,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,2,2,5
1994-12-03,5,En Las Nubes,Edgar Joel,6,1,5
1994-12-03,6,Quiero Que Me Hagas El Amor,Ednita Nazario,9,6,5
1994-12-03,7,Te Propongo,Gilberto Santa Rosa,8,7,3
1994-12-03,8,Ese Hombre,India,-,8,1
1994-12-03,9,Apiadate De Mi,Victor Manuelle,3,3,5
1994-12-03,10,Es Mentiroso,Olga Tanon,11,10,2
1994-12-03,11,A Partir De Manana,Zona Roja,10,9,4
1994-12-03,12,La Media Vuelta,Luis Miguel,12,8,5
1994-12-03,13,Silencio,Hector Tricoche,13,11,5
1994-12-03,14,Que Siga El Party,Los Sabrosos del Merengue,-,14,1
1994-12-03,15,Amor Lunatico,Giro,4,2,5
1994-12-10,1,Asi Es La Vida,Luis Enrique,1,1,6
1994-12-10,2,Aunque Lo Dudes,Lalo Rodriguez,2,2,3
1994-12-10,3,Estoy En El Proceso De Olvidarte,Tony Vega,3,3,3
1994-12-10,4,Es Mentiroso,Olga Tanon,10,4,3
1994-12-10,5,Te Propongo,Gilberto Santa Rosa,7,5,4
1994-12-10,6,Ese Hombre,India,8,6,2
1994-12-10,7,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,4,2,6
1994-12-10,8,Quiero Que Me Hagas El Amor,Ednita Nazario,6,6,6
1994-12-10,9,Pero Que Necesidad,Manny Manuel,-,9,1
1994-12-10,10,La Media Vuelta,Luis Miguel,12,8,6
1994-12-10,11,En Las Nubes,Edgar Joel,5,1,6
1994-12-10,12,Que Siga El Party,Los Sabrosos del Merengue,14,12,2
1994-12-10,13,Desde Que Tu No Estas,Manolo Lezcano,-,13,1
1994-12-10,14,Apiadate De Mi,Victor Manuelle,9,3,6
1994-12-10,15,Silencio,Hector Tricoche,13,11,6
1994-12-17,1,Asi Es La Vida,Luis Enrique,1,1,7
1994-12-17,2,Es Mentiroso,Olga Tanon,4,2,4
1994-12-17,3,Te Propongo,Gilberto Santa Rosa,5,3,5
1994-12-17,4,Ese Hombre,India,6,4,3
1994-12-17,5,Estoy En El Proceso De Olvidarte,Tony Vega,3,3,4
1994-12-17,6,Aunque Lo Dudes,Lalo Rodriguez,2,2,4
1994-12-17,7,Que Siga El Party,Los Sabrosos del Merengue,12,7,3
1994-12-17,8,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,7,2,7
1994-12-17,9,Pero Que Necesidad,Manny Manuel,9,9,2
1994-12-17,10,Quiero Que Me Hagas El Amor,Ednita Nazario,8,6,7
1994-12-17,11,Sueno Despierto,Alex D'Castro,-,11,1
1994-12-17,12,Con Tu Amor,Cristian,-,12,1
1994-12-17,13,Se Fue,Laura Pausini,-,13,1
1994-12-17,14,En Las Nubes,Edgar Joel,11,1,7
1994-12-17,15,La Vecina,Los Cucos,-,15,1
1994-12-24,1,Asi Es La Vida,Luis Enrique,1,1,8
1994-12-24,2,Es Mentiroso,Olga Tanon,2,2,5
1994-12-24,3,Ese Hombre,India,4,3,4
1994-12-24,4,Te Propongo,Gilberto Santa Rosa,3,3,6
1994-12-24,5,Que Siga El Party,Los Sabrosos del Merengue,7,5,4
1994-12-24,6,Estoy En El Proceso De Olvidarte,Tony Vega,5,3,5
1994-12-24,7,Aunque Lo Dudes,Lalo Rodriguez,6,2,5
1994-12-24,8,Pero Que Necesidad,Manny Manuel,9,8,3
1994-12-24,9,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,8,2,8
1994-12-24,10,Sueno Despierto,Alex D'Castro,11,10,2
1994-12-24,11,Se Fue,Laura Pausini,13,11,2
1994-12-24,12,Quiero Que Me Hagas El Amor,Ednita Nazario,10,6,8
1994-12-24,13,La Media Vuelta,Luis Miguel,-,8,7
1994-12-24,14,Con Tu Amor,Cristian,12,12,2
1994-12-24,15,Cumande,Cana Brava,-,15,1
1994-12-31,1,Ese Hombre,India,3,1,5
1994-12-31,2,Asi Es La Vida,Luis Enrique,1,1,9
1994-12-31,3,Es Mentiroso,Olga Tanon,2,2,6
1994-12-31,4,Te Propongo,Gilberto Santa Rosa,4,3,7
1994-12-31,5,Estoy En El Proceso De Olvidarte,Tony Vega,6,3,6
1994-12-31,6,Pero Que Necesidad,Manny Manuel,8,6,4
1994-12-31,7,Que Siga El Party,Los Sabrosos del Merengue,5,5,5
1994-12-31,8,Aunque Lo Dudes,Lalo Rodriguez,7,2,6
1994-12-31,9,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,9,2,9
1994-12-31,10,Sueno Despierto,Alex D'Castro,10,10,3
1994-12-31,11,Se Fue,Laura Pausini,11,11,3
1994-12-31,12,Mirandote,Frankie Ruiz,-,12,1
1994-12-31,13,Cumande,Cana Brava,15,13,2
1994-12-31,14,Me Atrapa La Noche,Edgar Joel,-,14,1
1994-12-31,15,Con Tu Amor,Cristian,14,12,3
1995-01-07,1,Ese Hombre,India,1,1,6
1995-01-07,2,Asi Es La Vida,Luis Enrique,2,1,10
1995-01-07,3,Te Propongo,Gilberto Santa Rosa,4,3,8
1995-01-07,4,Es Mentiroso,Olga Tanon,3,2,7
1995-01-07,5,Pero Que Necesidad,Manny Manuel,6,5,5
1995-01-07,6,Estoy En El Proceso De Olvidarte,Tony Vega,5,3,7
1995-01-07,7,Sueno Despierto,Alex D'Castro,10,7,4
1995-01-07,8,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,9,2,10
1995-01-07,9,Que Siga El Party,Los Sabrosos del Merengue,7,5,6
1995-01-07,10,Aunque Lo Dudes,Lalo Rodriguez,8,2,7
1995-01-07,11,Mirandote,Frankie Ruiz,12,11,2
1995-01-07,12,Cumande,Cana Brava,13,12,3
1995-01-07,13,Se Fue,Laura Pausini,11,11,4
1995-01-07,14,No Quiero De Eso,Johnny Ventura,-,14,1
1995-01-07,15,Me Atrapa La Noche,Edgar Joel,14,14,2
1995-01-14,1,Ese Hombre,India,1,1,7
1995-01-14,2,Asi Es La Vida,Luis Enrique,2,1,11
1995-01-14,3,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,8,2,11
1995-01-14,4,Es Mentiroso,Olga Tanon,4,2,8
1995-01-14,5,Que Siga El Party,Los Sabrosos del Merengue,9,5,7
1995-01-14,6,Te Propongo,Gilberto Santa Rosa,3,3,9
1995-01-14,7,Aunque Lo Dudes,Lalo Rodriguez,10,2,8
1995-01-14,8,Estoy En El Proceso De Olvidarte,Tony Vega,6,3,8
1995-01-14,9,Mirandote,Frankie Ruiz,11,9,3
1995-01-14,10,Cumande,Cana Brava,12,10,4
1995-01-14,11,Se Fue,Laura Pausini,13,11,5
1995-01-14,12,Sueno Despierto,Alex D'Castro,7,7,5
1995-01-14,13,Me Atrapa La Noche,Edgar Joel,15,13,3
1995-01-14,14,Pero Que Necesidad,Manny Manuel,5,5,6
1995-01-14,15,El Beso De La Ciguatera,Juan Luis Guerra 4.40,-,15,1
1995-01-21,1,Ese Hombre,India,1,1,8
1995-01-21,2,Mirandote,Frankie Ruiz,9,2,4
1995-01-21,3,Sueno Despierto,Alex D'Castro,12,3,6
1995-01-21,4,Asi Es La Vida,Luis Enrique,2,1,12
1995-01-21,5,Sienteme,Giro,-,5,1
1995-01-21,6,Cumande,Cana Brava,10,6,5
1995-01-21,7,El Beso De La Ciguatera,Juan Luis Guerra 4.40,15,7,2
1995-01-21,8,Se Fue,Laura Pausini,11,8,6
1995-01-21,9,Es Mentiroso,Olga Tanon,4,2,9
1995-01-21,10,Que Siga El Party,Los Sabrosos del Merengue,5,5,8
1995-01-21,11,Con Tu Amor,Cristian,-,11,4
1995-01-21,12,Mal Herido,Gilberto Santa Rosa,-,12,1
1995-01-21,13,Me Atrapa La Noche,Edgar Joel,13,13,4
1995-01-21,14,Por Ejemplo,Victor Manuelle,-,14,1
1995-01-21,15,Piano,Paquito Hechavarria,-,15,1
1995-01-28,1,Ese Hombre,India,1,1,9
1995-01-28,2,Mirandote,Frankie Ruiz,2,2,5
1995-01-28,3,Sueno Despierto,Alex D'Castro,3,3,7
1995-01-28,4,Piano,Paquito Hechavarria,15,4,2
1995-01-28,5,Sienteme,Giro,5,5,2
1995-01-28,6,El Beso De La Ciguatera,Juan Luis Guerra 4.40,7,6,3
1995-01-28,7,Mal Herido,Gilberto Santa Rosa,12,7,2
1995-01-28,8,Se Fue,Laura Pausini,8,8,7
1995-01-28,9,Romanticos Al Rescate,Luis Enrique,-,9,1
1995-01-28,10,Por Ejemplo,Victor Manuelle,14,10,2
1995-01-28,11,Asi Es La Vida,Luis Enrique,4,1,13
1995-01-28,12,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,-,2,12
1995-01-28,13,Me Atrapa La Noche,Edgar Joel,13,13,5
1995-01-28,14,Con Tu Amor,Cristian,11,11,5
1995-01-28,15,Cumande,Cana Brava,6,6,6
1995-02-04,1,Mirandote,Frankie Ruiz,2,1,6
1995-02-04,2,Sueno Despierto,Alex D'Castro,3,2,8
1995-02-04,3,Ese Hombre,India,1,1,10
1995-02-04,4,Piano,Paquito Hechavarria,4,4,3
1995-02-04,5,Mal Herido,Gilberto Santa Rosa,7,5,3
1995-02-04,6,Tambien Nos Duele,Tito Rojas,-,6,1
1995-02-04,7,Romanticos Al Rescate,Luis Enrique,9,7,2
1995-02-04,8,Sienteme,Giro,5,5,3
1995-02-04,9,Todo Y Nada,Luis Miguel,-,9,1
1995-02-04,10,Por Ejemplo,Victor Manuelle,10,10,3
1995-02-04,11,Como Antes,Ednita Nazario,-,11,1
1995-02-04,12,El Beso De La Ciguatera,Juan Luis Guerra 4.40,6,6,4
1995-02-04,13,Entre La Noche Y El Dia,Olga Tanon,-,13,1
1995-02-04,14,Se Fue,Laura Pausini,8,8,8
1995-02-04,15,Nunca Te Menti,Rikarena,-,15,1
1995-02-11,1,Mirandote,Frankie Ruiz,1,1,7
1995-02-11,2,Mal Herido,Gilberto Santa Rosa,5,2,4
1995-02-11,3,Piano,Paquito Hechavarria,4,3,4
1995-02-11,4,Romanticos Al Rescate,Luis Enrique,7,4,3
1995-02-11,5,Tambien Nos Duele,Tito Rojas,6,5,2
1995-02-11,6,Sueno Despierto,Alex D'Castro,2,2,9
1995-02-11,7,Entre La Noche Y El Dia,Olga Tanon,13,7,2
1995-02-11,8,Ese Hombre,India,3,1,11
1995-02-11,9,Todo Y Nada,Luis Miguel,9,9,2
1995-02-11,10,Sienteme,Giro,8,5,4
1995-02-11,11,Tras La Tormenta,Willie Colon & Ruben Blades,-,11,1
1995-02-11,12,Con Tu Amor,Cristian,-,11,6
1995-02-11,13,Por Ejemplo,Victor Manuelle,10,10,4
1995-02-11,14,Nunca Te Menti,Rikarena,15,14,2
1995-02-11,15,Como Antes,Ednita Nazario,11,11,2
1995-02-18,1,Mirandote,Frankie Ruiz,1,1,8
1995-02-18,2,Piano,Paquito Hechavarria,3,2,5
1995-02-18,3,Mal Herido,Gilberto Santa Rosa,2,2,5
1995-02-18,4,Romanticos Al Rescate,Luis Enrique,4,4,4
1995-02-18,5,Entre La Noche Y El Dia,Olga Tanon,7,5,3
1995-02-18,6,Tambien Nos Duele,Tito Rojas,5,5,3
1995-02-18,7,Que Ganas De No Verte Mas,India,-,7,1
1995-02-18,8,Sueno Despierto,Alex D'Castro,6,2,10
1995-02-18,9,Todo Y Nada,Luis Miguel,9,9,3
1995-02-18,10,Por Ejemplo,Victor Manuelle,13,10,5
1995-02-18,11,Tras La Tormenta,Willie Colon & Ruben Blades,11,11,2
1995-02-18,12,Como Antes,Ednita Nazario,15,11,3
1995-02-18,13,Sienteme,Giro,10,5,5
1995-02-18,14,Nunca Te Menti,Rikarena,14,14,3
1995-02-18,15,Los Caminos De Mi Gente,Roberto Roena,-,15,1
