Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Salincak,Mustafa Ceceli & Nigar Muharrem,-,1,1
2022-02-19,2,Paparazzi,UZI,-,2,1
2022-02-19,3,Affettim,Sefo,-,3,1
2022-02-19,4,Duser Aklima,Semicenk,-,4,1
2022-02-19,5,Ariyorum,EDIS,-,5,1
2022-02-19,6,10 Numara,Lvbel C5,-,6,1
2022-02-19,7,Icime Ata Ata,"Burak Bulut, Ebru Yasar & Kurtulus Kus",-,7,1
2022-02-19,8,Kul,Mark Eliyahu & Cem Adrian,-,8,1
2022-02-19,9,Ferhat Yilmaz,Ben Fero,-,9,1
2022-02-19,10,Cindy,UZI,-,10,1
2022-02-19,11,Yallah,"Montiego, Lvbel C5 & Batuflex",-,11,1
2022-02-19,12,Hayrola,Artz & Bugy x Ezhel,-,12,1
2022-02-19,13,Bilmem Mi?,Sefo,-,13,1
2022-02-19,14,Umrumda Degil,UZI,-,14,1
2022-02-19,15,Kor,Emir Can Igrek,-,15,1
2022-02-19,16,Seni Dert Etmeler,Deeperise X Madrigal,-,16,1
2022-02-19,17,Baba,Ayaz Erdogan Featuring Mengelez,-,17,1
2022-02-19,18,ralli,Lvbel C5 & Batuflex,-,18,1
2022-02-19,19,Gamzedeyim Deva Bulmam,Dedubluman & Cagri Celik,-,19,1
2022-02-19,20,Antrikot,Cakal,-,20,1
2022-02-19,21,Uzunlar (V1),Evdeki Saat,-,21,1
2022-02-19,22,Middle Of The Night,Elley Duhe,-,22,1
2022-02-19,23,Sen Varsin Diye,Yuzyuzeyken Konusuruz,-,23,1
2022-02-19,24,Enemy,Imagine Dragons X JID,-,24,1
2022-02-19,25,Makina,UZI,-,25,1
2022-02-26,1,Salincak,Mustafa Ceceli & Nigar Muharrem,1,1,2
2022-02-26,2,Affettim,Sefo,3,2,2
2022-02-26,3,Aglattin,Ezhel,-,3,1
2022-02-26,4,Paparazzi,UZI,2,2,2
2022-02-26,5,Yallah,"Montiego, Lvbel C5 & Batuflex",11,5,2
2022-02-26,6,Duser Aklima,Semicenk,4,4,2
2022-02-26,7,Benimle Gel,Reckol & Cakal,-,7,1
2022-02-26,8,Ariyorum,EDIS,5,5,2
2022-02-26,9,Ferhat Yilmaz,Ben Fero,9,9,2
2022-02-26,10,Hasat,Kurtulus Kus & Burak Bulut,-,10,1
2022-02-26,11,10 Numara,Lvbel C5,6,6,2
2022-02-26,12,Icime Ata Ata,"Burak Bulut, Ebru Yasar & Kurtulus Kus",7,7,2
2022-02-26,13,Bilmem Mi?,Sefo,13,13,2
2022-02-26,14,Kul,Mark Eliyahu & Cem Adrian,8,8,2
2022-02-26,15,Cindy,UZI,10,10,2
2022-02-26,16,Hayrola,Artz & Bugy x Ezhel,12,12,2
