Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",-,1,1
2022-02-19,2,Peru,Fireboy DML & Ed Sheeran,-,2,1
2022-02-19,3,Surface Pressure,Jessica Darrow,-,3,1
2022-02-19,4,Shivers,Ed Sheeran,-,4,1
2022-02-19,5,abcdefu,GAYLE,-,5,1
2022-02-19,6,Bad Habits,Ed Sheeran,-,6,1
2022-02-19,7,Easy On Me,Adele,-,7,1
2022-02-19,8,Heat Waves,Glass Animals,-,8,1
2022-02-19,9,Where Are You Now,Lost Frequencies & Calum Scott,-,9,1
2022-02-19,10,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",-,10,1
2022-02-19,11,Overseas,D-Block Europe & Central Cee,-,11,1
2022-02-19,12,Seventeen Going Under,Sam Fender,-,12,1
2022-02-19,13,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,13,1
2022-02-19,14,Packs And Potions,HAZEY,-,14,1
2022-02-19,15,War,ArrDee & Aitch,-,15,1
2022-02-19,16,Make Me Feel Good,Belters Only & Jazzy,-,16,1
2022-02-19,17,Down Under,Luude Featuring Colin Hay,-,17,1
2022-02-19,18,Pump 101,Still Brickin & Digga D,-,18,1
2022-02-19,19,Fingers Crossed,Lauren Spencer Smith,-,19,1
2022-02-19,20,Coming For You,SwitchOTR Featuring A1 X J1,-,20,1
2022-02-19,21,Stay,The Kid Laroi & Justin Bieber,-,21,1
2022-02-19,22,Flowers (Say My Name),ArrDee,-,22,1
2022-02-19,23,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,-,23,1
2022-02-19,24,Enemy,Imagine Dragons X JID,-,24,1
2022-02-19,25,Overpass Graffiti,Ed Sheeran,-,25,1
2022-02-26,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,2
2022-02-26,2,Surface Pressure,Jessica Darrow,3,2,2
2022-02-26,3,Peru,Fireboy DML & Ed Sheeran,2,2,2
2022-02-26,4,Bad Habits,Ed Sheeran,6,4,2
2022-02-26,5,Shivers,Ed Sheeran,4,4,2
2022-02-26,6,Where Are You Now,Lost Frequencies & Calum Scott,9,6,2
