Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2011-01-29,1,Grenade,Bruno Mars,-,1,1
2011-01-29,2,Do It Like A Dude,Jessie J,-,2,1
2011-01-29,3,What's My Name?,Rihanna Featuring Drake,-,3,1
2011-01-29,4,Lights On,Katy B Featuring Ms. Dynamite,-,4,1
2011-01-29,5,When We Collide,Matt Cardle,-,5,1
2011-01-29,6,Who's That Chick?,David Guetta Featuring Rihanna,-,6,1
2011-01-29,7,Make You Feel My Love,Adele,-,7,1
2011-01-29,8,The Time (Dirty Bit),The Black Eyed Peas,-,8,1
2011-01-29,9,Like A G6,Far*East Movement Featuring Cataracs & Dev,-,9,1
2011-01-29,10,Eyes Wide Shut,JLS Featuring Tinie Tempah,-,10,1
2011-02-05,1,Grenade,Bruno Mars,1,1,2
2011-02-05,2,Rolling In The Deep,Adele,-,2,1
2011-02-05,3,Do It Like A Dude,Jessie J,2,2,2
2011-02-05,4,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,-,4,1
2011-02-05,5,Traktor,Wretch 32 Featuring L,-,5,1
2011-02-05,6,Hold It Against Me,Britney Spears,-,6,1
2011-02-05,7,What's My Name?,Rihanna Featuring Drake,3,3,2
2011-02-05,8,Like U Like,Aggro Santos Featuring Kimberley Walsh,-,8,1
2011-02-05,9,Lights On,Katy B Featuring Ms. Dynamite,4,4,2
2011-02-05,10,Eyes Wide Shut,JLS Featuring Tinie Tempah,10,10,2
2011-02-12,1,We R Who We R,Ke$ha,-,1,1
2011-02-12,2,Grenade,Bruno Mars,1,1,3
2011-02-12,3,Rolling In The Deep,Adele,2,2,2
2011-02-12,4,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,4,4,2
2011-02-12,5,Blind Faith,Chase And Status Featuring Liam Bailey,-,5,1
2011-02-12,6,Do It Like A Dude,Jessie J,3,2,3
2011-02-12,7,Traktor,Wretch 32 Featuring L,5,5,2
2011-02-12,8,Hold It Against Me,Britney Spears,6,6,2
2011-02-12,9,What's My Name?,Rihanna Featuring Drake,7,3,3
2011-02-12,10,Yeah 3X,Chris Brown,-,10,1
2011-02-19,1,Price Tag,Jessie J Featuring B.o.B,-,1,1
2011-02-19,2,Grenade,Bruno Mars,2,1,4
2011-02-19,3,We R Who We R,Ke$ha,1,1,2
2011-02-19,4,Rolling In The Deep,Adele,3,2,3
2011-02-19,5,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,-,5,1
2011-02-19,6,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,4,4,3
2011-02-19,7,Do It Like A Dude,Jessie J,6,2,4
2011-02-19,8,Higher,Taio Cruz Featuring Kylie,-,8,1
