Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1990-08-25,1,"Cruel, Crazy, Beautiful World",Johnny Clegg & Savuka,1,1,8
1990-08-25,2,Mek We Dweet,Burning Spear,4,2,4
1990-08-25,3,Elegibo,Margareth Menezes,6,3,4
1990-08-25,4,Mosaique,Gipsy Kings,3,1,8
1990-08-25,5,Two Worlds One Heart,Ladysmith Black Mambazo,2,2,6
1990-08-25,6,Now,Black Uhuru,5,2,8
1990-08-25,7,Puzzle Of Hearts,Djavan,8,7,3
1990-08-25,8,Paris-Soweto,Mahlathini & The Mahotella Queens,7,7,5
1990-08-25,9,Pancha Nadai Pallavi,Shankar,11,9,3
1990-08-25,10,Coyote Moon,Ben Tavera King,9,5,7
1990-08-25,11,Barefoot,Barefoot,-,11,1
1990-08-25,12,Time Will Tell,Bunny Wailer,10,9,5
1990-08-25,13,From The Secret Labratory,"Lee ""Scratch"" Perry",15,13,2
1990-08-25,14,Brazil Classics 2: O Samba,Various Artists,13,7,8
1990-08-25,15,Prisoner,Lucky Dube,-,15,1
1990-09-08,1,Elegibo,Margareth Menezes,3,1,5
1990-09-08,2,Mek We Dweet,Burning Spear,2,2,5
1990-09-08,3,"Cruel, Crazy, Beautiful World",Johnny Clegg & Savuka,1,1,9
1990-09-08,4,Two Worlds One Heart,Ladysmith Black Mambazo,5,2,7
1990-09-08,5,Mosaique,Gipsy Kings,4,1,9
1990-09-08,6,Puzzle Of Hearts,Djavan,7,6,4
1990-09-08,7,Now,Black Uhuru,6,2,9
1990-09-08,8,Prisoner,Lucky Dube,15,8,2
1990-09-08,9,Pancha Nadai Pallavi,Shankar,9,9,4
1990-09-08,10,Barefoot,Barefoot,11,10,2
1990-09-08,11,From The Secret Labratory,"Lee ""Scratch"" Perry",13,11,3
1990-09-08,12,The Best Of Alpha Blondy,Alpha Blondy,-,12,1
1990-09-08,13,Time Will Tell,Bunny Wailer,12,9,6
1990-09-08,14,Classic Tracks,Ladysmith Black Mambazo,-,14,1
1990-09-08,15,Coyote Moon,Ben Tavera King,10,5,8
1990-09-22,1,Elegibo,Margareth Menezes,1,1,6
1990-09-22,2,Mek We Dweet,Burning Spear,2,2,6
1990-09-22,3,Mosaique,Gipsy Kings,5,1,10
1990-09-22,4,"Cruel, Crazy, Beautiful World",Johnny Clegg & Savuka,3,1,10
1990-09-22,5,Two Worlds One Heart,Ladysmith Black Mambazo,4,2,8
1990-09-22,6,Now,Black Uhuru,7,2,10
1990-09-22,7,Puzzle Of Hearts,Djavan,6,6,5
1990-09-22,8,From The Secret Labratory,"Lee ""Scratch"" Perry",11,8,4
1990-09-22,9,Pancha Nadai Pallavi,Shankar,9,9,5
1990-09-22,10,Classic Tracks,Ladysmith Black Mambazo,14,10,2
1990-09-22,11,Passages,Ravi Shankar/Philip Glass,-,11,1
1990-09-22,12,The Best Of Alpha Blondy,Alpha Blondy,12,12,2
1990-09-22,13,Barefoot,Barefoot,10,10,3
1990-09-22,14,Now Dub,Black Uhuru,-,14,1
1990-09-22,15,Gipsy Kings,Gipsy Kings,-,6,7
1990-10-06,1,Elegibo,Margareth Menezes,1,1,7
1990-10-06,2,Mek We Dweet,Burning Spear,2,2,7
1990-10-06,3,Two Worlds One Heart,Ladysmith Black Mambazo,5,2,9
1990-10-06,4,"Cruel, Crazy, Beautiful World",Johnny Clegg & Savuka,4,1,11
1990-10-06,5,Passages,Ravi Shankar/Philip Glass,11,5,2
1990-10-06,6,Mosaique,Gipsy Kings,3,1,11
1990-10-06,7,Barefoot,Barefoot,13,7,4
1990-10-06,8,Now Dub,Black Uhuru,14,8,2
1990-10-06,9,Now,Black Uhuru,6,2,11
1990-10-06,10,From The Secret Labratory,"Lee ""Scratch"" Perry",8,8,5
1990-10-06,11,Prisoner,Lucky Dube,-,8,3
1990-10-06,12,Classic Tracks,Ladysmith Black Mambazo,10,10,3
1990-10-06,13,Pancha Nadai Pallavi,Shankar,9,9,6
1990-10-06,14,Puzzle Of Hearts,Djavan,7,6,6
1990-10-06,15,Gipsy Kings,Gipsy Kings,15,6,8
1990-10-20,1,Elegibo,Margareth Menezes,1,1,8
1990-10-20,2,Mek We Dweet,Burning Spear,2,2,8
