Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2004-01-03,1,Me Against The Music,Britney Spears feat. Madonna,1,,9
2004-01-03,2,Hey Ya!,Outkast,2,,9
2004-01-03,3,Mad World,Michael Andrews feat. Gary Jules,,,
2004-01-03,4,It's My Life,No Doubt,5,,7
2004-01-03,5,White Flag,Dido,3,,18
2004-01-03,6,Christmas Time (Don't Let The Bells End),Darkness,,,
2004-01-03,7,Shut Up,Black Eyed Peas,4,,4
2004-01-03,8,Baby Boy,Beyoncé feat. Sean Paul,6,,15
2004-01-03,9,Slow,Kylie Minogue,8,,8
2004-01-03,10,Where Is The Love,Black Eyed Peas feat. Justin Timberlake,7,,22
2004-01-03,11,Trouble,Pink,9,,8
2004-01-03,12,Changes,Ozzy & Kelly Osbourne,19,,2
2004-01-03,13,You Don't Know My Name,Alicia Keys,12,,4
2004-01-03,14,Hole In The Head,Sugababes,11,,10
2004-01-03,15,Someday,Nickelback,10,,16
2004-01-03,16,The Voice Within,Christina Aguilera,13,,3
2004-01-03,17,Love's Divine,Seal,16,,5
2004-01-03,18,(There's Gotta Be) More To Life,Stacie Orrico,14,,11
2004-01-03,19,Sexed Up,Robbie Williams,23,,6
2004-01-03,20,Going Under,Evanescence,15,,15
2004-01-03,21,Numb,Linkin Park,17,,12
2004-01-03,22,In The Shadows,The Rasmus,18,,20
2004-01-03,23,Powerless (Say What You Want),Nelly Furtado,25,,2
2004-01-03,24,If You Come To Me,Atomic Kitten,20,,8
2004-01-03,25,Proper Crimbo,Bo Selecta,,,
2004-01-03,26,Guilty,Blue,21,,9
2004-01-03,27,Here Without You,3 Doors Down,26,,11
2004-01-03,28,Mandy,Westlife,27,,5
2004-01-03,29,P.I.M.P.,50 Cent,30,,13
2004-01-03,30,Behind Blue Eyes,Limp Bizkit,33,,3
2004-01-03,31,Nothing Fails,Madonna,22,,2
2004-01-03,32,Milkshake,Kelis,32,,4
2004-01-03,33,Addicted,Enrique Iglesias,38,,4
2004-01-03,34,The Way You Move,Outkast feat. Sleepy Brown,34,,5
2004-01-03,35,Life For Rent,Dido,,,
2004-01-03,36,Stand Up,Ludacris feat. Shawnna,35,,10
2004-01-03,37,Fortune Faded,Red Hot Chili Peppers,36,,3
2004-01-03,38,Never Leave You (Uh Oooh Uh Oooh),Lumidee,28,,21
2004-01-03,39,One More Chance,Michael Jackson,29,,6
